Well Name,Depth,GR,AC,DEN,CNL,LLS
JY3,2268.561,89.822,72.707,2.538,36.049,32.131
JY3,2268.686,89.642,70.573,2.533,33.629,31.783
JY3,2268.811,90.058,68.635,2.528,31.42,31.887
JY3,2268.936,89.879,68.496,2.512,30.523,32.574
JY3,2269.061,88.019,69.056,2.482,30.897,33.766
JY3,2269.186,84.924,68.775,2.449,31.597,35.001
JY3,2269.311,81.914,67.903,2.428,32.502,35.823
JY3,2269.436,80.215,65.488,2.417,34.156,35.72
JY3,2269.561,79.113,61.59,2.387,36.415,34.793
JY3,2269.686,77.707,58.686,2.354,38.55,33.377
JY3,2269.811,76.165,57.751,2.336,39.419,32.067
JY3,2269.936,75.206,57.653,2.343,39.486,31.247
JY3,2270.061,74.628,59.902,2.381,39.597,31.036
JY3,2270.186,73.76,65.012,2.405,39.438,31.17
JY3,2270.311,73.051,70.268,2.381,38.202,31.295
JY3,2270.436,73.591,74.148,2.322,36.661,31.207
JY3,2270.561,75.737,77.174,2.29,36.203,30.941
JY3,2270.686,79.307,79.079,2.316,36.039,30.61
JY3,2270.811,84.237,78.247,2.41,33.952,30.43
JY3,2270.936,89.643,75.745,2.53,30.506,30.558
JY3,2271.061,94.62,73.949,2.629,27.412,30.955
JY3,2271.186,98.877,73.333,2.68,25.707,31.379
JY3,2271.311,102.586,72.823,2.703,24.825,31.621
JY3,2271.436,105.01,72.865,2.714,24.359,31.626
JY3,2271.561,105.269,73.255,2.722,24.357,31.453
JY3,2271.686,104.023,73.416,2.729,25.045,31.208
JY3,2271.811,102.173,73.658,2.736,26.295,30.994
JY3,2271.936,100.19,73.982,2.741,27.358,30.878
JY3,2272.061,98.391,74.175,2.737,27.679,30.855
JY3,2272.186,97.692,74.276,2.721,27.38,30.879
JY3,2272.311,98.413,74.261,2.702,26.912,30.897
JY3,2272.436,100.104,74.198,2.689,26.35,30.946
JY3,2272.561,102.129,74.271,2.687,25.804,31.147
JY3,2272.686,103.537,74.543,2.689,25.454,31.529
JY3,2272.811,103.412,74.947,2.689,25.249,32.074
JY3,2272.936,101.418,75.306,2.687,25.344,32.697
JY3,2273.061,98.685,75.458,2.685,25.99,33.256
JY3,2273.186,96.498,75.174,2.684,27.205,33.674
JY3,2273.311,95.84,74.148,2.683,28.34,34.01
JY3,2273.436,96.817,72.916,2.685,28.539,34.342
JY3,2273.561,98.973,72.256,2.687,27.786,34.686
JY3,2273.686,100.795,71.745,2.687,27.149,35.056
JY3,2273.811,101.65,71.185,2.688,27.01,35.493
JY3,2273.936,102.259,71.288,2.687,26.98,36.021
JY3,2274.061,103.49,71.568,2.687,26.43,36.624
JY3,2274.186,104.807,71.309,2.685,25.411,37.337
JY3,2274.311,104.652,71.034,2.683,24.627,38.215
JY3,2274.436,102.974,71.088,2.683,24.209,39.198
JY3,2274.561,100.999,71.007,2.684,23.782,40.271
JY3,2274.686,100.147,70.613,2.689,23.192,41.503
JY3,2274.811,100.131,70.219,2.697,22.662,42.893
JY3,2274.936,99.92,69.649,2.705,22.259,44.357
JY3,2275.061,98.813,68.336,2.708,21.947,45.857
JY3,2275.186,97.139,66.63,2.703,21.855,47.436
JY3,2275.311,95.613,65.84,2.686,22.244,48.836
JY3,2275.436,94.951,67.024,2.657,22.876,49.314
JY3,2275.561,95.508,69.29,2.622,23.392,48.424
JY3,2275.686,97.437,71.07,2.598,23.969,46.328
JY3,2275.811,100.042,72.703,2.599,24.966,44.086
JY3,2275.936,102.693,73.936,2.631,26.362,42.443
JY3,2276.061,104.786,73.158,2.679,27.577,41.971
JY3,2276.186,106.112,71.79,2.717,28.093,42.505
JY3,2276.311,106.756,71.577,2.73,27.805,43.533
JY3,2276.436,107.231,71.832,2.721,27.042,44.227
JY3,2276.561,107.951,71.878,2.705,26.281,44.361
JY3,2276.686,109.105,71.899,2.694,25.751,44.117
JY3,2276.811,110.292,71.895,2.693,25.317,43.68
JY3,2276.936,110.789,71.986,2.695,24.866,42.974
JY3,2277.061,110.195,72.241,2.69,24.416,41.984
JY3,2277.186,109.578,72.477,2.68,24.287,41.038
JY3,2277.311,110.205,72.696,2.675,24.632,40.384
JY3,2277.436,112.641,72.945,2.677,25.111,40.082
JY3,2277.561,115.628,73.142,2.679,25.282,39.876
JY3,2277.686,118.269,73.154,2.676,25.119,39.492
JY3,2277.811,120.407,73.059,2.679,24.913,38.829
JY3,2277.936,122.038,72.999,2.689,24.839,38.315
JY3,2278.061,122.75,72.842,2.704,24.849,38.383
JY3,2278.186,122.507,72.616,2.712,24.801,37.667
JY3,2278.311,121.674,72.572,2.709,24.697,34.176
JY3,2278.436,120.39,72.692,2.698,24.648,27.585
JY3,2278.561,119.058,72.867,2.687,24.785,21.093
JY3,2278.686,118.523,73.155,2.681,25.175,17.203
JY3,2278.811,119.658,73.458,2.683,25.862,17.241
JY3,2278.936,121.27,73.699,2.687,26.687,20.605
JY3,2279.061,121.421,73.971,2.691,27.282,26.445
JY3,2279.186,118.66,74.221,2.697,27.145,32.128
JY3,2279.311,114.619,74.388,2.704,26.463,35.385
JY3,2279.436,111.962,74.466,2.707,25.557,36.083
JY3,2279.561,112.38,74.434,2.703,24.791,36.049
JY3,2279.686,114.172,74.411,2.697,24.442,36.449
JY3,2279.811,114.968,74.478,2.693,24.797,37.255
JY3,2279.936,114.322,74.531,2.689,25.61,37.883
JY3,2280.061,113.528,74.65,2.685,26.3,37.918
JY3,2280.186,113.471,74.823,2.684,26.33,37.365
JY3,2280.311,113.532,74.769,2.689,26.088,36.727
JY3,2280.436,112.956,74.523,2.699,25.973,36.222
JY3,2280.561,111.642,74.336,2.71,25.712,35.839
JY3,2280.686,110.376,74.19,2.719,24.992,35.512
JY3,2280.811,109.669,74.068,2.727,24.064,35.199
JY3,2280.936,109.714,74.069,2.737,23.387,34.859
JY3,2281.061,110.395,74.197,2.743,23.108,34.496
JY3,2281.186,111.602,74.344,2.742,23.185,34.138
JY3,2281.311,112.75,74.375,2.736,23.684,33.823
JY3,2281.436,113.162,74.449,2.73,24.641,33.567
JY3,2281.561,112.603,74.844,2.727,25.583,33.364
JY3,2281.686,111.74,75.231,2.726,25.981,33.206
JY3,2281.811,111.178,75.265,2.728,25.976,33.127
JY3,2281.936,111.3,75.099,2.729,26.087,33.213
JY3,2282.061,111.738,74.84,2.722,26.326,33.496
JY3,2282.186,111.853,74.39,2.706,26.148,33.97
JY3,2282.311,111.291,74.118,2.688,25.381,34.447
JY3,2282.436,110.82,74.24,2.678,24.981,34.316
JY3,2282.561,111.14,74.553,2.681,25.311,32.919
JY3,2282.686,111.392,74.746,2.691,25.647,30.526
JY3,2282.811,109.83,74.583,2.696,25.315,28.308
JY3,2282.936,105.938,74.213,2.691,24.616,27.126
JY3,2283.061,102.188,74.302,2.681,24.3,27.048
JY3,2283.186,101.307,74.85,2.67,24.429,27.507
JY3,2283.311,104.925,75.505,2.656,24.782,27.77
JY3,2283.436,111.396,76.286,2.639,25.309,27.511
JY3,2283.561,118.503,77.094,2.624,25.948,27.047
JY3,2283.686,123.523,77.342,2.62,26.109,27.226
JY3,2283.811,125.149,77.122,2.626,25.567,28.447
JY3,2283.936,123.475,76.976,2.635,24.712,29.98
JY3,2284.061,120.212,77.175,2.64,24.25,30.077
JY3,2284.186,117.265,77.368,2.641,24.331,28.204
