Well Name,Depth,GR,AC,DEN,K
JY1,2344.75,184.975,254.17,2.631,126.746
JY1,2344.875,188.231,253.678,2.632,110.872
JY1,2345,193.387,255.279,2.629,96.101
JY1,2345.125,200.832,257.464,2.625,86.59
JY1,2345.25,206.775,258.182,2.625,84.606
JY1,2345.375,207.26,255.788,2.632,89.55
JY1,2345.5,202.811,250.415,2.643,99.551
JY1,2345.625,197.057,244.032,2.65,112.895
JY1,2346.125,194.677,244.38,2.624,142.372
JY1,2346.25,197.221,248.545,2.626,143.472
JY1,2346.375,199.124,251.182,2.637,145.874
JY1,2346.5,199.304,252.422,2.651,150.445
JY1,2346.625,197.242,253.551,2.66,156.869
JY1,2346.75,193.714,255.669,2.66,162.613
JY1,2346.875,190.324,259.022,2.654,165.728
JY1,2347,187.831,263.22,2.647,165.986
JY1,2347.125,185.61,267.533,2.642,165.759
JY1,2347.25,183.376,271.151,2.639,166.565
JY1,2347.375,181.727,273.614,2.637,167.295
JY1,2347.5,180.413,275.074,2.636,166.095
JY1,2347.625,178.022,276.087,2.637,164.281
JY1,2347.75,174.662,276.98,2.638,164.502
JY1,2347.875,172.522,277.846,2.639,166.61
JY1,2348,173.402,278.626,2.638,169.207
JY1,2348.125,176.983,279.151,2.637,171.596
JY1,2348.25,181.213,279.322,2.638,173.874
JY1,2348.375,183.979,279.262,2.638,176.552
JY1,2348.5,184.442,279.249,2.634,180.1
JY1,2348.625,183.404,279.531,2.626,183.847
JY1,2348.75,182.863,280.197,2.618,186.691
JY1,2348.875,184.51,281.099,2.615,190.537
JY1,2349,188.53,281.834,2.615,197.62
JY1,2349.125,193.26,281.896,2.616,205.565
JY1,2349.25,196.45,280.971,2.618,208.544
JY1,2349.375,197.887,279.098,2.624,205.414
JY1,2349.5,199.298,276.668,2.633,199.097
JY1,2349.625,202.246,274.372,2.644,194.171
JY1,2349.75,206.445,272.912,2.652,191.897
JY1,2349.875,209.68,272.67,2.655,191.972
JY1,2350,209.773,273.427,2.653,193.571
JY1,2350.125,206.527,274.385,2.647,196.18
JY1,2350.25,200.711,274.556,2.638,198.614
JY1,2350.375,191.689,273.214,2.631,199.8
JY1,2350.5,178.932,269.829,2.635,198.652
JY1,2350.625,163.952,264.68,2.649,195.399
JY1,2350.75,151.202,259.291,2.67,191.548
JY1,2350.875,145.69,255.863,2.686,188.763
JY1,2351.125,159.692,259.504,2.681,184.314
JY1,2351.25,171.346,265.88,2.668,182.217
JY1,2351.375,181.199,272.991,2.66,181.126
JY1,2351.5,188.002,278.623,2.66,179.545
JY1,2351.625,191.693,281.893,2.664,176.198
JY1,2351.75,193.416,283.431,2.666,172.837
JY1,2351.875,195.702,284.028,2.658,172.15
JY1,2352,200.074,284.068,2.641,174.866
JY1,2352.125,204.518,283.641,2.624,179.42
JY1,2352.25,205.83,282.611,2.616,183.261
JY1,2352.375,203.279,280.771,2.618,184.793
JY1,2352.5,198.474,277.878,2.624,184.047
JY1,2352.625,192.275,273.732,2.631,182.692
JY1,2352.75,183.399,268.255,2.636,183.051
JY1,2352.875,171.311,261.587,2.636,186.1
JY1,2353,158.304,254.315,2.639,191.138
JY1,2353.125,148.413,247.466,2.652,195.518
JY1,2353.875,152.155,243.592,2.65,210.721
JY1,2354,152.327,246.374,2.636,208.833
JY1,2354.125,151.918,248.936,2.627,204.256
JY1,2354.25,151.229,250.7,2.625,197.248
JY1,2354.375,149.754,251.136,2.627,186.343
JY1,2354.5,147.365,250.018,2.629,171.86
JY1,2354.625,145.065,247.479,2.628,156.464
JY1,2354.75,143.667,244.478,2.623,146.259
JY1,2354.875,143.208,242.303,2.62,145.163
JY1,2355,143.342,241.818,2.624,153.399
JY1,2355.125,143.578,242.763,2.632,165.421
JY1,2355.25,143.105,244.337,2.638,176.698
JY1,2355.375,141.778,245.626,2.638,185.201
JY1,2355.5,140.544,245.836,2.636,190.473
JY1,2355.625,140.304,244.632,2.637,192.761
JY1,2355.75,140.137,242.49,2.641,193.981
JY1,2355.875,138.396,240.148,2.647,197.174
JY1,2356.75,138.369,236.583,2.645,178.773
JY1,2356.875,138.222,237.928,2.645,165.415
JY1,2357,139.551,239.007,2.643,152.73
JY1,2357.125,142.548,239.755,2.638,145.055
JY1,2357.25,145.066,240.28,2.633,142.798
JY1,2357.375,145.129,240.634,2.63,144.181
JY1,2357.5,143.361,240.677,2.63,146.779
JY1,2357.625,141.141,240.306,2.632,149.453
JY1,2357.75,138.563,239.535,2.636,151.684
JY1,2357.875,135.498,238.597,2.64,152.498
JY1,2359.25,138.661,239.647,2.648,142.745
JY1,2359.375,137.31,239.158,2.643,141.153
JY1,2359.5,137.3,238.548,2.64,140.156
JY1,2359.625,137.904,238.112,2.64,140.397
JY1,2359.75,138.667,238.085,2.641,139.974
JY1,2359.875,138.664,238.315,2.64,137.417
JY1,2360,137.747,238.522,2.634,134.496
JY1,2360.125,137.386,238.712,2.626,133.34
JY1,2360.25,138.579,238.771,2.618,134.245
JY1,2360.375,140.339,238.531,2.615,135.805
JY1,2360.5,140.692,237.797,2.619,137.469
JY1,2360.625,139.277,236.452,2.627,138.462
JY1,2360.75,137.551,235.087,2.639,138.316
JY1,2361.25,141.532,238.076,2.641,145.773
JY1,2361.375,142.443,239.292,2.628,144.78
JY1,2361.5,141.958,239.565,2.618,142.599
JY1,2361.625,140.208,239.092,2.615,140.364
JY1,2361.75,137.653,238.072,2.616,137.619
JY1,2361.875,135.498,236.937,2.618,134.396
JY1,2362,134.886,236.544,2.622,132.798
JY1,2362.125,136.342,236.947,2.627,133.806
JY1,2362.25,139.321,237.912,2.63,136.791
JY1,2362.375,143.076,239.43,2.63,139.715
JY1,2362.5,146.809,241.132,2.628,141.664
JY1,2362.625,149.057,242.221,2.626,142.965
JY1,2362.75,148.882,242.294,2.626,144.289
JY1,2362.875,147.084,241.726,2.625,144.883
JY1,2363,145.984,241.428,2.623,143.474
JY1,2363.125,146.784,241.72,2.619,140.461
JY1,2363.25,148.477,242.313,2.616,137.835
JY1,2363.375,149.273,242.467,2.622,137.071
JY1,2363.5,148.634,241.244,2.633,137.403
JY1,2363.625,147.823,238.469,2.644,138.125
JY1,2364,154.398,233.461,2.641,137.398
JY1,2364.125,156.216,234.74,2.624,137.381
JY1,2364.25,156.664,237.18,2.607,139.08
JY1,2364.375,156.751,239.007,2.601,140.861
JY1,2364.5,156.743,239.716,2.606,140.622
JY1,2364.625,156.364,239.873,2.616,138.736
JY1,2364.75,156.165,239.725,2.622,137.079
JY1,2364.875,156.101,239.624,2.622,136.74
JY1,2365,155.235,239.706,2.62,137.947
JY1,2365.125,152.887,239.676,2.617,140.202
JY1,2365.25,148.925,239.338,2.619,142.037
JY1,2365.375,144.682,238.135,2.626,142.596
JY1,2365.5,141.71,236.235,2.637,141.722
JY1,2365.625,141.334,234.661,2.644,139.655
JY1,2365.75,143.695,234.015,2.642,136.929
JY1,2365.875,147.501,234.874,2.634,134.985
JY1,2366,150.997,237.534,2.626,134.851
JY1,2366.125,153.23,241.713,2.622,136.86
JY1,2366.25,153.99,246.741,2.618,140.167
JY1,2366.375,153.768,250.733,2.614,144.056
JY1,2366.5,153.363,251.642,2.61,147.726
JY1,2366.625,152.927,250.618,2.606,149.496
JY1,2366.75,152.334,248.165,2.605,148.681
JY1,2366.875,151.699,244.472,2.609,146.574
JY1,2367,151.661,241.27,2.617,145.798
JY1,2367.125,152.52,239.689,2.625,147.093
JY1,2367.25,153.682,239.145,2.626,148.905
JY1,2367.375,153.994,238.896,2.621,149.384
JY1,2367.5,153.38,237.925,2.614,148.409
JY1,2367.625,153.41,237.459,2.61,147.65
JY1,2367.75,157.005,239.414,2.604,148.865
JY1,2367.875,164.218,243.573,2.598,152.096
JY1,2368,173.31,248.411,2.596,155.05
JY1,2368.125,181.435,252.35,2.601,156.543
JY1,2368.25,188.806,252.714,2.611,156.697
JY1,2368.375,196.949,250.254,2.617,156.765
JY1,2368.5,204.078,247.522,2.617,156.737
JY1,2368.625,206.251,245.282,2.612,156.265
JY1,2368.75,199.543,243.563,2.608,156.139
JY1,2368.875,186.123,243.93,2.607,156.091
JY1,2369,171.748,245.393,2.612,155.019
JY1,2369.125,161.778,245.4,2.623,152.357
JY1,2369.25,157.538,243.901,2.631,148.092
JY1,2369.375,157.556,243.425,2.635,143.865
JY1,2369.5,158.865,243.294,2.635,141.2
JY1,2369.625,159.36,241.798,2.635,141.365
JY1,2369.75,158.639,240.057,2.635,144.226
JY1,2369.875,157.634,239.41,2.634,148.237
JY1,2370,157.27,241.05,2.635,151.61
JY1,2370.125,157.803,243.389,2.638,153.58
JY1,2370.25,158.708,243.629,2.641,154.077
JY1,2370.375,159.21,243.045,2.642,153.703
JY1,2370.5,158.624,241.762,2.646,153.292
JY1,2370.625,156.587,237.239,2.651,152.853
JY1,2371.125,154.489,234.976,2.626,152.679
JY1,2371.25,156.379,237.528,2.613,153.868
JY1,2371.375,156.115,239.289,2.606,154.017
JY1,2371.5,154.924,240.014,2.604,153.267
JY1,2371.625,155.103,239.906,2.609,153.435
JY1,2371.75,156.882,239.322,2.618,157.618
JY1,2371.875,159.642,239.433,2.627,165.333
JY1,2372,162.721,240.404,2.63,174.615
JY1,2372.5,163.513,239.581,2.643,204.987
JY1,2372.625,161.189,238.272,2.643,206.438
JY1,2372.75,158.368,237.708,2.639,198.54
JY1,2372.875,154.729,237.452,2.636,184.381
JY1,2373,150.943,236.563,2.632,170.007
JY1,2373.25,146.198,235.045,2.62,157.123
JY1,2374.375,154.892,230.453,2.639,159.253
JY1,2374.5,159.051,236.324,2.624,158.56
JY1,2374.625,163.005,240.873,2.615,156.392
JY1,2374.75,163.811,241.316,2.616,153.236
JY1,2374.875,159.884,240.116,2.625,151.145
JY1,2375,153.385,237.816,2.633,151.819
JY1,2375.5,151.989,233.287,2.635,154.834
JY1,2375.625,157.334,234.618,2.639,155.123
JY1,2375.75,162.664,237.052,2.64,157.007
JY1,2375.875,163.921,240.191,2.637,159.824
JY1,2376,160.271,242.799,2.631,162.914
