Well Name,Depth,Facies,GR,AC,DEN,CNL
JY11-4,2326.125,4,163.905,264.559,2.592,14.634
JY11-4,2326.25,4,164.123,263.51,2.596,14.721
JY11-4,2326.375,4,163.809,262.657,2.606,14.941
JY11-4,2328.375,3,175.077,263.683,2.571,14.491
JY11-4,2328.875,6,179.01,270.227,2.57,14.849
JY11-4,2329,6,180.449,270.77,2.567,14.671
JY11-4,2329.25,6,198.448,270.63,2.587,16.378
JY11-4,2330.125,3,206.087,271.189,2.603,16.521
JY11-4,2330.875,3,205.397,271.861,2.601,16.539
JY11-4,2331,3,207.143,272.663,2.598,16.576
JY11-4,2332.5,3,192.422,257.624,2.613,16.053
JY11-4,2339.875,3,203.276,256.572,2.572,12.264
JY11-4,2341.25,3,202.268,255.609,2.569,12.144
JY11-4,2342.375,3,204.439,255.558,2.56,12.901
JY11-4,2343.125,3,204.158,255.435,2.563,12.552
JY11-4,2346.125,6,206.914,252.55,2.583,11.818
JY11-4,2346.25,6,207.291,251.464,2.577,11.545
JY11-4,2346.375,6,203.996,248.337,2.574,11.574
JY11-4,2347.25,6,172.133,249.371,2.538,10.923
JY11-4,2352.5,3,195.852,257.657,2.524,12.77
JY11-4,2353.25,3,190.887,255.75,2.511,12.363
JY11-4,2355.875,3,120.891,258.705,2.56,15.3
JY11-4,2356.75,3,123.442,260.115,2.56,15.311
JY11-4,2356.875,3,130.404,263.127,2.555,15.373
JY11-4,2357.875,3,182.967,284.712,2.545,18.963
JY11-4,2358,3,185.073,281.636,2.553,19.87
JY11-4,2361.5,3,123.442,260.115,2.56,15.311
JY41-5,2494.5,4,165.888,238.551,2.742,18.609
JY41-5,2494.625,4,164.232,238.706,2.745,18.517
JY41-5,2502.5,1,160.729,231.785,2.707,16.575
JY41-5,2508,1,89.398,198.598,2.66,3.901
JY41-5,2508.125,1,90.29,198.407,2.665,4.075
JY41-5,2508.25,1,90.675,198.382,2.666,4.431
JY41-5,2508.375,1,90.239,198.727,2.664,4.871
JY41-5,2508.5,1,90.293,199.637,2.662,5.296
JY41-5,2508.625,1,92.36,200.983,2.661,5.784
JY41-5,2508.75,1,95.2,202.542,2.661,6.464
JY41-5,2508.875,1,95.399,203.84,2.658,7.242
JY41-5,2509,1,92.413,204.339,2.655,7.767
JY41-5,2509.125,1,88.891,203.738,2.649,7.494
JY41-5,2509.25,1,86.698,202.094,2.643,6.54
JY41-5,2509.375,1,85.319,199.835,2.638,5.277
JY41-5,2509.5,1,84.053,197.367,2.633,4.203
JY41-5,2509.625,1,83.363,195.333,2.626,3.509
JY41-5,2509.75,1,84.698,194.182,2.616,3.117
JY41-5,2509.875,1,88.621,194.229,2.606,2.863
JY41-5,2510,1,94.56,195.297,2.599,2.785
JY41-5,2510.125,1,101.495,197.098,2.594,3.095
JY41-5,2510.25,1,107.449,199.423,2.587,3.795
JY41-5,2510.375,1,111.332,201.981,2.576,4.631
JY41-5,2510.5,1,111.996,204.724,2.568,5.275
JY41-5,2510.625,1,108.866,207.803,2.569,5.626
JY41-5,2510.75,1,102.677,211.188,2.577,5.651
JY41-5,2510.875,1,95.448,214.656,2.583,5.201
JY41-5,2511,1,89.072,217.661,2.579,4.397
JY41-5,2511.125,1,84.427,219.639,2.567,3.52
JY41-5,2511.25,1,83.135,219.946,2.553,2.932
JY41-5,2511.375,1,86.135,218.708,2.542,2.767
JY41-5,2511.5,1,93.129,217.077,2.538,3.023
JY41-5,2511.625,1,102.801,216.58,2.545,3.46
JY41-5,2511.75,1,116.386,218.187,2.563,4.001
JY41-5,2511.875,1,136.575,222.339,2.591,5.132
JY41-5,2512.125,1,180.526,236.33,2.66,13.402
JY41-5,2512.25,1,188.658,242.226,2.693,32.861
JY41-5,2514.75,1,156.551,230.062,2.696,14.817
JY41-5,2517.375,1,67.229,194.375,2.721,5.722
JY41-5,2517.5,1,57.202,187.77,2.721,3.086
JY41-5,2517.625,1,54.608,183.86,2.72,1.783
JY41-5,2518,1,59.953,186.926,2.683,2.289
JY41-5,2518.125,1,60.121,189.957,2.667,2.393
JY41-5,2518.25,1,60.273,192.652,2.651,2.114
JY41-5,2518.375,1,61.048,194.865,2.634,1.649
JY41-5,2518.5,1,62.489,196.416,2.621,1.302
JY41-5,2518.625,1,64.5,197.491,2.614,1.301
JY41-5,2518.75,1,68.112,199.014,2.608,1.719
JY41-5,2518.875,1,77.557,201.797,2.604,2.482
JY41-5,2519,1,95.925,206.39,2.609,3.515
JY41-5,2519.125,1,122.782,212.937,2.628,5.146
JY41-5,2519.375,1,172.899,230.303,2.693,15.051
JY41-5,2519.5,1,186.824,238.368,2.714,25.997
JY41-5,2520.125,4,188.447,249.275,2.725,21.748
JY41-5,2520.25,4,181.884,247.823,2.716,19.892
JY41-5,2522.125,4,181.222,242.698,2.709,19.511
JY41-5,2522.25,4,184.508,243.803,2.704,19.379
JY41-5,2523.25,4,189.081,253.41,2.716,20.6
JY41-5,2523.375,4,191.613,253.397,2.718,20.88
JY41-5,2523.5,4,194.113,253.462,2.716,20.9
JY41-5,2524.5,4,182.628,254.347,2.72,20.658
JY41-5,2525.125,4,174.938,251.576,2.703,21.156
JY41-5,2525.25,4,175.701,251.445,2.705,20.67
JY41-5,2525.375,4,176.596,251.55,2.71,20.224
JY41-5,2526.125,4,178.725,254.019,2.728,20.25
JY41-5,2526.25,4,180.339,254.521,2.731,20.893
JY41-5,2526.375,4,183.28,255.012,2.735,21.529
JY41-5,2527.125,4,181.617,255.457,2.72,20.906
JY41-5,2527.25,4,179.41,254.761,2.716,20.503
JY41-5,2527.375,4,177.695,253.873,2.715,20.45
JY41-5,2528,4,178.108,250.025,2.723,20.761
JY41-5,2528.125,4,175.971,249.991,2.719,20.25
JY41-5,2528.25,4,175.205,250.204,2.714,20.031
JY41-5,2528.875,4,182.537,249.494,2.716,19.519
JY41-5,2529,4,178.026,248.254,2.714,20.092
JY41-5,2529.125,4,172.929,246.999,2.718,20.226
JY41-5,2529.75,4,179.54,247.462,2.726,21.053
JY41-5,2529.875,4,180.642,248.073,2.725,21.299
JY41-5,2530,4,180.674,248.408,2.723,20.965
JY41-5,2530.625,4,178.624,249.629,2.731,19.956
JY41-5,2530.75,4,177.418,250.406,2.728,19.219
JY41-5,2530.875,4,177.107,251.216,2.727,18.727
JY41-5,2531.375,4,184.077,252.736,2.717,21.149
