Well Name,Depth,GR,AC,LLS,LLD,Facies
JY4,2489.5,140.723,73.099,17.649,17.339,1
JY4,2489.625,133.656,73.256,18.347,18.2,1
JY4,2489.75,127.127,73.021,19.957,19.857,1
JY4,2489.875,125.759,72.232,22.414,22.111,1
JY4,2490,130.313,71.079,25.108,24.296,1
JY4,2490.125,137.428,69.748,26.988,25.502,1
JY4,2490.25,143.321,68.446,26.957,24.985,1
JY4,2490.375,146.25,67.938,25.284,23.245,1
JY4,2490.5,144.742,68.678,23.309,21.558,1
JY4,2490.625,137.474,69.974,22.581,21.166,1
JY4,2490.75,127.263,70.808,23.559,22.266,1
JY4,2490.875,119.725,70.579,25.755,24.276,1
JY4,2491,118.081,69.199,28.26,26.344,1
JY4,2491.125,119.908,67.526,30.227,27.796,1
JY4,2491.25,119.73,66.497,31.198,28.429,1
JY4,2491.375,114.656,66.26,31.935,29.051,1
JY4,2491.5,107.238,66.764,33.814,30.734,1
JY4,2491.625,103.882,67.469,36.995,33.312,1
JY4,2491.75,107.083,67.259,39.486,34.999,1
JY4,2491.875,112.91,66.37,39.481,34.439,1
JY4,2492,116.058,66.248,36.954,31.851,1
JY4,2492.125,117.215,66.913,33.238,28.465,1
JY4,2492.25,119.709,67.303,29.426,25.22,1
JY4,2492.375,122.234,67.905,26.463,22.895,1
JY4,2492.5,119.634,69.543,25.201,22.147,1
JY4,2492.625,109.203,70.836,26.367,23.62,1
JY4,2492.75,95.112,70.839,31.707,28.917,1
JY4,2492.875,83.204,70.546,43.98,40.283,1
JY4,2493,76.555,69.551,64.485,58.356,1
JY4,2493.125,74.638,66.49,88.657,78.835,1
JY4,2493.25,75.637,62.621,109.168,95.433,1
JY4,2493.375,77.992,60.079,119.377,102.835,1
JY4,2493.5,80.771,59.025,118.755,101.106,1
JY4,2493.625,83.949,58.784,110.546,93.265,1
JY4,2493.75,88.722,59.189,98.429,82.405,1
JY4,2493.875,96.019,59.749,85.034,70.646,1
JY4,2494,105.356,60.049,71.217,58.744,1
JY4,2494.125,114.555,60.608,57.838,47.567,1
JY4,2494.25,120.782,62.012,46.461,38.399,1
JY4,2494.375,121.618,64.143,38.542,32.322,1
JY4,2494.5,116.743,66.702,34.593,29.67,1
JY4,2494.625,107.636,68.989,34.851,30.645,1
JY4,2494.75,96.389,70.263,41.099,36.875,1
JY4,2494.875,85.536,70.102,57.568,52.185,1
JY4,2495,77.477,68.097,93.197,83.925,1
JY4,2495.125,74.301,64.829,153.256,134.353,1
JY4,2495.25,75.921,61.662,212.119,180.288,1
JY4,2495.375,80.747,58.975,229.076,189.138,1
JY4,2495.5,85.62,57.236,188.816,152.331,1
