Well Name,Depth,Facies,GR,AC,DEN,CNL
JY56-z1,2865.625,4,178.192,238.154,2.703,17.407
JY56-z1,2866.375,6,152.601,223.37,2.714,13.397
JY56-z1,2866.5,6,133.628,214.84,2.744,11.741
JY56-z1,2866.75,6,104.356,202.746,2.762,10.043
JY56-z1,2867.125,6,115.596,213.184,2.684,11.452
JY56-z1,2867.25,6,131.687,221.84,2.658,12.74
JY56-z1,2867.375,6,149.31,232.963,2.648,14.258
JY56-z1,2867.625,3,177.197,254.803,2.662,17.57
JY56-z1,2867.875,3,192.797,264.676,2.681,19.717
JY56-z1,2868,4,198.527,264.848,2.688,19.396
JY56-z1,2868.25,4,202.489,264.334,2.702,18.806
JY56-z1,2868.375,4,200.754,263.861,2.708,19.299
JY56-z1,2868.625,4,198.02,262.39,2.706,19.351
JY56-z1,2868.75,4,199.364,261.685,2.701,18.796
JY56-z1,2869,4,203.933,261.522,2.695,18.61
JY56-z1,2869.25,4,200.315,263.08,2.689,19.113
JY56-z1,2869.375,4,199.042,263.997,2.688,19.239
JY56-z1,2869.5,4,200.104,264.448,2.689,19.268
JY56-z1,2869.75,4,203.809,263.232,2.699,19.294
JY56-z1,2869.875,4,202.465,261.771,2.701,19.179
JY56-z1,2870,4,198.784,259.954,2.698,18.719
JY56-z1,2870.25,4,193.824,256.697,2.691,17.834
JY56-z1,2870.375,4,194.304,256.262,2.695,17.845
JY56-z1,2870.625,4,195.741,259.285,2.695,17.786
JY56-z1,2870.875,4,199.771,265.331,2.681,17.16
JY56-z1,2871,4,204.394,268.315,2.682,16.989
JY56-z1,2871.25,4,211.455,271.449,2.673,17.146
JY56-z1,2871.5,4,226.782,268.876,2.647,17.3
JY56-z1,2871.625,4,230.538,264.967,2.633,17.252
JY56-z1,2871.75,4,224.608,260.144,2.634,16.958
JY56-z1,2872,3,200.83,249.726,2.667,15.484
JY56-z1,2872.125,3,194.706,244.837,2.68,14.583
JY56-z1,2872.25,3,193.199,240.661,2.686,13.959
JY56-z1,2872.75,2,191.171,234.797,2.689,14.438
JY56-z1,2872.875,2,191.352,234.322,2.689,14.72
JY56-z1,2873,2,193.357,234.235,2.691,15.038
JY56-z1,2873.125,2,193.6,234.506,2.691,15.165
JY56-z1,2873.25,2,190.547,235.075,2.688,15.022
JY56-z1,2873.375,2,186.941,235.787,2.682,14.721
JY56-z1,2873.5,2,186.9,236.552,2.677,14.428
JY56-z1,2873.625,2,190.4,237.467,2.674,14.114
JY56-z1,2873.75,2,193.414,238.579,2.672,13.821
JY56-z1,2873.875,2,192.676,239.821,2.67,13.725
JY56-z1,2874.125,4,187.071,242.143,2.665,14.255
JY56-z1,2874.25,4,186.125,243.295,2.663,14.587
JY56-z1,2874.375,4,185.95,244.358,2.663,14.769
JY56-z1,2874.5,4,185.556,244.924,2.663,14.742
JY56-z1,2874.625,4,185.417,245.329,2.663,14.632
JY56-z1,2874.75,4,186.492,245.699,2.663,14.571
JY56-z1,2875,3,190.021,245.966,2.663,14.962
JY56-z1,2875.125,3,189.493,245.589,2.664,15.356
JY56-z1,2875.25,3,189.136,244.793,2.664,15.638
JY56-z1,2875.5,3,191.197,242.298,2.666,15.247
JY56-z1,2875.625,3,189.202,241.303,2.664,14.593
JY56-z1,2875.75,3,185.499,240.591,2.66,13.94
JY56-z1,2876,3,181.968,239.408,2.655,13.66
JY56-z1,2876.125,3,182.889,238.572,2.657,13.982
JY56-z1,2876.25,3,184.038,237.444,2.663,14.189
JY56-z1,2876.5,5,180.435,234.906,2.68,13.971
JY56-z1,2876.625,5,173.312,234.057,2.687,14.009
JY56-z1,2876.75,5,164.72,233.544,2.686,14.231
JY56-z1,2876.875,2,159.807,233.33,2.68,14.416
JY56-z1,2877,2,161.855,233.461,2.674,14.377
JY56-z1,2877.125,2,168.63,234.233,2.671,14.124
JY56-z1,2877.25,2,174.572,235.686,2.669,13.766
JY56-z1,2877.625,3,180.531,239.221,2.655,14.002
JY56-z1,2877.75,3,185.464,239.757,2.648,14.306
JY56-z1,2877.875,3,189.524,239.646,2.642,14.393
JY56-z1,2878,3,189.772,239.903,2.64,14.259
JY56-z1,2878.125,3,187.322,240.407,2.643,14.073
JY56-z1,2878.25,3,184.482,240.931,2.649,13.917
JY56-z1,2878.375,3,181.292,241.241,2.656,13.737
JY56-z1,2878.5,3,177.188,241.159,2.665,13.588
JY56-z1,2878.625,3,173.101,240.67,2.676,13.617
JY56-z1,2880,3,176.698,245.5,2.645,14.224
JY56-z1,2880.125,3,180.847,245.249,2.644,14.565
JY56-z1,2880.25,3,185.538,244.428,2.648,14.829
JY56-z1,2880.875,2,182.601,243.714,2.674,14.422
JY56-z1,2881,2,183.96,244.134,2.669,14.391
JY56-z1,2881.125,2,184.741,243.779,2.666,14.052
JY56-z1,2882,2,171.905,245.739,2.65,12.157
JY56-z1,2882.125,2,173.745,249.275,2.645,12.537
JY56-z1,2882.25,2,175.917,252.655,2.643,13.292
JY56-z1,2883.125,3,186.201,264.913,2.641,16.821
JY56-z1,2883.25,3,188.081,265.071,2.638,17.161
JY56-z1,2883.375,3,189.515,265.097,2.633,17.337
JY56-z1,2883.5,6,190.817,265.103,2.628,17.344
JY56-z1,2883.625,6,193.05,265.091,2.623,17.142
JY56-z1,2883.75,2,194.322,265.079,2.623,16.734
JY56-z1,2883.875,2,191.53,265.005,2.626,16.252
JY56-z1,2884,6,185.804,264.795,2.63,15.903
JY56-z1,2884.125,6,180.803,264.706,2.634,15.724
JY56-z1,2884.25,6,179.035,265.148,2.635,15.706
JY56-z1,2884.375,2,180.25,265.892,2.632,15.726
JY56-z1,2884.5,2,184.305,266.818,2.627,15.673
JY56-z1,2884.625,2,188.676,267.715,2.622,15.589
JY56-z1,2884.75,4,191.306,268.203,2.619,15.597
JY56-z1,2884.875,4,191.494,267.972,2.616,15.691
JY56-z1,2886.125,3,190.466,267.539,2.634,14.365
JY56-z1,2886.25,3,191.143,267.968,2.642,14.644
JY56-z1,2886.375,3,190.942,268.856,2.645,15.093
JY56-z1,2886.75,4,190.201,272.27,2.623,16.442
JY56-z1,2886.875,4,191.312,272.557,2.622,16.263
JY56-z1,2887,4,190.751,271.908,2.622,15.844
JY56-z1,2887.875,3,184.363,268.444,2.63,14.665
JY56-z1,2888,3,185.138,268.838,2.644,14.754
JY56-z1,2888.125,3,184.536,269.326,2.657,14.718
JY56-z1,2889,3,189.27,267.933,2.622,14.504
JY56-z1,2889.125,3,187.888,265.961,2.627,14.308
JY56-z1,2889.25,3,186.128,264.033,2.632,13.964
JY56-z1,2890,3,180.871,267.685,2.613,12.646
JY56-z1,2890.125,3,183.39,268.104,2.609,12.606
JY56-z1,2890.25,3,185.988,267.901,2.609,12.663
JY56-z1,2891,3,187.658,265.427,2.61,15.226
JY56-z1,2891.125,3,185.36,265.641,2.613,15.577
JY56-z1,2891.25,3,185.304,265.625,2.615,15.554
JY56-z1,2892.125,3,190.088,262.345,2.584,13.657
JY56-z1,2892.25,3,191.606,262.193,2.576,13.148
JY56-z1,2892.375,3,192.134,262.406,2.574,12.774
JY56-z1,2893,3,206.04,262.707,2.586,13.827
JY56-z1,2893.125,3,206.639,262.014,2.584,14.266
JY56-z1,2893.25,3,206.094,260.985,2.583,14.524
JY56-z1,2893.875,3,197.798,258.876,2.581,13.777
JY56-z1,2894,3,198.72,257.888,2.578,13.766
JY56-z1,2894.125,3,201.937,256.577,2.578,13.688
JY56-z1,2894.625,3,225.633,268.316,2.609,14.663
JY56-z1,2894.75,3,232.297,274.879,2.621,15.169
JY56-z1,2894.875,3,237.981,280.058,2.628,15.445
JY56-z1,2895.5,3,230.469,271.712,2.633,15.136
JY56-z1,2895.625,3,219.259,265.931,2.642,15.381
JY56-z1,2895.75,3,211.028,260.664,2.652,14.968
JY56-z1,2896.5,3,202.826,252.122,2.626,14.181
JY56-z1,2896.625,3,211.022,252.492,2.624,13.748
JY56-z1,2896.75,3,213.836,252.878,2.626,13.207
JY56-z1,2897.375,5,201.478,247.118,2.621,12.306
JY56-z1,2897.5,5,202.957,245.983,2.625,12.286
JY56-z1,2897.625,5,203.683,245.696,2.63,12.403
JY56-z1,2898.375,4,214.601,246.731,2.623,12.928
JY56-z1,2898.5,4,213.344,247.116,2.627,12.765
JY56-z1,2898.625,4,209.516,248.093,2.627,12.485
JY56-z1,2899.125,5,209.189,250.04,2.623,11.717
JY56-z1,2899.25,5,209.761,249.581,2.616,11.476
JY56-z1,2899.375,5,213.236,249.166,2.607,11.63
JY56-z1,2900.125,3,203.368,248.531,2.593,12.421
JY56-z1,2900.25,3,200.59,250.257,2.588,12.139
JY56-z1,2900.375,3,196.759,251.841,2.589,11.918
JY56-z1,2901.125,3,207.358,251.644,2.592,11.314
JY56-z1,2901.25,3,203.285,250.595,2.594,11.132
JY56-z1,2901.375,3,200.415,250.002,2.598,11.321
JY56-z1,2902.125,3,185.318,245.169,2.579,12.166
JY56-z1,2902.25,3,187.379,246.973,2.579,12.168
JY56-z1,2902.375,3,191.92,250.404,2.581,12.569
JY56-z1,2903,3,221.162,256.914,2.587,11.829
JY56-z1,2903.125,3,214.866,254.28,2.598,11.323
JY56-z1,2903.25,3,205.511,252.369,2.611,11.245
