GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
143.487,195.074,222.629,2.604,13.108,3.314,3
137.622,195.443,213.431,2.609,13.097,3.313,3
127.198,195.694,203.654,2.627,12.414,3.175,3
173.706,200.642,265.687,2.643,18.923,4.372,4
175.295,201.307,266.702,2.647,19.284,4.356,4
175.648,202.027,267.093,2.653,19.764,4.321,4
174.756,202.745,266.928,2.658,19.896,4.259,4
173.896,203.404,266.398,2.659,19.753,4.19,4
173.91,203.953,265.489,2.655,19.522,4.153,4
174.92,204.391,264.535,2.649,19.184,4.149,4
176.34,204.728,263.425,2.643,18.801,4.15,4
178.568,205.007,260.982,2.638,18.423,4.131,4
182.712,205.279,256.529,2.635,17.903,4.089,4
187.077,205.601,250.271,2.635,17.091,4.014,4
188.559,206.003,244.51,2.639,15.989,3.929,4
186.492,206.486,242.323,2.648,14.894,3.868,4
184.538,207.038,245.577,2.654,14.252,3.843,4
187.382,207.6,252.035,2.652,14.619,3.857,4
196.389,208.105,259.546,2.642,16.002,3.895,4
209.409,208.458,265.684,2.63,17.743,3.922,4
222.608,208.629,268.159,2.622,18.701,3.918,4
230.905,208.617,267.009,2.616,18.577,3.892,4
231.72,208.5,263.816,2.61,17.884,3.84,4
226.221,208.41,259.268,2.604,17.179,3.744,4
220.089,208.49,253.943,2.601,16.414,3.615,4
216.129,208.825,249.206,2.605,15.481,3.472,4
213.227,209.394,245.883,2.612,14.659,3.291,4
209.54,210.128,243.793,2.618,14.229,3.114,4
205.105,210.896,241.36,2.623,14.114,2.975,4
200.475,211.623,239.303,2.629,13.922,2.815,4
196.162,212.278,239.473,2.638,13.605,2.645,4
194.391,212.902,240.299,2.646,13.575,2.585,4
198.053,213.539,241.618,2.65,14.257,2.698,4
206.598,214.211,246.819,2.65,15.666,2.882,4
216.618,214.865,254.184,2.646,17.346,3.04,4
224.081,215.373,259.981,2.641,18.623,3.202,4
226.068,215.541,264.266,2.639,19.287,3.412,4
221.147,215.253,268.802,2.642,19.71,3.624,4
212.159,214.419,272.626,2.649,20.185,3.857,4
183.5,201.443,238.28,2.654,13.626,3.545,4
170.181,201.661,237.987,2.652,13.619,3.521,4
165.336,201.705,239.337,2.649,13.965,3.534,4
167.248,201.676,241.077,2.642,14.321,3.541,4
170.058,201.635,241.455,2.633,14.577,3.512,4
170.755,201.607,241.451,2.625,14.683,3.446,4
170.341,201.569,241.65,2.623,14.637,3.355,4
170.824,201.479,242.07,2.626,14.659,3.236,4
172.096,201.293,241.975,2.631,14.927,3.122,4
173.461,201.023,240.528,2.632,15.227,3.052,4
175.602,200.719,239.085,2.63,15.17,3.043,4
178.363,200.484,238.04,2.628,14.698,3.128,4
179.257,200.404,236.032,2.629,14.196,3.288,4
177.016,200.541,234.305,2.63,13.983,3.421,4
172.866,200.829,234.067,2.627,14.063,3.465,4
169.885,201.147,234.033,2.619,14.239,3.469,4
169.899,201.304,234.521,2.609,14.436,3.412,4
183.331,158.273,243.1,2.635,12.74,3.041,1
181.801,158.251,244.108,2.632,12.719,3.124,1
178.137,158.177,242.85,2.628,12.528,3.216,1
174.572,158.01,239.365,2.629,12.239,3.347,1
173,157.78,236.19,2.633,12.052,3.495,1
172.97,157.568,234.333,2.635,12.029,3.577,1
173.468,157.438,233.847,2.627,12.038,3.57,1
173.38,157.383,236.201,2.612,12.033,3.547,1
173.982,157.29,241.233,2.599,12.141,3.508,1
176.861,156.982,246.144,2.598,12.611,3.409,1
180.904,156.263,249.346,2.605,13.508,3.281,1
183.026,154.931,251.088,2.613,14.387,3.185,1
180.131,153.002,250.47,2.611,14.556,3.137,1
174.164,150.558,247.221,2.601,13.707,3.082,1
167.51,147.937,243.563,2.59,12.624,2.996,1
162.197,145.559,241.581,2.583,11.974,2.894,1
159.869,143.941,240.985,2.583,11.842,2.803,1
161.601,143.401,241.237,2.587,11.897,2.733,1
166.064,143.973,241.368,2.588,11.888,2.7,1
170.419,145.542,240.527,2.586,11.811,2.706,1
172.534,147.509,239.605,2.583,11.853,2.764,1
173.181,149.391,241.026,2.586,12.207,2.906,1
175.586,150.708,245.486,2.595,12.94,3.123,1
182.713,151.368,250.099,2.607,13.903,3.303,1
192.149,151.431,252.493,2.615,14.712,3.373,1
198.556,151.169,253.737,2.617,14.963,3.318,1
197.41,150.891,253.592,2.614,14.562,3.133,1
192.841,150.821,251.304,2.611,13.773,2.881,1
189.176,151.056,248.959,2.611,12.963,2.684,1
187.655,151.555,247.381,2.614,12.234,2.576,1
186.481,152.237,245.433,2.616,11.697,2.48,1
184.848,152.954,243.543,2.612,11.482,2.394,1
184.81,153.615,242.315,2.605,11.613,2.342,1
187.372,154.153,242.073,2.595,11.966,2.318,1
191.513,154.586,243.541,2.584,12.422,2.33,1
195.9,154.916,245.708,2.573,12.856,2.394,1
200.507,155.102,247.532,2.566,13.11,2.481,1
205.721,155.074,249.255,2.564,13.129,2.542,1
210.135,154.703,251.149,2.566,12.977,2.592,1
211.808,153.876,252.759,2.571,12.736,2.654,1
210.061,152.62,253.604,2.575,12.461,2.702,1
206.418,151.022,253.505,2.575,12.231,2.712,1
202.469,149.364,252.7,2.572,12.13,2.697,1
200.515,147.911,251.951,2.569,12.163,2.698,1
200.661,146.96,251.757,2.567,12.303,2.717,1
201.359,146.571,252.19,2.565,12.544,2.741,1
200.842,146.706,253.046,2.566,12.77,2.754,1
199.552,147.243,254.218,2.568,12.841,2.762,1
199.352,147.97,255.6,2.571,12.795,2.767,1
200.561,148.787,256.684,2.573,12.695,2.774,1
202.297,149.651,257.014,2.573,12.511,2.783,1
203.276,150.541,256.572,2.572,12.264,2.795,1
202.268,151.401,255.609,2.569,12.144,2.799,1
198.601,152.099,254.336,2.567,12.315,2.788,1
193.727,152.515,253.269,2.565,12.76,2.768,1
191.005,152.537,252.624,2.563,13.286,2.749,1
192.571,152.274,252.486,2.561,13.719,2.733,1
