 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
2,JY51-2,3126.87,213.353,240.899,2.562,12.874,130.003,128.972,3.083
2,JY51-2,3127.87,219.861,247.951,2.535,12.769,105.058,104.294,3.155
2,JY51-2,3128.87,208.617,248.603,2.547,13.139,24.706,24.839,3.141
2,JY51-2,3129.87,205.527,247.745,2.541,11.904,37.006,39.705,2.444
2,JY51-2,3130.87,212.2,249.2,2.542,12.254,80.249,83.804,2.229
2,JY51-2,3131.87,235.09,245.432,2.565,12.672,80.353,80.979,2.834
2,JY51-2,3132.87,236.655,252.149,2.549,12.715,47.521,49.899,2.572
2,JY51-2,3133.87,232.485,252.896,2.526,12.44,35.869,36.619,2.465
4,JY51-2,3134.97,341.333,261.22,2.549,16.073,14.019,15.144,3.687
2,JY51-2,3135.87,272.344,246.653,2.532,12.587,19.319,20.746,2.768
2,JY51-2,3136.87,293.19,246.378,2.507,10.741,99.418,94.587,2.65
2,JY51-2,3138.34,436.878,251.91,2.454,11.41,19.074,20.166,4.581
2,JY51-2,3138.87,308.532,252.159,2.516,12.926,163.14,158.748,3.145
2,JY51-2,3139.87,232.701,247.44,2.516,10.917,20.606,20.728,2.34
2,JY51-2,3140.87,221.863,239.404,2.506,10.544,55.825,57.866,1.445
2,JY51-2,3141.87,184.389,236.011,2.492,9.918,101.744,101.421,2.948
3,JY51-2,3142.87,155.465,254.036,2.562,14.436,20.933,19.453,3.926
4,JY51-2,3143.87,195.247,271.254,2.559,18.693,193.663,144.464,4.49
3,JY51-2,3144.87,137.797,216.495,2.755,13.76,61.27,63.271,3.389
