 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
4,JY11-4,2314.804932,170.341,241.65,2.623,14.637,39.362,40.455,3.355
4,JY11-4,2315.71,172.866,234.067,2.627,14.063,36.777,38.059,3.465
2,JY11-4,2316.850098,164.722,245.513,2.631,15.756,19.414,18.653,2.803
2,JY11-4,2317.84,163.965,238.676,2.624,14.712,11.353,12.251,3.735
2,JY11-4,2318.889893,156.191,235.604,2.651,14.142,59.21,60.454,3.345
2,JY11-4,2319.7,164.328,241.12,2.655,14.766,41.379,41.546,3.759
3,JY11-4,2320.965088,160.856,237.507,2.627,13.713,19.799,20.645,3.444
2,JY11-4,2322.45,160.327,243.024,2.633,13.831,52.893,54.944,3.453
2,JY11-4,2323.965088,167.504,263.382,2.613,14.763,41.565,42.776,3.597
3,JY11-4,2324.71,180.344,270.149,2.608,15.96,22.133,22.83,3.751
3,JY11-4,2326.26001,171.81,270.648,2.603,16.687,43.757,45.362,3.158
2,JY11-4,2327.1,167.894,266.695,2.602,15.444,42.872,43.814,3.365
2,JY11-4,2328.25,168.774,267.358,2.609,14.724,49.987,52.186,3.635
5,JY11-4,2329.18,163.905,264.559,2.592,14.634,48.332,51.018,2.574
2,JY11-4,2330.054932,166.6,262.389,2.584,14.898,59.078,64.111,2.901
2,JY11-4,2330.97,176.341,264.705,2.57,14.269,56.099,61.563,2.679
2,JY11-4,2332.584961,180.449,270.77,2.567,14.671,58.48,63.393,2.863
2,JY11-4,2333.53,206.855,268.563,2.594,15.977,17.846,18.939,2.901
2,JY11-4,2334.530029,184.478,253.087,2.585,12.73,31.779,32.445,2.525
3,JY11-4,2335.560059,205.397,271.861,2.601,16.539,29.401,30.753,3.416
2,JY11-4,2336.580078,192.422,257.624,2.613,16.053,27.793,28.719,3.64
2,JY11-4,2337.22,177.646,242.935,2.619,13.552,43.69,45.15,3.318
4,JY11-4,2338.435059,182.431,239.975,2.617,12.839,50.94,53.735,2.822
2,JY11-4,2339.75,173.468,233.847,2.627,12.038,68.931,74.543,3.57
2,JY11-4,2341.344971,170.419,240.527,2.586,11.811,41.008,43.707,2.706
2,JY11-4,2342.300049,197.41,253.592,2.614,14.562,23.697,25.396,3.133
2,JY11-4,2343.25,191.513,243.541,2.584,12.422,68.476,73.993,2.33
2,JY11-4,2344.370117,200.515,251.951,2.569,12.163,64.857,69.131,2.698
2,JY11-4,2345.48999,202.268,255.609,2.569,12.144,36.037,38.781,2.799
5,JY11-4,2346.72,191.476,248.557,2.569,11.965,34.969,37.44,2.838
2,JY11-4,2347.695068,196.245,248.016,2.591,11.429,39.857,42.869,2.439
2,JY11-4,2348.58,207.291,251.464,2.577,11.545,47.449,51.857,2.876
2,JY11-4,2350.300049,203.081,256.178,2.547,13.112,30.018,32.96,2.892
2,JY11-4,2351.3,193.378,257.677,2.533,12.6,38.913,42.416,2.904
2,JY11-4,2352.429932,174.314,249.049,2.543,11.057,42.804,45.794,2.015
2,JY11-4,2353.35,171.757,245.444,2.531,11.41,60.197,64.608,2.2
2,JY11-4,2354.52002,196.232,247.136,2.504,9.892,16.173,17.564,2.035
