Well Name,Depth,GR,AC,DEN,CNL
JY52-2HF,2805.917,98.063,198.318,2.303,33.829
JY52-2HF,2806.029,98.077,198.558,2.313,33.395
JY52-2HF,2806.14,98.416,198.667,2.324,33.115
JY52-2HF,2806.251,99.154,198.647,2.335,33.025
JY52-2HF,2806.363,100.355,198.511,2.344,33.136
JY52-2HF,2806.474,101.929,198.261,2.354,33.317
JY52-2HF,2806.585,103.51,197.948,2.363,33.417
JY52-2HF,2806.697,104.686,197.588,2.37,33.279
JY52-2HF,2806.808,105.166,197.196,2.375,32.909
JY52-2HF,2806.92,104.979,196.784,2.378,32.412
JY52-2HF,2807.031,104.24,196.364,2.379,32.006
JY52-2HF,2807.142,103.325,195.952,2.38,31.839
JY52-2HF,2807.254,102.577,195.556,2.382,31.985
JY52-2HF,2807.365,102.25,195.178,2.387,32.335
JY52-2HF,2807.476,102.172,194.817,2.394,32.735
JY52-2HF,2807.588,102.056,194.469,2.401,33.021
JY52-2HF,2807.699,101.622,194.128,2.406,33.127
JY52-2HF,2807.811,100.886,193.796,2.407,33.066
JY52-2HF,2807.922,100.032,193.491,2.407,32.897
JY52-2HF,2808.033,99.422,193.232,2.406,32.7
JY52-2HF,2808.145,99.254,193.045,2.405,32.505
JY52-2HF,2808.256,99.526,192.957,2.405,32.304
JY52-2HF,2808.367,99.883,192.975,2.407,32.077
JY52-2HF,2808.479,99.957,193.056,2.41,31.807
JY52-2HF,2808.59,99.492,193.172,2.411,31.503
JY52-2HF,2808.702,98.657,193.293,2.411,31.181
JY52-2HF,2808.813,97.758,193.4,2.408,30.851
JY52-2HF,2808.924,97.17,193.473,2.403,30.5
JY52-2HF,2809.036,97.069,193.515,2.397,30.109
JY52-2HF,2809.147,97.517,193.53,2.395,29.647
JY52-2HF,2809.258,98.381,193.522,2.398,29.14
JY52-2HF,2809.37,99.286,193.498,2.406,28.649
JY52-2HF,2809.48,99.937,193.473,2.417,28.308
JY52-2HF,2809.589,100.219,193.492,2.426,28.211
JY52-2HF,2809.699,100.239,193.591,2.432,28.43
JY52-2HF,2809.809,100.164,193.795,2.432,28.926
JY52-2HF,2809.919,100.157,194.114,2.431,29.567
JY52-2HF,2810.028,100.15,194.542,2.432,30.209
JY52-2HF,2810.138,99.704,195.059,2.44,30.719
JY52-2HF,2810.248,98.371,195.59,2.454,31.046
JY52-2HF,2810.358,96.099,196.086,2.472,31.167
JY52-2HF,2810.467,93.394,196.514,2.484,31.174
JY52-2HF,2810.577,91.168,196.848,2.487,31.18
JY52-2HF,2810.687,90.151,197.068,2.48,31.356
JY52-2HF,2810.797,90.769,197.125,2.46,31.782
JY52-2HF,2810.906,92.588,197.039,2.437,32.445
JY52-2HF,2811.016,94.88,196.808,2.415,33.189
JY52-2HF,2811.126,96.662,196.442,2.399,33.797
JY52-2HF,2811.236,97.535,195.965,2.389,34.089
JY52-2HF,2811.345,97.478,195.443,2.383,34.024
JY52-2HF,2811.455,96.984,195.034,2.377,33.698
JY52-2HF,2811.565,96.495,194.941,2.372,33.229
JY52-2HF,2811.675,96.47,195.147,2.362,32.775
JY52-2HF,2811.784,96.973,195.688,2.354,32.433
JY52-2HF,2811.894,97.819,196.746,2.348,32.275
JY52-2HF,2812.004,98.661,197.706,2.347,32.261
JY52-2HF,2812.114,99.325,198.197,2.346,32.364
JY52-2HF,2812.223,99.794,198.302,2.342,32.612
JY52-2HF,2812.333,100.029,198.132,2.331,33.059
JY52-2HF,2812.443,99.92,197.844,2.313,33.779
JY52-2HF,2812.552,99.324,197.753,2.29,34.76
JY52-2HF,2812.662,98.266,197.538,2.265,35.858
JY52-2HF,2812.772,96.887,197.468,2.244,36.865
JY52-2HF,2812.882,95.405,197.468,2.231,37.563
JY52-2HF,2812.991,94.165,197.376,2.227,37.871
JY52-2HF,2813.101,93.418,197.013,2.232,37.77
JY52-2HF,2813.211,93.289,196.65,2.242,37.429
JY52-2HF,2813.321,93.551,196.286,2.255,36.986
JY52-2HF,2813.43,94.09,196.139,2.268,36.549
JY52-2HF,2813.54,94.92,196.139,2.279,36.147
JY52-2HF,2813.65,96.054,196.139,2.287,35.753
JY52-2HF,2813.76,97.472,196.139,2.292,35.327
JY52-2HF,2813.869,99.035,196.352,2.295,34.864
JY52-2HF,2813.979,100.536,196.742,2.296,34.393
JY52-2HF,2814.089,101.653,197.378,2.297,33.964
JY52-2HF,2814.198,102.101,198.169,2.296,33.601
JY52-2HF,2814.308,101.78,198.874,2.294,33.313
JY52-2HF,2814.418,100.699,199.237,2.291,33.084
JY52-2HF,2814.528,99.259,199.065,2.289,32.906
JY52-2HF,2814.637,97.864,198.482,2.288,32.793
JY52-2HF,2814.747,97.053,197.674,2.291,32.743
JY52-2HF,2814.857,96.968,196.794,2.298,32.752
JY52-2HF,2814.967,97.479,195.841,2.306,32.819
JY52-2HF,2815.076,98.092,194.975,2.314,32.948
JY52-2HF,2815.186,98.379,194.746,2.32,33.169
JY52-2HF,2815.296,98.106,194.876,2.323,33.503
JY52-2HF,2815.406,97.412,195.191,2.323,33.912
JY52-2HF,2815.515,96.662,195.502,2.324,34.302
JY52-2HF,2815.625,96.286,194.471,2.325,34.528
JY52-2HF,2815.735,96.403,193.085,2.33,34.493
JY52-2HF,2815.845,96.872,191.617,2.337,34.125
JY52-2HF,2815.955,97.424,190.564,2.346,33.529
JY52-2HF,2816.064,97.787,190.334,2.355,32.867
JY52-2HF,2816.174,97.773,191.044,2.361,32.379
JY52-2HF,2816.284,97.293,192.27,2.366,32.214
JY52-2HF,2816.394,96.619,193.499,2.37,32.431
JY52-2HF,2816.503,96.191,194.439,2.375,32.943
JY52-2HF,2816.613,96.444,195.069,2.381,33.514
JY52-2HF,2816.723,97.385,195.54,2.389,33.922
JY52-2HF,2816.831,98.78,195.967,2.398,34.012
JY52-2HF,2816.939,100.074,196.275,2.406,33.798
JY52-2HF,2817.048,100.81,196.442,2.414,33.341
JY52-2HF,2817.156,100.592,196.46,2.425,32.772
JY52-2HF,2817.264,99.647,196.336,2.437,32.162
JY52-2HF,2817.372,98.379,196.097,2.451,31.543
JY52-2HF,2817.48,97.346,195.795,2.465,30.95
JY52-2HF,2817.588,96.869,195.519,2.475,30.451
JY52-2HF,2817.697,97.072,195.317,2.48,30.193
JY52-2HF,2817.805,97.742,195.219,2.479,30.272
JY52-2HF,2817.913,98.448,195.244,2.472,30.761
JY52-2HF,2818.021,98.904,195.398,2.462,31.617
JY52-2HF,2818.129,99.162,195.644,2.452,32.657
JY52-2HF,2818.238,99.498,195.911,2.445,33.679
JY52-2HF,2818.346,100.225,196.157,2.441,34.463
JY52-2HF,2818.454,101.394,196.342,2.441,34.907
JY52-2HF,2818.562,102.785,196.438,2.441,34.941
JY52-2HF,2818.67,103.841,196.413,2.439,34.667
JY52-2HF,2818.779,104.173,196.316,2.434,34.211
