Well Name,Depth,GR,AC,DEN,CNL,Facies
JY54-6HF,2715.5,115.409,186.19,2.457,34.962,2
JY54-6HF,2731.25,115.461,185.992,2.523,32.635,2
JY54-6HF,2781.75,102.086,232.663,2.441,33.242,2
JY54-6HF,2781.875,101.41,243.721,2.462,32.671,2
JY54-6HF,2782,100.079,255.654,2.542,33.731,2
JY54-6HF,2782.125,98.986,266.492,2.614,36.318,2
JY54-6HF,2782.25,101.744,274.846,2.538,37.488,2
JY54-6HF,2782.375,110.27,280.207,2.372,34.792,2
JY54-6HF,2782.5,123.147,283.227,2.359,30.291,2
JY54-6HF,2782.625,135.208,284.798,2.49,28.336,2
JY54-6HF,2784.625,161.673,231.444,2.563,38.065,2
JY54-6HF,2784.875,160.002,231.444,2.565,36.607,2
JY54-6HF,2787.25,184.093,236.861,2.703,22.33,2
JY54-6HF,2787.375,185.768,233.595,2.72,22.29,2
JY54-6HF,2789,189.728,262.932,2.707,23.189,2
JY54-6HF,2789.125,190.519,260.647,2.704,22.838,2
JY54-6HF,2789.25,191.747,256.792,2.702,23.187,2
JY54-6HF,2790,191.461,244.348,2.712,22.588,2
JY54-6HF,2790.125,191.138,243.973,2.704,21.924,2
JY54-6HF,2790.25,190.655,244.778,2.696,21.588,2
JY54-6HF,2790.375,189.259,246.754,2.691,21.726,2
JY54-6HF,2790.5,187.427,249.493,2.692,22.129,2
JY54-6HF,2790.625,186.241,252.264,2.698,22.451,2
JY54-6HF,2790.75,185.459,253.907,2.702,22.451,2
JY54-6HF,2790.875,184.295,253.375,2.702,22.057,2
JY54-6HF,2791,182.858,251.038,2.697,21.551,2
JY54-6HF,2791.125,182.098,247.3,2.693,21.224,2
JY54-6HF,2791.25,182.362,242.77,2.691,21.186,2
JY54-6HF,2791.375,182.722,238.237,2.693,21.154,2
JY54-6HF,2791.5,183.701,235.119,2.694,20.732,2
JY54-6HF,2791.625,185.652,234.162,2.694,20.31,2
JY54-6HF,2791.75,187.895,235.109,2.696,20.384,2
JY54-6HF,2791.875,189.522,237.511,2.703,21.228,2
JY54-6HF,2792,189.529,240.726,2.713,22.361,2
JY54-6HF,2792.25,186.499,246.686,2.721,22.734,2
JY54-6HF,2792.375,185.226,248.886,2.711,22.139,2
JY54-6HF,2792.5,185.168,250.393,2.695,21.958,2
JY54-6HF,2792.625,186.681,250.859,2.679,22.329,2
JY54-6HF,2792.75,188.594,249.863,2.669,22.889,2
JY54-6HF,2792.875,190.205,246.885,2.666,23.317,2
JY54-6HF,2793,192.053,242.562,2.67,23.286,2
JY54-6HF,2793.125,194.266,237.874,2.674,22.52,2
JY54-6HF,2793.25,196.282,233.544,2.675,21.302,2
JY54-6HF,2793.375,197.645,230.13,2.674,20.492,2
JY54-6HF,2793.5,197.964,227.929,2.677,20.286,2
JY54-6HF,2793.625,196.551,226.938,2.682,20.338,2
JY54-6HF,2793.75,192.497,226.425,2.688,20.431,2
JY54-6HF,2793.875,187.665,226.227,2.692,20.525,2
JY54-6HF,2794,184.91,226.354,2.694,20.485,2
JY54-6HF,2794.25,186.099,228.427,2.694,20.096,2
JY54-6HF,2794.375,187.153,230.84,2.691,20.341,2
JY54-6HF,2794.5,187.543,233.599,2.687,20.699,2
JY54-6HF,2794.625,187.254,236.107,2.68,20.833,2
JY54-6HF,2794.75,186.446,237.828,2.675,21.04,2
JY54-6HF,2794.875,185.663,238.389,2.673,21.592,2
JY54-6HF,2795,185.635,237.638,2.674,22.266,2
JY54-6HF,2795.125,186.801,236.349,2.678,22.564,2
JY54-6HF,2795.25,187.479,234.838,2.687,22.433,2
JY54-6HF,2795.375,187.092,233.272,2.697,22.358,2
JY54-6HF,2795.5,187.478,231.744,2.703,22.515,2
JY54-6HF,2795.625,190.168,230.371,2.704,22.675,2
JY54-6HF,2795.75,194.239,229.368,2.701,22.864,2
JY54-6HF,2796.375,189.999,233.857,2.692,22.59,2
JY54-6HF,2796.5,191.49,234.513,2.695,21.875,2
JY54-6HF,2796.625,193.288,234.112,2.698,21.316,2
JY54-6HF,2796.75,193.568,232.865,2.698,21.243,2
JY54-6HF,2796.875,191.713,231.258,2.696,21.549,2
JY54-6HF,2797,189.754,230.052,2.698,21.878,2
JY54-6HF,2797.125,189.535,229.739,2.702,21.889,2
JY54-6HF,2797.25,190.744,229.803,2.705,21.651,2
JY54-6HF,2797.375,192.419,229.871,2.705,21.462,2
JY54-6HF,2797.5,194.089,229.701,2.703,21.518,2
JY54-6HF,2797.625,195.462,229.247,2.701,21.837,2
JY54-6HF,2797.75,195.872,229.002,2.699,22.328,2
JY54-6HF,2797.875,195.04,229.365,2.692,22.729,2
JY54-6HF,2798,192.423,229.928,2.678,22.694,2
JY54-6HF,2798.125,188.073,230.272,2.662,22.507,2
JY54-6HF,2798.25,184.599,230.076,2.652,22.194,2
JY54-6HF,2798.375,184.056,229.241,2.655,21.995,2
JY54-6HF,2798.5,185.488,228.186,2.664,22.119,2
JY54-6HF,2798.625,185.924,227.531,2.676,22.391,2
JY54-6HF,2798.75,185.13,227.467,2.684,22.307,2
JY54-6HF,2798.875,185.006,227.964,2.689,21.548,2
JY54-6HF,2799,185.464,228.816,2.693,20.447,2
JY54-6HF,2799.125,185.268,229.663,2.699,19.641,2
JY54-6HF,2799.25,184.036,230.23,2.706,19.438,2
JY54-6HF,2799.75,179.207,227.977,2.69,20.714,2
JY54-6HF,2799.875,180.736,226.214,2.686,20.792,2
JY54-6HF,2800,180.968,224.04,2.687,20.51,2
JY54-6HF,2800.125,179.472,221.427,2.686,19.902,2
JY54-6HF,2800.25,177.609,218.458,2.683,19.113,2
