Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3005.079,199.159,2.707,237.123,20.349,2
JY37-4HF,3005.204,201.988,2.705,238.176,20.594,2
JY37-4HF,3005.329,204.11,2.705,239.102,20.815,2
JY37-4HF,3005.454,205.285,2.705,239.54,20.997,2
JY37-4HF,3005.579,204.964,2.705,239.371,21.159,2
JY37-4HF,3005.704,202.827,2.704,238.819,21.32,2
JY37-4HF,3005.829,200.117,2.703,238.249,21.477,2
JY37-4HF,3005.954,198.646,2.703,238.011,21.602,2
JY37-4HF,3006.079,198.48,2.704,238.215,21.663,2
JY37-4HF,3006.204,198.538,2.706,238.737,21.65,2
JY37-4HF,3006.329,197.866,2.709,239.261,21.576,2
JY37-4HF,3006.454,197.229,2.712,239.55,21.468,2
JY37-4HF,3006.579,198.185,2.712,239.522,21.364,2
JY37-4HF,3006.704,200.463,2.71,239.31,21.272,2
JY37-4HF,3006.829,202.326,2.707,239.082,21.168,2
JY37-4HF,3006.954,202.374,2.703,238.941,21.037,2
JY37-4HF,3007.079,200.883,2.7,238.825,20.901,2
JY37-4HF,3007.204,199.163,2.697,238.586,20.813,2
JY37-4HF,3007.329,198.692,2.696,238.126,20.814,2
JY37-4HF,3007.454,199.157,2.694,237.527,20.916,2
JY37-4HF,3007.579,198.658,2.693,237.02,21.08,2
JY37-4HF,3007.704,196.284,2.692,236.867,21.231,2
JY37-4HF,3007.829,193.833,2.691,237.192,21.282,2
JY37-4HF,3007.954,193.001,2.692,237.88,21.184,2
JY37-4HF,3008.079,193.251,2.693,238.577,20.967,2
JY37-4HF,3008.204,193.842,2.694,238.935,20.735,2
JY37-4HF,3008.329,195.465,2.695,238.789,20.602,2
JY37-4HF,3008.454,198.391,2.697,238.285,20.631,2
JY37-4HF,3008.579,201.143,2.7,237.721,20.789,2
JY37-4HF,3008.704,202.573,2.703,237.398,20.96,2
JY37-4HF,3008.829,203.158,2.705,237.406,21.027,2
JY37-4HF,3008.954,203.402,2.706,237.588,20.953,2
