GR,SP,AC,DEN,CNL,K,Core Lithology
186.462,8.281,254.463,2.701,20.818,5.18,2
183.164,6.992,254.525,2.709,20.741,5.221,2
182.628,5.367,254.347,2.72,20.658,5.185,2
183.734,3.736,253.926,2.726,20.766,5.107,2
183.108,2.389,253.309,2.724,21.143,5.016,2
180.037,1.401,252.612,2.714,21.515,4.948,2
176.338,0.791,251.993,2.706,21.539,4.934,2
174.938,0.465,251.576,2.703,21.156,4.962,2
175.701,0.313,251.445,2.705,20.67,5.008,2
176.596,0.437,251.55,2.71,20.224,5.056,2
175.738,0.975,251.838,2.716,19.946,5.082,2
174.291,1.937,252.223,2.721,19.881,5.073,2
174.458,3.31,252.642,2.726,19.986,5.039,2
176.463,4.934,253.075,2.728,20.022,4.988,2
178.149,6.741,253.532,2.728,20,4.949,2
178.725,8.518,254.019,2.728,20.25,4.975,2
180.339,9.994,254.521,2.731,20.893,5.089,2
183.28,10.949,255.012,2.735,21.529,5.243,2
184.751,11.183,255.469,2.736,21.641,5.392,2
183.879,10.779,255.836,2.731,21.405,5.532,2
182.617,9.776,256.06,2.725,21.229,5.648,2
182.75,8.501,256.093,2.722,21.294,5.679,2
182.962,7.251,255.896,2.721,21.274,5.613,2
181.617,6.146,255.457,2.72,20.906,5.445,2
179.41,5.183,254.761,2.716,20.503,5.244,2
177.695,4.345,253.873,2.715,20.45,5.05,2
176.487,3.795,252.884,2.718,20.69,4.901,2
176.681,3.606,251.889,2.723,20.909,4.822,2
178.074,3.769,251.011,2.725,21.032,4.847,2
178.994,4.182,250.352,2.725,21.038,5.01,2
178.108,4.645,250.025,2.723,20.761,5.176,2
175.971,5.059,249.991,2.719,20.25,5.269,2
175.205,5.404,250.204,2.714,20.031,5.276,2
177,5.792,250.541,2.711,20.174,5.204,2
180.453,6.463,250.825,2.713,20.176,5.021,2
183.738,7.525,250.848,2.717,19.688,4.822,2
184.816,8.783,250.404,2.719,19.282,4.634,2
182.537,9.815,249.494,2.716,19.519,4.465,2
178.026,10.325,248.254,2.714,20.092,4.335,2
172.929,10.303,246.999,2.718,20.226,4.294,2
169.332,9.754,246.018,2.729,19.568,4.327,2
169.256,8.93,245.682,2.736,18.979,4.395,2
