Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS
JY11-4,2265.125,4,157.848,220.712,2.722,21.219,30.697
JY11-4,2265.25,4,158.666,218.015,2.726,18.188,31.616
JY11-4,2265.375,4,159.859,217.003,2.72,17.333,31.655
JY11-4,2265.75,4,159.856,221.967,2.693,18.24,29.806
JY11-4,2265.875,4,159.99,225.382,2.688,18.15,29.171
JY11-4,2266,4,159.624,228.794,2.684,18.281,28.597
JY11-4,2266.75,4,159.481,230.419,2.706,20.186,28.019
JY11-4,2266.875,4,158.711,227.974,2.706,19.641,28.741
JY11-4,2267,4,157.415,225.114,2.701,18.85,29.485
JY11-4,2267.625,4,154.93,232.759,2.683,19.231,27.553
JY11-4,2267.75,4,158.615,235.14,2.681,19.914,27.249
JY11-4,2267.875,4,162.738,235.912,2.683,19.995,27.33
JY11-4,2268.625,4,163.259,238.259,2.657,21.431,27.336
JY11-4,2268.75,4,161.386,238.078,2.658,22.195,26.602
JY11-4,2268.875,4,160.316,237.593,2.663,22.72,26.158
JY11-4,2269.625,4,158.366,234.939,2.679,20.294,24.87
JY11-4,2269.75,4,159.951,234.672,2.686,19.749,23.869
JY11-4,2269.875,4,162.662,234.889,2.69,19.523,23.192
JY11-4,2270.75,4,164.481,234.086,2.671,20.6,23.561
JY11-4,2270.875,4,162.038,234.211,2.669,20.317,23.161
JY11-4,2271,4,159.34,234.814,2.67,20.209,22.109
JY11-4,2271.625,4,162.575,241.822,2.697,20.586,20.863
JY11-4,2271.75,4,162.644,243.424,2.695,21.108,22.25
JY11-4,2271.875,4,163.555,244.89,2.693,21.255,23.209
JY11-4,2272.5,4,164.061,251.363,2.696,22.318,22.247
JY11-4,2272.625,4,162.007,249.104,2.708,22.32,22.248
JY11-4,2272.75,4,162.149,246.529,2.722,21.224,22.396
JY11-4,2273,5,175.889,247.28,2.738,19.225,22.068
JY11-4,2273.125,5,182.417,249.446,2.726,19.597,20.281
JY11-4,2273.25,5,184.495,253.503,2.706,20.312,16.373
JY11-4,2273.375,5,183.122,257.063,2.691,20.635,11.544
JY11-4,2273.5,5,181.825,258.377,2.685,20.416,7.518
JY11-4,2273.625,5,181.409,258.895,2.687,20.269,5.667
JY11-4,2273.75,5,180.309,259.695,2.689,20.595,5.582
JY11-4,2273.875,5,178.423,260.409,2.689,21.317,7.192
JY11-4,2274,5,176.88,260.41,2.687,21.786,10.501
JY11-4,2274.375,4,171.291,261.533,2.699,21.605,20.311
JY11-4,2274.5,4,170.148,262.113,2.699,22.122,21.864
JY11-4,2274.625,4,170.607,262.844,2.693,22.436,22.453
JY11-4,2275.625,4,177.384,261.546,2.685,21.637,5.475
JY11-4,2275.75,4,176.996,261.43,2.684,22.007,7.449
JY11-4,2275.875,4,174.653,261.158,2.681,22.379,11.381
JY11-4,2276.375,4,170.457,266.26,2.688,22.221,20.946
JY11-4,2276.5,4,171.153,268.807,2.692,22.523,20.948
JY11-4,2276.625,4,172.41,270.942,2.691,22.748,21.114
JY11-4,2277.5,4,169.888,269.331,2.682,21.296,22.444
JY11-4,2277.625,4,167.773,263.57,2.687,21.134,22.756
JY11-4,2277.75,4,164.226,257.785,2.699,20.847,22.75
JY11-4,2278.5,4,168.896,270.651,2.696,21.968,20.855
JY11-4,2278.625,4,168.164,270.273,2.691,21.767,21.169
JY11-4,2278.75,4,166.007,269.669,2.688,21.052,21.481
JY11-4,2279.75,4,165.103,264.721,2.668,21.02,17.703
JY11-4,2279.875,4,165.631,263.647,2.669,21.14,19.186
JY11-4,2280,4,164.353,262.851,2.672,21.345,19.967
JY11-4,2281,4,170.103,265.786,2.668,19.88,20.51
JY11-4,2281.125,4,172.508,267.673,2.665,20.295,18.11
JY11-4,2281.25,4,175.654,269.241,2.659,20.804,14.877
JY11-4,2282,4,173.175,266.983,2.661,21.573,12.776
JY11-4,2282.125,4,171.665,266.275,2.665,21.69,12.922
JY11-4,2282.25,4,172.004,265.695,2.67,21.35,12.29
JY11-4,2283,3,174.995,261.051,2.677,19.02,13.376
JY11-4,2283.125,3,177.342,259.542,2.676,18.373,16.98
JY11-4,2283.25,3,183.386,257.444,2.673,17.726,19.924
JY11-4,2283.625,3,197.481,252.389,2.653,16.906,20.475
JY11-4,2283.75,3,197.213,251.26,2.647,16.901,18.249
JY11-4,2283.875,3,196.836,251.889,2.642,16.741,15.757
JY11-4,2285,3,164.452,273.11,2.507,17.648,13.418
JY11-4,2285.125,3,161.596,283.052,2.447,20.478,13.687
JY11-4,2285.25,3,158.791,284.242,2.414,23.642,13.219
JY11-4,2285.5,5,151.744,257.208,2.475,19.852,18.787
JY11-4,2285.625,5,149.637,234.968,2.537,15.582,29.145
JY11-4,2285.75,5,148.424,227.431,2.583,13.348,43.078
JY11-4,2285.875,5,146.667,226.966,2.601,12.961,55.773
JY11-4,2286,5,143.487,222.629,2.604,13.108,65.864
JY11-4,2286.125,5,137.622,213.431,2.609,13.097,76
JY11-4,2286.25,5,127.198,203.654,2.627,12.414,89.932
JY11-4,2286.375,5,113.507,194.178,2.653,11.038,109.409
JY11-4,2286.5,5,99.762,186.974,2.677,9.485,133.017
JY11-4,2286.625,5,91.232,186.189,2.689,8.566,152.131
JY11-4,2286.75,5,89.517,193.297,2.688,8.537,155.964
JY11-4,2287,4,115.013,235.32,2.642,12.88,84.61
JY11-4,2287.25,4,137.358,257.743,2.619,17.982,47.523
JY11-4,2287.375,4,139.107,260.851,2.621,18.541,41.262
JY11-4,2287.5,4,142.982,263.559,2.622,19.334,35.213
JY11-4,2287.625,4,149.485,266.861,2.621,20.58,29.902
JY11-4,2288.75,4,175.295,266.702,2.647,19.284,24.075
JY11-4,2289,4,173.896,266.398,2.659,19.753,14.191
JY11-4,2289.125,4,173.91,265.489,2.655,19.522,11.046
JY11-4,2289.25,4,174.92,264.535,2.649,19.184,9.653
JY11-4,2289.375,4,176.34,263.425,2.643,18.801,9.998
JY11-4,2289.625,4,188.559,244.51,2.639,15.989,22.056
JY11-4,2290.5,4,230.905,267.009,2.616,18.577,33.018
JY11-4,2290.625,3,231.72,263.816,2.61,17.884,33.284
JY11-4,2290.75,3,226.221,259.268,2.604,17.179,33.315
JY11-4,2291,4,194.391,240.299,2.646,13.575,54.829
JY11-4,2291.125,4,198.053,241.618,2.65,14.257,50.163
JY11-4,2291.25,4,206.598,246.819,2.65,15.666,40.105
JY11-4,2291.375,4,192.676,276.221,2.671,19.713,17.462
JY11-4,2291.625,4,196.519,281.65,2.64,21.324,18.682
JY11-4,2292.5,4,198.884,289.937,2.624,22.509,10.426
JY11-4,2292.625,4,199.276,290.707,2.617,22.3,11.939
JY11-4,2293.75,4,202.439,289.176,2.616,20.158,20.869
JY11-4,2293.875,4,205.146,287.485,2.617,20.53,21.319
JY11-4,2294.5,4,183.352,274.199,2.653,18.084,21.523
JY11-4,2295.125,4,184.55,275.827,2.657,18.268,15.696
JY11-4,2295.25,4,207.038,292.488,2.625,20.414,12.123
