Well Name,Depth,GR,AC,DEN,CNL,LLS
JY5,2930.5,118.703,65.424,2.707,24.643,44.837
JY5,2930.625,119.416,65.814,2.701,24.466,44.326
JY5,2930.75,119.553,66.352,2.696,24.734,43.939
JY5,2930.875,118.273,67.052,2.695,25.036,43.838
JY5,2931,116.229,67.9,2.695,24.697,43.982
JY5,2931.125,115.333,68.727,2.697,23.931,44.247
JY5,2931.25,116.175,68.985,2.702,23.72,44.465
JY5,2931.375,117.52,68.388,2.71,24.619,44.593
JY5,2931.5,118.207,67.085,2.717,25.959,44.692
JY5,2931.625,118.573,65.656,2.725,26.919,44.925
JY5,2931.75,119.536,64.528,2.735,26.942,45.412
JY5,2931.875,121.01,64.146,2.743,26.359,46.216
JY5,2932,122.513,64.471,2.741,25.832,47.27
JY5,2932.125,123.76,65.11,2.728,25.349,48.504
JY5,2932.25,123.786,65.466,2.711,24.512,49.671
JY5,2932.375,122.069,65.297,2.699,23.458,50.477
JY5,2932.5,119.663,64.681,2.694,22.473,50.836
JY5,2932.625,117.423,63.918,2.695,21.373,50.935
JY5,2932.75,115.9,63.141,2.699,19.862,51.085
JY5,2932.875,115.146,62.313,2.708,18.715,51.557
JY5,2933,115.594,61.518,2.717,18.963,52.496
JY5,2933.125,118.005,60.881,2.723,20.613,53.816
JY5,2933.25,121.61,60.452,2.72,22.646,55.308
JY5,2933.375,125.095,60.264,2.71,24.189,56.622
JY5,2933.5,127.785,60.433,2.701,25.246,57.565
JY5,2933.625,130.15,61.03,2.694,25.7,58.04
JY5,2933.75,133.221,61.808,2.693,24.921,58.233
JY5,2933.875,136.449,62.62,2.695,23.35,58.251
JY5,2934,138.365,63.527,2.701,21.989,58.062
JY5,2934.125,138.075,64.57,2.71,21.356,57.655
JY5,2934.25,136.38,65.609,2.718,20.946,57.112
JY5,2934.375,135.053,66.359,2.72,20.314,56.604
JY5,2934.5,135.455,66.654,2.717,19.496,56.209
JY5,2934.625,136.907,66.333,2.713,18.662,55.923
JY5,2934.75,138.066,65.476,2.712,17.95,55.712
JY5,2934.875,136.898,64.442,2.712,17.489,55.66
JY5,2935,133.059,63.811,2.711,17.469,55.871
JY5,2935.125,128.935,63.879,2.708,17.804,55.955
JY5,2935.25,127.464,64.543,2.707,18.077,55.46
JY5,2935.375,128.985,65.539,2.709,18.178,54.135
JY5,2935.5,131.492,66.584,2.713,18.262,52.294
JY5,2935.625,133.187,67.469,2.713,18.415,50.234
JY5,2935.75,134.23,67.91,2.711,18.366,48.493
JY5,2935.875,134.895,67.862,2.707,18.037,47.574
JY5,2936,134.433,67.486,2.707,17.843,47.695
JY5,2936.125,131.926,67.146,2.71,17.972,48.349
JY5,2936.25,128.66,67.065,2.712,18.219,48.968
JY5,2936.375,127.147,67.354,2.71,18.46,49.261
JY5,2936.5,128.516,67.871,2.704,18.758,49.246
JY5,2936.625,130.385,68.379,2.697,19.075,49.113
JY5,2936.75,130.536,68.623,2.69,19.137,49.194
JY5,2936.875,129.311,68.52,2.687,18.688,49.582
JY5,2937,128.566,68.075,2.689,17.826,50.139
JY5,2937.125,128.449,67.477,2.696,16.882,50.679
JY5,2937.25,127.822,66.989,2.702,16.343,51.189
JY5,2937.375,126.502,66.677,2.702,16.342,51.788
JY5,2937.5,125.798,66.481,2.701,16.757,52.703
JY5,2937.625,126.712,66.388,2.703,17.078,54.045
JY5,2937.75,128.206,66.413,2.709,17.062,55.744
JY5,2937.875,128.711,66.457,2.716,16.843,57.416
JY5,2938,127.438,66.41,2.724,16.629,58.764
JY5,2938.125,125.922,66.235,2.729,16.371,59.659
JY5,2938.25,126.187,66.033,2.724,15.959,60.23
JY5,2938.375,127.767,65.881,2.713,15.602,60.533
JY5,2938.5,129.076,65.781,2.703,15.593,60.553
JY5,2938.625,128.659,65.686,2.702,15.81,60.452
JY5,2938.75,127.173,65.56,2.71,15.756,60.417
JY5,2938.875,125.904,65.324,2.721,15.385,60.572
JY5,2939,125.695,64.996,2.727,15.102,60.85
JY5,2939.125,125.95,64.698,2.725,15.147,61.087
JY5,2939.25,125.752,64.494,2.715,15.383,60.893
