Well Name,Depth,GR,AC,DEN,CNL
JY57-1HF,3017.5,106.254,182.61,2.526,29.176
JY57-1HF,3017.625,105.74,182.446,2.52,29.393
JY57-1HF,3017.75,105.598,182.353,2.516,28.343
JY57-1HF,3017.875,106.365,182.278,2.522,26.295
JY57-1HF,3018,107.967,182.196,2.536,24.752
JY57-1HF,3018.125,110.161,182.123,2.549,24.417
JY57-1HF,3018.25,112.047,182.07,2.55,25.359
JY57-1HF,3018.375,112.69,182.044,2.536,27.169
JY57-1HF,3018.5,112.654,182.08,2.514,29.365
JY57-1HF,3018.625,112.922,182.164,2.496,30.841
JY57-1HF,3018.75,113.653,182.232,2.492,30.254
JY57-1HF,3018.875,113.92,182.228,2.504,28.386
JY57-1HF,3019,112.641,182.154,2.524,26.908
JY57-1HF,3019.125,110.247,182.133,2.534,26.233
JY57-1HF,3019.25,108.435,182.226,2.522,26.215
JY57-1HF,3019.375,108.081,182.429,2.491,26.914
JY57-1HF,3019.5,108.715,182.757,2.46,28.299
JY57-1HF,3019.625,109.133,183.128,2.445,29.962
JY57-1HF,3019.75,108.001,183.364,2.447,30.803
JY57-1HF,3019.875,105.118,183.345,2.46,30.481
JY57-1HF,3020,102.327,183.146,2.477,29.282
JY57-1HF,3020.125,102.926,182.84,2.492,27.977
JY57-1HF,3020.25,107.208,182.485,2.5,27.202
JY57-1HF,3020.375,112.101,182.181,2.497,27.115
JY57-1HF,3020.5,113.357,182.062,2.485,27.215
JY57-1HF,3020.625,111.696,182.102,2.476,27.464
JY57-1HF,3020.75,110.066,182.244,2.469,28.029
JY57-1HF,3020.875,110.587,182.496,2.457,28.712
JY57-1HF,3021,111.148,182.804,2.431,29.388
JY57-1HF,3021.125,109.718,183.045,2.399,30.193
JY57-1HF,3021.25,107.256,183.069,2.378,31.321
JY57-1HF,3021.375,105.728,182.91,2.37,32.357
JY57-1HF,3021.5,105.621,182.69,2.371,32.378
JY57-1HF,3021.625,106.603,182.535,2.374,31.451
JY57-1HF,3021.75,108.334,182.54,2.377,30.205
JY57-1HF,3021.875,109.77,182.803,2.385,29.336
JY57-1HF,3022,110.036,183.192,2.405,28.785
JY57-1HF,3022.125,110.048,183.461,2.435,28.039
JY57-1HF,3022.25,110.265,183.484,2.465,26.918
JY57-1HF,3022.375,109.281,183.377,2.484,25.851
JY57-1HF,3022.5,106.575,183.234,2.492,25.562
JY57-1HF,3022.625,104.431,183.153,2.493,26.194
JY57-1HF,3022.75,104.703,183.204,2.492,27.683
JY57-1HF,3022.875,107.101,183.363,2.488,29.327
JY57-1HF,3023,109.108,183.504,2.479,30.098
JY57-1HF,3023.125,109.422,183.585,2.469,29.246
JY57-1HF,3023.25,108.08,183.636,2.465,27.898
JY57-1HF,3023.375,106.864,183.716,2.461,27.669
JY57-1HF,3023.5,106.418,183.781,2.453,29.153
JY57-1HF,3023.625,105.771,183.805,2.44,31.164
JY57-1HF,3023.75,104.352,183.766,2.423,32.422
JY57-1HF,3023.875,103.527,183.654,2.397,32.734
JY57-1HF,3024,104.525,183.542,2.358,32.928
JY57-1HF,3024.125,105.742,183.567,2.317,32.971
JY57-1HF,3024.25,105.354,183.886,2.285,33.015
JY57-1HF,3024.375,103.558,184.704,2.276,33.506
JY57-1HF,3024.5,102.046,185.786,2.291,33.757
JY57-1HF,3024.625,101.84,186.904,2.318,31.79
JY57-1HF,3024.75,102.633,187.766,2.328,28.264
JY57-1HF,3024.875,103.471,188.057,2.307,25.864
JY57-1HF,3025,103.149,187.555,2.262,25.922
JY57-1HF,3025.125,101.259,186.68,2.228,27.691
JY57-1HF,3025.25,98.12,185.986,2.231,29.817
JY57-1HF,3025.375,94.781,185.681,2.26,31.25
JY57-1HF,3025.5,93.607,185.67,2.288,31.035
JY57-1HF,3025.625,96.431,185.851,2.34,27.069
JY57-1HF,3025.75,102.216,185.768,2.366,21.616
JY57-1HF,3025.875,107.266,184.903,2.453,18.268
JY57-1HF,3026,109.354,183.492,2.517,18.638
JY57-1HF,3026.125,108.706,182.151,2.501,21.527
JY57-1HF,3026.25,107.056,181.364,2.471,25.511
JY57-1HF,3026.375,106.782,181.566,2.455,28.499
JY57-1HF,3026.5,109.564,182.661,2.449,29.566
JY57-1HF,3026.625,113.965,184.056,2.447,28.856
JY57-1HF,3026.75,115.761,185.045,2.45,27.746
JY57-1HF,3026.875,113.691,185.305,2.461,27.037
JY57-1HF,3027,110.106,184.819,2.481,26.954
JY57-1HF,3027.125,108.953,183.979,2.502,27.117
JY57-1HF,3027.25,110.306,183.58,2.512,27.202
JY57-1HF,3027.375,111.966,183.84,2.513,27.13
JY57-1HF,3027.5,112.057,184.281,2.509,27.083
JY57-1HF,3027.625,111.099,184.499,2.505,27.071
JY57-1HF,3027.75,110.38,184.258,2.503,27.059
JY57-1HF,3027.875,110.396,183.274,2.501,27.072
JY57-1HF,3028,110.554,181.959,2.504,27.019
JY57-1HF,3028.125,110.529,180.934,2.508,26.694
JY57-1HF,3028.25,110.463,180.617,2.507,26.157
JY57-1HF,3028.375,110.547,181.057,2.497,25.627
JY57-1HF,3028.5,111.063,182.254,2.486,25.474
JY57-1HF,3028.625,111.861,183.862,2.484,25.831
JY57-1HF,3028.75,112.867,185.636,2.493,26.586
JY57-1HF,3028.875,113.625,187.5,2.509,27.427
JY57-1HF,3029,113.521,189.51,2.526,28.328
JY57-1HF,3029.125,112.208,191.519,2.541,29.199
JY57-1HF,3029.25,110.62,193.385,2.548,29.604
JY57-1HF,3029.375,109.88,194.809,2.539,28.893
JY57-1HF,3029.5,109.655,195.327,2.513,27.457
JY57-1HF,3029.625,108.473,194.58,2.481,26.284
JY57-1HF,3029.75,106.493,192.781,2.456,25.774
JY57-1HF,3029.875,106.011,190.203,2.448,25.921
JY57-1HF,3030,108.059,187.753,2.457,27.008
JY57-1HF,3030.125,110.803,186.08,2.478,29.095
JY57-1HF,3030.25,111.707,185.699,2.495,30.579
JY57-1HF,3030.375,111.562,186.465,2.499,29.925
JY57-1HF,3030.5,111.133,188.178,2.491,28.094
JY57-1HF,3030.625,110.283,190.372,2.48,26.941
JY57-1HF,3030.75,109.785,192.473,2.472,26.702
JY57-1HF,3030.875,111.253,194.213,2.47,27.101
