Well Name,Depth,GR,AC,DEN,CNL,Facies
JY5,2942.25,128.893,63.441,2.678,16.4,2
JY5,2942.375,128.872,63.571,2.67,16.951,2
JY5,2942.5,130.129,63.86,2.667,17.251,2
JY5,2942.625,133.505,64.232,2.671,16.79,2
JY5,2942.75,136.874,64.591,2.68,16.077,2
JY5,2945.25,126.778,65.739,2.682,19.557,2
JY5,2945.375,126.62,65.803,2.679,19.846,2
JY5,2945.5,126.248,65.748,2.682,19.793,2
JY5,2945.625,126.498,65.702,2.688,19.722,2
JY5,2946.75,121.68,67.695,2.688,20.373,2
JY5,2946.875,123.959,66.936,2.686,20.916,2
JY5,2947,128.993,66.481,2.686,20.823,2
JY5,2947.125,133.914,66.382,2.685,20.247,2
JY5,2947.375,135.873,66.751,2.672,19.136,2
JY5,2947.5,133.832,66.942,2.666,19.332,2
JY5,2947.625,131.095,66.987,2.666,20.376,2
JY5,2947.75,128.51,66.96,2.671,21.612,2
JY5,2947.875,127.297,66.972,2.677,22.086,2
JY5,2948,128.767,66.952,2.682,21.322,2
JY5,2948.125,131.712,66.778,2.684,20.363,2
JY5,2948.25,133.816,66.437,2.686,20.103,2
JY5,2948.5,131.605,65.718,2.688,21.86,2
JY5,2948.75,128.093,64.997,2.682,22.612,2
JY5,2948.875,126.633,64.403,2.682,22.014,2
JY5,2949.25,126.232,61.349,2.678,21.375,2
JY5,2949.375,126.239,60.776,2.674,21.599,2
JY5,2949.5,125.48,60.69,2.672,21.46,2
JY5,2949.625,123.884,61.024,2.668,21.146,2
JY5,2949.75,121.144,61.489,2.662,20.754,2
JY5,2949.875,117.961,61.857,2.659,20.064,2
JY5,2950,115.582,61.983,2.661,19.09,2
JY5,2950.125,115.5,61.976,2.669,18.447,2
JY5,2950.25,117.381,62.022,2.676,18.367,2
JY5,2950.375,119.853,62.273,2.681,18.472,2
JY5,2950.5,121.408,62.699,2.685,18.119,2
JY5,2951.625,127.128,63.924,2.688,18.149,2
JY5,2960.75,111.457,61.799,2.687,19.606,2
JY5,2960.875,113.654,62.274,2.68,19.916,2
JY5,2961,116.3,62.821,2.68,20.17,2
JY5,2961.125,118.498,63.416,2.687,20.519,2
JY5,2964.25,114.718,64.247,2.686,20.564,2
JY5,2964.375,113.425,64.986,2.682,21.548,2
JY5,2964.5,112.065,65.224,2.689,21.983,2
JY5,2967.875,116.594,64.64,2.692,14.102,2
JY5,2968,117.364,65.551,2.69,14.402,2
JY5,2971.25,108.053,58.288,2.691,18.639,2
JY5,2971.375,110.286,59.319,2.688,19.696,2
JY5,2978.5,121.445,67.112,2.688,20.784,2
JY5,2978.625,120.555,67.094,2.687,20.562,2
JY5,2982,132.525,67.056,2.686,21.66,2
JY5,2982.125,132.701,66.922,2.685,21.632,2
JY5,2987.5,119.806,65.722,2.688,17.796,2
