Well Name,Depth,GR,AC,DEN,CNL,Facies
JY59-1HF,2912,102.691,188.272,2.572,27.959,2
JY59-1HF,2912.125,101.854,188.93,2.564,28.232,2
JY59-1HF,2912.25,99.751,189.26,2.54,28.272,2
JY59-1HF,2912.375,97.824,189.261,2.504,28.217,2
JY59-1HF,2912.5,96.601,189.077,2.465,28.142,2
JY59-1HF,2912.625,95.86,188.817,2.434,28.027,2
JY59-1HF,2912.75,95.032,188.522,2.426,27.53,2
JY59-1HF,2912.875,94.416,188.057,2.436,26.741,2
JY59-1HF,2913,94.413,187.317,2.459,25.926,2
JY59-1HF,2913.125,94.327,186.551,2.485,25.247,2
JY59-1HF,2913.25,93.907,185.969,2.505,24.64,2
JY59-1HF,2913.375,93.315,185.639,2.512,23.986,2
JY59-1HF,2913.5,93.193,185.413,2.514,23.332,2
JY59-1HF,2913.625,93.482,184.823,2.515,22.868,2
JY59-1HF,2913.75,93.661,184.104,2.515,22.721,2
JY59-1HF,2913.875,93.809,183.728,2.513,22.957,2
JY59-1HF,2914,93.904,183.973,2.507,23.591,2
JY59-1HF,2914.125,93.87,184.861,2.497,24.325,2
JY59-1HF,2914.25,93.583,185.898,2.487,24.862,2
JY59-1HF,2914.375,93.629,186.272,2.477,25.164,2
JY59-1HF,2914.5,93.932,186.089,2.467,25.325,2
JY59-1HF,2914.625,94.064,185.678,2.453,25.536,2
JY59-1HF,2914.75,93.807,185.421,2.427,25.892,2
JY59-1HF,2914.875,93.269,185.661,2.388,26.254,2
JY59-1HF,2915,92.459,186.398,2.344,26.6,2
JY59-1HF,2915.125,90.792,186.756,2.304,26.814,2
JY59-1HF,2915.25,88.236,186.324,2.28,26.789,2
JY59-1HF,2915.375,85.506,185.166,2.294,26.531,2
JY59-1HF,2915.5,83.583,183.69,2.364,25.955,2
JY59-1HF,2915.625,83.383,182.694,2.455,25.444,2
JY59-1HF,2915.75,84.705,182.897,2.538,25.099,2
JY59-1HF,2915.875,87.218,183.789,2.586,24.97,2
JY59-1HF,2916,90.654,184.83,2.586,25.047,2
JY59-1HF,2916.125,94.466,185.523,2.547,25.027,2
