Well Name,Depth,GR,AC,DEN,CNL,Facies
JY37-3HF,3168,104.616,188.38,2.326,32.427,2
JY37-3HF,3168.125,104.689,187.284,2.322,31.534,2
JY37-3HF,3168.25,104.589,186.355,2.302,31.328,2
JY37-3HF,3168.375,104.528,185.736,2.278,31.87,2
JY37-3HF,3168.5,104.578,185.45,2.266,32.828,2
JY37-3HF,3168.625,104.74,185.433,2.27,33.699,2
JY37-3HF,3168.75,104.886,185.631,2.286,34.026,2
JY37-3HF,3168.875,104.799,185.975,2.3,33.855,2
JY37-3HF,3169,104.331,186.2,2.308,33.329,2
JY37-3HF,3169.125,103.642,186.076,2.311,32.616,2
JY37-3HF,3169.25,103.087,185.433,2.31,31.844,2
JY37-3HF,3169.375,102.96,184.382,2.303,31.155,2
JY37-3HF,3169.5,103.305,183.177,2.288,30.743,2
JY37-3HF,3169.625,104.022,182.156,2.273,30.759,2
JY37-3HF,3169.75,104.911,181.473,2.264,31.187,2
JY37-3HF,3169.875,105.645,181.118,2.26,31.716,2
JY37-3HF,3170,105.919,183.306,2.248,32.011,2
JY37-3HF,3170.125,105.742,185.412,2.23,31.955,2
JY37-3HF,3170.25,105.347,186.248,2.217,32.104,2
JY37-3HF,3170.375,104.888,186.556,2.216,33.175,2
JY37-3HF,3170.5,104.299,186.312,2.224,35.121,2
JY37-3HF,3170.625,103.521,185.825,2.229,36.974,2
JY37-3HF,3170.75,102.526,185.748,2.225,37.532,2
JY37-3HF,3170.875,101.237,186.46,2.211,37.318,2
JY37-3HF,3171,99.541,187.769,2.184,37.322,2
JY37-3HF,3171.125,97.566,188.891,2.138,38.329,2
JY37-3HF,3171.25,95.571,189.417,2.069,39.783,2
JY37-3HF,3171.375,93.667,189.167,1.995,41.128,2
JY37-3HF,3171.5,91.777,188.353,1.931,41.86,2
JY37-3HF,3171.625,89.952,187.269,1.895,42.013,2
JY37-3HF,3171.75,88.39,186.296,1.883,41.842,2
JY37-3HF,3171.875,87.285,185.313,1.891,41.655,2
JY37-3HF,3172,86.663,183.969,1.909,41.407,2
JY37-3HF,3172.125,86.53,182.419,1.929,40.997,2
JY37-3HF,3172.25,86.78,181.337,1.943,40.287,2
JY37-3HF,3172.375,87.22,181.308,1.946,39.612,2
JY37-3HF,3172.5,87.631,182.045,1.941,39.586,2
JY37-3HF,3172.625,87.939,182.769,1.935,39.93,2
JY37-3HF,3172.75,88.145,182.549,1.932,39.771,2
JY37-3HF,3172.875,88.312,181.222,1.93,39.059,2
JY37-3HF,3173,88.466,179.248,1.929,38.8,2
JY37-3HF,3173.125,88.491,177.681,1.928,39.741,2
JY37-3HF,3173.25,88.257,177.367,1.93,41.444,2
JY37-3HF,3173.375,87.835,178.54,1.934,42.519,2
JY37-3HF,3173.5,87.372,180.55,1.931,42.369,2
JY37-3HF,3173.625,87.014,182.418,1.918,41.829,2
JY37-3HF,3173.75,86.913,183.502,1.9,41.813,2
JY37-3HF,3173.875,87.173,183.72,1.887,42.253,2
JY37-3HF,3174,87.578,183.386,1.881,42.335,2
JY37-3HF,3174.125,87.807,182.793,1.875,42.163,2
JY37-3HF,3174.25,87.714,182.145,1.869,42.131,2
JY37-3HF,3174.375,87.441,181.418,1.867,41.529,2
JY37-3HF,3174.5,87.04,180.523,1.864,39.912,2
JY37-3HF,3174.625,86.368,179.563,1.855,38.159,2
JY37-3HF,3174.75,85.167,178.727,1.851,37.278,2
JY37-3HF,3174.875,83.333,178.329,1.867,37.337,2
JY37-3HF,3175,81.172,178.448,1.905,38.381,2
JY37-3HF,3175.125,79.36,178.883,1.931,40.562,2
JY37-3HF,3175.25,78.642,179.16,1.896,43.441,2
JY37-3HF,3175.375,79.367,179.097,1.808,45.007,2
JY37-3HF,3175.5,81.3,178.819,1.802,44.787,2
JY37-3HF,3175.625,83.679,186.202,1.947,43.97,2
JY37-3HF,3175.75,85.715,186.496,2.134,43.416,2
JY37-3HF,3175.875,86.993,187.178,2.188,42.418,2
JY37-3HF,3176,87.617,187.631,2.106,40.671,2
JY37-3HF,3176.125,87.951,187.354,2.006,39.107,2
JY37-3HF,3176.25,88.356,186.373,1.972,38.014,2
JY37-3HF,3176.375,89.151,185.488,1.975,37.289,2
JY37-3HF,3176.5,90.497,185.383,1.981,37.299,2
JY37-3HF,3176.625,92.286,186.526,1.997,38.161,2
JY37-3HF,3176.75,94.07,188.801,2.039,39.012,2
JY37-3HF,3176.875,95.378,191.771,2.099,38.535,2
JY37-3HF,3177,95.832,194.245,2.144,36.588,2
JY37-3HF,3177.125,95.378,195.358,2.152,35.373,2
JY37-3HF,3177.25,94.247,194.718,2.119,36.063,2
JY37-3HF,3177.375,92.979,192.753,2.058,38.325,2
JY37-3HF,3177.5,92.073,189.947,1.996,40.299,2
JY37-3HF,3177.625,91.746,186.957,1.954,41.128,2
JY37-3HF,3177.75,91.835,184.757,1.936,41.343,2
JY37-3HF,3177.875,91.966,183.986,1.93,41.021,2
JY37-3HF,3178,91.792,184.694,1.92,39.567,2
JY37-3HF,3178.125,91.13,186.192,1.902,37.9,2
JY37-3HF,3178.25,90.019,188.041,1.886,37.344,2
JY37-3HF,3178.375,88.678,189.721,1.879,38.428,2
JY37-3HF,3178.5,87.407,190.78,1.877,40.288,2
JY37-3HF,3178.625,86.377,190.834,1.873,41.819,2
JY37-3HF,3178.75,85.602,190.228,1.862,42.235,2
JY37-3HF,3178.875,85.073,189.873,1.849,42.005,2
JY37-3HF,3179,84.815,190.497,1.838,41.897,2
JY37-3HF,3179.125,84.882,191.736,1.83,42.329,2
JY37-3HF,3179.25,85.225,193.051,1.829,42.856,2
JY37-3HF,3179.375,85.676,194.101,1.835,42.891,2
JY37-3HF,3179.5,86.037,187.297,1.846,42.241,2
JY37-3HF,3179.625,86.348,187.562,1.857,41.718,2
JY37-3HF,3179.75,86.827,187.683,1.867,41.939,2
JY37-3HF,3179.875,87.663,188.342,1.876,42.411,2
JY37-3HF,3180,88.731,189.752,1.883,42.331,2
JY37-3HF,3180.125,89.744,191.078,1.889,41.473,2
JY37-3HF,3180.25,90.405,191.47,1.89,40.683,2
JY37-3HF,3180.375,90.505,190.791,1.888,40.364,2
JY37-3HF,3180.5,89.965,190.173,1.885,40.753,2
JY37-3HF,3180.625,88.985,190.582,1.881,41.941,2
JY37-3HF,3180.75,87.868,192.393,1.877,43.775,2
JY37-3HF,3180.875,86.77,194.73,1.872,45.282,2
JY37-3HF,3181,85.78,196.439,1.872,45.722,2
JY37-3HF,3181.125,85.09,195.854,1.872,44.985,2
JY37-3HF,3181.25,85.02,192.704,1.871,43.688,2
JY37-3HF,3181.375,85.689,187.859,1.868,42.534,2
JY37-3HF,3181.5,86.917,183.667,1.869,42.186,2
JY37-3HF,3181.625,88.408,181.565,1.878,42.423,2
JY37-3HF,3181.75,89.974,181.296,1.896,42.417,2
JY37-3HF,3181.875,91.425,182.169,1.925,41.574,2
JY37-3HF,3182,92.571,183.157,1.969,40.412,2
JY37-3HF,3182.125,93.333,183.894,2.025,39.726,2
JY37-3HF,3182.25,93.774,184.274,2.083,39.378,2
JY37-3HF,3182.375,93.937,184.41,2.128,38.147,2
JY37-3HF,3182.5,93.766,184.557,2.158,35.754,2
JY37-3HF,3182.625,93.348,184.832,2.179,33.202,2
JY37-3HF,3182.75,92.936,185.135,2.193,31.585,2
JY37-3HF,3182.875,92.689,185.278,2.2,31.28,2
JY37-3HF,3183,92.614,185.24,2.206,31.706,2
JY37-3HF,3183.125,92.667,185.072,2.221,32.048,2
JY37-3HF,3183.25,92.828,184.902,2.246,31.818,2
JY37-3HF,3183.375,93.033,184.896,2.27,31.308,2
JY37-3HF,3183.5,93.247,185.181,2.276,30.94,2
JY37-3HF,3183.625,93.515,185.705,2.26,30.836,2
JY37-3HF,3183.75,93.964,186.316,2.231,30.965,2
JY37-3HF,3183.875,94.649,186.818,2.205,31.315,2
JY37-3HF,3184,95.473,187.15,2.187,31.71,2
JY37-3HF,3184.125,96.257,187.393,2.181,32.037,2
JY37-3HF,3184.25,96.877,187.73,2.182,32.354,2
JY37-3HF,3184.375,97.332,188.254,2.186,32.719,2
JY37-3HF,3184.5,97.664,188.896,2.197,32.943,2
JY37-3HF,3184.625,97.888,190.651,2.218,32.85,2
JY37-3HF,3184.75,97.943,190.527,2.253,32.699,2
JY37-3HF,3184.875,97.77,189.183,2.288,32.847,2
JY37-3HF,3185,97.377,186.996,2.302,33.41,2
