Well Name,Depth,Facies,GR,AC,DEN,LLS,K
JY51-2,3070.875,4,215.081,99.143,266.848,20.799,23.497
JY51-2,3071,4,211.919,99.337,268.001,20.817,24.55
JY51-2,3071.75,4,210.497,101.04,269.579,21.749,6.951
JY51-2,3071.875,4,210.757,101.213,270.178,21.713,8.621
JY51-2,3072,4,210.919,101.341,270.681,21.777,13.074
JY51-2,3072.75,4,217.588,101.354,271.951,21.511,21.572
JY51-2,3072.875,4,219.99,101.315,273.069,21.849,21.055
JY51-2,3073,4,222.261,101.272,272.893,22.454,21.217
JY51-2,3073.75,4,216.372,100.076,264.722,21.182,16.359
JY51-2,3073.875,4,216.792,99.797,264.241,21.02,19.136
JY51-2,3074,4,216.262,99.578,263.74,21.062,22.689
JY51-2,3074.5,4,207.473,99.147,265.941,21.349,15.506
JY51-2,3074.625,4,207.258,98.987,265.13,21.476,13.25
JY51-2,3074.75,4,206.158,98.757,262.285,21.326,12.952
JY51-2,3075.75,4,222.267,95.182,264.399,22.005,17.521
JY51-2,3075.875,4,222.459,95.045,264.341,21.038,20.237
JY51-2,3076,4,223.23,94.948,264.183,20.398,22.458
JY51-2,3076.75,4,187.233,94.849,239.591,16.351,32.962
JY51-2,3076.875,4,183.019,94.883,240.37,15.949,32.001
JY51-2,3077,4,186.233,94.936,245.054,16.777,29.387
JY51-2,3077.75,4,222.666,94.686,263.552,22.875,15.958
JY51-2,3077.875,4,222.648,94.437,264.627,22.477,16.585
JY51-2,3078,4,219.95,94.265,265.859,22.128,18.377
JY51-2,3078.75,4,206.502,93.212,266.413,20.793,26.469
JY51-2,3078.875,4,207.183,93.034,266.307,20.767,26.124
JY51-2,3079,4,209.669,92.941,266.058,20.793,24.675
JY51-2,3079.75,4,200.463,91.875,261.617,19.061,18.864
JY51-2,3079.875,4,197.487,91.664,259.486,18.976,24.746
JY51-2,3080,4,197.418,91.514,258.809,19.121,29.349
JY51-2,3080.75,4,206.696,89.437,279.331,21.014,16.292
JY51-2,3080.875,4,210.274,89.177,275.028,20.066,16.903
JY51-2,3081,4,212.296,89.116,268.462,19.864,18.332
JY51-2,3081.75,4,204.642,89.681,264.619,20.2,12.487
JY51-2,3081.875,4,200.055,89.548,263.733,19.533,13.171
JY51-2,3082,4,193.909,89.398,259.144,18.333,17.082
JY51-2,3082.75,4,176.19,87.801,237.718,16.262,46.594
JY51-2,3082.875,4,175.625,87.568,238.136,16.515,46.466
JY51-2,3083,4,176.26,87.406,238.105,16.495,46.498
JY51-2,3083.75,4,173.385,85.406,237.481,15.129,46.585
JY51-2,3083.875,4,173.186,84.851,238.524,15.297,45.838
JY51-2,3084,4,174.259,84.322,239.576,15.846,44.964
JY51-2,3084.75,4,183.019,82.528,239.69,16.657,41.541
JY51-2,3084.875,4,184.422,82.42,240.398,16.853,38.268
JY51-2,3085,4,186.361,82.304,240.877,16.721,35.826
JY51-2,3085.625,5,171.218,81.6,233.919,14.75,56.59
JY51-2,3085.75,5,170.72,81.544,233.292,14.929,59.583
JY51-2,3085.875,5,175.23,81.565,233.541,15.058,59.976
JY51-2,3086.75,4,183.576,83.242,241.113,15.662,48.84
JY51-2,3086.875,4,182.357,83.777,242.114,15.794,49.225
JY51-2,3087,4,182.943,84.264,243.098,15.805,50.1
JY51-2,3087.75,4,183.292,84.131,242.928,15.076,51.307
JY51-2,3087.875,4,178.57,82.913,241.339,15.153,49.641
JY51-2,3088,4,176.388,82.061,240.493,15.418,48.276
JY51-2,3088.625,4,168.557,81.252,238.547,14.481,42.488
JY51-2,3088.75,4,166.05,81.988,237.538,14.11,44.857
JY51-2,3088.875,4,165.266,82.631,236.706,14.017,47.877
JY51-2,3089.75,4,183.617,83.744,245.566,16.216,49.41
JY51-2,3089.875,4,184.631,83.621,245.621,16.268,48.613
JY51-2,3090,4,184.048,83.586,245.346,16.319,47.986
JY51-2,3091.125,5,202.465,85.976,240.095,14.182,33.476
JY51-2,3091.25,5,218.361,86.227,240.292,14.612,26.213
JY51-2,3091.375,5,230.36,86.293,240.653,14.876,21.737
JY51-2,3091.75,4,230.973,85.625,239.344,14.161,22.937
JY51-2,3091.875,4,224.817,85.462,238.394,14.195,24.376
JY51-2,3092,4,215.501,85.426,237.502,14.48,25.246
JY51-2,3092.75,5,180.91,84.711,232.359,15.002,26.978
JY51-2,3092.875,5,182.833,84.622,232.57,15.086,19.556
JY51-2,3093,5,187.042,84.543,233.165,15.355,13.492
JY51-2,3093.75,5,190.698,84.338,237.722,16.106,44.287
JY51-2,3093.875,5,188.154,84.231,239.305,16.317,43.696
JY51-2,3094,5,186.204,84.058,240.33,16.415,41.819
JY51-2,3094.75,4,194.543,82.812,245.858,15.757,21.228
JY51-2,3094.875,4,194.153,82.702,246.051,15.492,15.39
JY51-2,3095,4,192.255,82.653,245.731,15.321,12.968
JY51-2,3095.75,4,187.398,81.786,241.298,16.553,42.251
JY51-2,3095.875,4,187.586,81.588,238.998,16.617,42.86
JY51-2,3096,4,188.935,81.429,236.696,16.356,43.449
JY51-2,3097.75,4,182.415,80.379,225.109,13.685,84.604
JY51-2,3097.875,4,187.478,80.234,226.643,14.005,87.011
JY51-2,3098,4,190.779,80.15,230.041,14.727,84.666
JY51-2,3098.75,4,179.885,81.244,236.418,15.756,38.105
JY51-2,3098.875,4,177.437,81.558,235.154,15.468,37.915
JY51-2,3099,4,177.88,81.85,234.234,15.266,40.553
JY51-2,3099.75,4,180.313,82.744,234.413,15.763,24.295
JY51-2,3099.875,4,181.074,83.015,235.256,15.494,20.079
JY51-2,3100,4,182.266,83.337,237,15.262,20.424
JY51-2,3100.75,4,177.452,83.828,242.727,16.66,51.484
JY51-2,3100.875,4,179.555,83.782,242.597,16.198,49.359
JY51-2,3101,4,182.562,83.804,242.734,15.344,45.536
JY51-2,3101.75,4,193.25,84.322,244.073,14.839,52.592
JY51-2,3101.875,4,194.613,84.565,243.82,14.864,52.655
JY51-2,3102,4,195.716,84.759,243.292,15.129,52.705
JY51-2,3103.75,4,197.258,85.372,247.915,17.747,43.336
JY51-2,3103.875,4,199.402,85.464,249.876,17.93,35.599
JY51-2,3104,4,197.59,85.54,250.902,17.539,27.013
JY51-2,3104.625,4,191.839,86.394,247.279,15.964,14.961
JY51-2,3104.75,4,190.085,86.502,248.9,16.004,20.081
JY51-2,3104.875,4,190.832,86.585,251.367,16.306,28.9
JY51-2,3105.75,4,173.356,87.839,245.236,15.183,45.535
JY51-2,3105.875,4,171.859,87.918,247.503,15.334,46.683
JY51-2,3106,4,175.51,88.022,249.679,16.21,46.46
JY51-2,3106.75,4,186.727,87.7,260.408,17.156,39.83
JY51-2,3106.875,4,188.457,87.796,259.774,17.114,44.092
JY51-2,3107,4,190.33,88.001,259.282,17.138,44.981
JY51-2,3107.625,4,191.686,89.99,258.479,16.012,20.363
JY51-2,3107.75,4,189.283,90.387,258.381,16.106,20.133
JY51-2,3107.875,4,188.522,90.733,258.264,16.294,19.925
JY51-2,3108.75,4,188.018,90.599,260.561,17.65,21.343
JY51-2,3108.875,4,189.291,90.112,261.824,17.994,34.462
JY51-2,3109,4,187.283,89.679,262.484,17.948,44.667
JY51-2,3109.75,4,178.96,88.9,256.354,16.803,39.262
JY51-2,3109.875,4,180.471,89.038,255.716,16.203,32.965
JY51-2,3110,4,179.885,89.251,255.325,15.646,25.716
JY51-2,3110.75,4,191.847,90.7,258.683,17.069,34.753
JY51-2,3110.875,4,191.334,90.663,258.805,16.888,42.343
JY51-2,3111,4,189.526,90.479,257.747,16.755,48.289
JY51-2,3111.75,4,170.925,87.538,253.283,15.614,46.348
JY51-2,3111.875,4,179.531,87.141,255.058,15.814,45.297
JY51-2,3112,4,185.418,86.788,256.05,16.133,46.719
JY51-2,3112.75,4,183.183,84.56,252.286,15.553,41.66
JY51-2,3112.875,4,181.664,84.454,251.849,15.181,30.075
JY51-2,3113,4,180.4,84.462,252.493,15.046,21.508
JY51-2,3114.75,4,207.024,86.456,253.426,15.137,64.092
JY51-2,3114.875,4,210.453,86.92,254.503,15.668,58.124
JY51-2,3115,4,213.125,87.299,255.602,16.205,49.73
JY51-2,3115.75,4,238.033,89.027,264.561,17.495,26.459
JY51-2,3115.875,4,241.981,89.286,266.56,17.762,30.034
JY51-2,3116,4,244.594,89.464,267.363,17.748,33.119
JY51-2,3116.625,5,223.049,89.409,249.022,16.012,14.578
JY51-2,3116.75,5,216.3,89.218,247.431,15.622,18.012
JY51-2,3116.875,5,212.292,88.934,246.204,15.316,28.679
JY51-2,3117.75,5,210.991,86.973,246.045,14.509,45.242
JY51-2,3117.875,5,212.119,87.043,247.447,14.751,42.842
JY51-2,3118,5,211.245,87.143,247.467,14.8,37.603
JY51-2,3118.75,5,201.062,86.065,240.596,13.046,57.386
JY51-2,3118.875,5,201.109,85.742,239.036,12.916,66.378
JY51-2,3119,5,200.958,85.385,237.898,13.127,68.775
JY51-2,3119.75,4,216.691,81.938,246.712,14.572,70.887
JY51-2,3119.875,4,216.053,81.805,245.754,14.861,71.381
JY51-2,3120,4,213.587,81.84,244.913,14.884,68.48
JY51-2,3120.75,5,203.315,80.841,237.562,12.928,48.872
JY51-2,3120.875,5,204.388,80.329,238.04,13.13,50.875
JY51-2,3121,5,206.197,79.91,240.751,13.837,54.529
JY51-2,3123.75,5,177.034,87.803,239.938,12.483,93.383
JY51-2,3123.875,5,179.197,87.828,240.999,12.668,81.092
JY51-2,3124,5,187.739,87.895,243.036,12.891,62.219
JY51-2,3134.875,5,332.175,97.994,262.229,15.977,18.761
JY51-2,3135,5,341.333,98.232,261.22,16.073,15.144
JY51-2,3135.125,5,336.199,98.39,258.747,15.556,15.081
JY51-2,3142.75,4,159.184,104.986,252.069,15.175,24.866
JY51-2,3142.875,4,155.465,104.954,254.036,14.436,19.453
JY51-2,3143,4,155.957,104.782,254.702,13.825,13.753
JY51-2,3143.75,5,193.836,101.402,268.561,18.442,160.64
JY51-2,3143.875,5,195.247,100.645,271.254,18.693,144.464
JY51-2,3144,5,196.91,99.903,273.09,18.967,96.632
JY51-2,3144.75,4,160.242,96.731,226.812,15.495,44.46
JY51-2,3144.875,4,137.797,96.323,216.495,13.76,63.271
JY51-2,3145,4,110.346,95.926,205.372,11.296,111.456
