Well Name,Depth,GR,AC,DEN,CNL
JY36-5HF,2936,74.295,218.885,2.162,37.136
JY36-5HF,2936.125,72.221,223.637,2.163,37.697
JY36-5HF,2936.25,70.409,223.813,2.147,38.017
JY36-5HF,2936.375,68.997,218.776,2.116,37.961
JY36-5HF,2936.5,68.073,210.119,2.071,37.912
JY36-5HF,2936.625,67.622,203.652,2.018,38.076
JY36-5HF,2936.75,67.496,202.217,1.972,38.566
JY36-5HF,2936.875,67.383,204.464,1.947,39.392
JY36-5HF,2937,67.36,208.221,1.95,40.478
JY36-5HF,2937.125,67.413,211.12,1.978,41.329
JY36-5HF,2937.25,67.516,211.4,2.022,41.796
JY36-5HF,2937.375,67.687,209.608,2.064,41.893
JY36-5HF,2937.5,68.149,206.863,2.076,41.726
JY36-5HF,2937.625,69.008,203.434,2.061,41.412
JY36-5HF,2937.75,70.303,199.519,2.031,41.067
JY36-5HF,2937.875,72.015,195.36,1.997,40.72
JY36-5HF,2938,74.008,192.466,1.974,40.361
JY36-5HF,2938.125,76.028,192.985,1.975,39.965
JY36-5HF,2938.25,77.618,197.133,1.995,39.506
JY36-5HF,2938.375,78.736,204.421,2.031,39.078
JY36-5HF,2938.5,79.125,213.473,2.074,38.722
JY36-5HF,2938.625,78.756,221.436,2.115,38.345
JY36-5HF,2938.75,77.775,223.281,2.143,37.852
JY36-5HF,2938.875,76.497,220.097,2.146,37.19
JY36-5HF,2939,75.233,215.313,2.134,36.424
JY36-5HF,2939.125,74.138,212.907,2.114,35.752
JY36-5HF,2939.25,73.396,216.723,2.095,35.285
JY36-5HF,2939.375,73.139,230.482,2.084,35.095
JY36-5HF,2939.5,73.427,247.082,2.088,35.185
JY36-5HF,2939.625,74.29,260.059,2.11,35.495
JY36-5HF,2939.75,75.551,266.899,2.146,35.921
JY36-5HF,2939.875,76.847,267.92,2.189,36.439
JY36-5HF,2940,78.007,266.851,2.232,36.906
JY36-5HF,2940.125,78.913,270.451,2.261,37.195
JY36-5HF,2940.25,79.453,278.845,2.262,37.217
JY36-5HF,2940.375,79.532,288.931,2.246,36.947
JY36-5HF,2940.5,79.266,297.659,2.224,36.481
JY36-5HF,2940.625,78.853,302.694,2.205,36.018
JY36-5HF,2940.75,78.383,303.775,2.195,35.621
JY36-5HF,2940.875,77.869,304.486,2.197,35.304
JY36-5HF,2941,77.389,306.15,2.203,35.044
JY36-5HF,2941.125,77.038,308.581,2.207,34.776
JY36-5HF,2941.25,76.858,311.108,2.206,34.52
JY36-5HF,2941.375,76.836,312.861,2.199,34.327
JY36-5HF,2941.5,76.904,313.45,2.185,34.248
JY36-5HF,2941.625,76.933,314.129,2.166,34.312
JY36-5HF,2941.75,76.645,315.205,2.142,34.516
JY36-5HF,2941.875,76.023,315.88,2.11,34.838
JY36-5HF,2942,75.234,314.553,2.072,35.227
JY36-5HF,2942.125,74.468,308.443,2.033,35.622
JY36-5HF,2942.25,73.94,297.802,2.001,35.995
JY36-5HF,2942.375,73.981,287.284,1.985,36.331
JY36-5HF,2942.5,74.491,280.505,1.985,36.562
JY36-5HF,2942.625,75.233,279.327,1.997,36.682
JY36-5HF,2942.75,75.974,283.128,2.019,36.752
JY36-5HF,2942.875,76.557,286.416,2.046,36.804
JY36-5HF,2943,76.938,283.203,2.075,36.861
JY36-5HF,2943.125,76.897,273.206,2.102,36.932
JY36-5HF,2943.25,76.483,258.541,2.124,37
JY36-5HF,2943.375,75.788,242.989,2.14,37.04
JY36-5HF,2943.5,74.923,232.145,2.15,37.044
JY36-5HF,2943.625,73.992,228.607,2.153,37.01
JY36-5HF,2943.75,73.039,230.189,2.145,36.968
JY36-5HF,2943.875,72.349,234.013,2.128,37.047
JY36-5HF,2944,71.974,237.065,2.099,37.486
JY36-5HF,2944.125,71.845,236.657,2.062,38.352
JY36-5HF,2944.25,71.887,230.361,2.02,39.841
JY36-5HF,2944.375,72.035,220.749,1.983,41.795
JY36-5HF,2944.5,72.116,210.251,1.963,43.658
JY36-5HF,2944.625,72.142,201.2,1.96,44.362
JY36-5HF,2944.75,72.188,195.466,1.971,44.274
JY36-5HF,2944.875,72.35,193.877,1.99,43.826
JY36-5HF,2945,72.661,196.223,2.008,43.13
JY36-5HF,2945.125,72.967,200.404,2.016,42.188
JY36-5HF,2945.25,73.08,204.964,2.013,40.952
JY36-5HF,2945.375,72.703,208.416,2.005,39.812
JY36-5HF,2945.5,71.849,209.411,1.994,39.081
JY36-5HF,2945.625,70.657,206.718,1.985,38.696
JY36-5HF,2945.75,69.377,202.03,1.98,38.571
JY36-5HF,2945.875,68.561,197.972,1.98,38.664
JY36-5HF,2946,68.407,196.348,1.983,39.249
JY36-5HF,2946.125,68.872,198.196,1.988,40.399
JY36-5HF,2946.25,69.847,203.457,1.995,41.622
JY36-5HF,2946.375,71.139,211.056,2.003,42.527
JY36-5HF,2946.5,72.467,219.056,2.013,42.866
JY36-5HF,2946.625,73.34,226.764,2.022,42.628
JY36-5HF,2946.75,73.82,233.315,2.028,42.059
JY36-5HF,2946.875,74.061,237.631,2.03,41.511
JY36-5HF,2947,74.24,237.476,2.027,41.007
JY36-5HF,2947.125,74.534,232.018,2.022,40.555
JY36-5HF,2947.25,75.118,223.888,2.017,40.143
JY36-5HF,2947.375,75.863,215.75,2.014,39.663
JY36-5HF,2947.5,76.541,210.148,2.013,39.512
JY36-5HF,2947.625,76.961,209.059,2.013,40.032
JY36-5HF,2947.75,76.919,212.934,2.012,40.808
JY36-5HF,2947.875,76.209,218.38,2.006,41.379
JY36-5HF,2948,74.555,224.364,2,41.477
JY36-5HF,2948.125,72.534,230.611,2.002,41.326
JY36-5HF,2948.25,70.592,237.204,2.022,41.176
JY36-5HF,2948.375,69.109,244.103,2.063,41.016
JY36-5HF,2948.5,68.38,249.882,2.12,40.836
JY36-5HF,2948.625,68.625,252.786,2.169,40.631
JY36-5HF,2948.75,69.64,252.123,2.194,40.42
JY36-5HF,2948.875,70.763,248.237,2.19,40.21
JY36-5HF,2949,71.756,242.523,2.162,40
JY36-5HF,2949.125,72.461,237.294,2.121,39.888
JY36-5HF,2949.25,72.796,232.881,2.082,40.118
JY36-5HF,2949.375,72.913,228.763,2.055,41.047
JY36-5HF,2949.5,73.083,224.501,2.043,42.703
JY36-5HF,2949.625,73.472,219.857,2.043,43.65
JY36-5HF,2949.75,73.966,215.109,2.052,43.92
JY36-5HF,2949.875,74.384,211.648,2.065,43.789
JY36-5HF,2950,74.661,209.405,2.076,43.568
JY36-5HF,2950.125,74.612,207.535,2.081,43.359
JY36-5HF,2950.25,74.394,205.289,2.081,43.147
JY36-5HF,2950.375,74.12,202.227,2.076,42.935
JY36-5HF,2950.5,73.944,198.843,2.066,42.723
JY36-5HF,2950.625,74.022,196.894,2.054,42.509
JY36-5HF,2950.75,74.342,197.23,2.045,42.286
JY36-5HF,2950.875,74.958,199.51,2.043,42.045
JY36-5HF,2951,75.741,202.57,2.046,41.91
JY36-5HF,2951.125,76.625,204.382,2.048,41.954
JY36-5HF,2951.25,77.543,202.713,2.047,42.099
JY36-5HF,2951.375,78.398,198.951,2.033,42.212
JY36-5HF,2951.5,79.159,194.46,2.011,42.147
JY36-5HF,2951.625,79.615,190.309,1.984,41.756
JY36-5HF,2951.75,79.62,187.063,1.958,41.176
JY36-5HF,2951.875,79.038,184.057,1.941,40.34
JY36-5HF,2952,77.806,181.663,1.948,39.209
JY36-5HF,2952.125,76.178,181.499,1.995,37.819
JY36-5HF,2952.25,74.76,185.176,2.076,36.509
JY36-5HF,2952.375,74.057,193.666,2.177,34.846
JY36-5HF,2952.5,74.301,206.881,2.28,32.3
JY36-5HF,2952.625,75.584,221.347,2.363,29.027
JY36-5HF,2952.75,77.876,232.397,2.396,25.67
JY36-5HF,2952.875,80.847,239.572,2.398,23.356
JY36-5HF,2953,83.903,243.615,2.382,22.56
JY36-5HF,2953.125,86.692,246.138,2.359,22.809
JY36-5HF,2953.25,88.972,249.57,2.338,24.21
JY36-5HF,2953.375,90.607,254.97,2.326,26.569
JY36-5HF,2953.5,91.501,261.955,2.322,29.372
JY36-5HF,2953.625,91.689,270.537,2.323,31.381
JY36-5HF,2953.75,91.352,280.659,2.328,32.593
JY36-5HF,2953.875,90.722,292.103,2.331,33.539
JY36-5HF,2954,90.087,303.138,2.329,34.116
JY36-5HF,2954.125,89.745,311.56,2.319,34.235
JY36-5HF,2954.25,89.824,316.667,2.308,33.952
JY36-5HF,2954.375,89.886,319.035,2.299,33.824
JY36-5HF,2954.5,89.573,319.998,2.294,33.972
JY36-5HF,2954.625,88.69,321.287,2.29,34.34
JY36-5HF,2954.75,87.211,323.377,2.281,34.886
JY36-5HF,2954.875,85.342,325.048,2.26,35.541
JY36-5HF,2955,83.628,325.531,2.228,36.148
JY36-5HF,2955.125,82.544,324.487,2.189,36.579
JY36-5HF,2955.25,82.223,322.079,2.15,36.95
JY36-5HF,2955.375,82.633,319.117,2.116,37.338
JY36-5HF,2955.5,83.595,316.316,2.098,37.671
JY36-5HF,2955.625,84.821,313.618,2.097,37.728
JY36-5HF,2955.75,86.139,311.032,2.11,37.209
JY36-5HF,2955.875,87.507,308.641,2.134,36.392
JY36-5HF,2956,88.929,306.681,2.168,35.54
JY36-5HF,2956.125,90.35,305.243,2.208,34.819
JY36-5HF,2956.25,91.536,304.355,2.253,34.304
JY36-5HF,2956.375,91.957,304.125,2.296,33.922
JY36-5HF,2956.5,91.742,304.212,2.333,33.765
JY36-5HF,2956.625,91.09,303.772,2.359,33.829
JY36-5HF,2956.75,90.245,300.483,2.37,34.02
JY36-5HF,2956.875,89.463,293.728,2.362,34.227
JY36-5HF,2957,89.055,284.144,2.344,34.339
JY36-5HF,2957.125,89.135,273.263,2.322,34.247
JY36-5HF,2957.25,89.55,263.002,2.302,34.047
JY36-5HF,2957.375,90.13,255.345,2.286,33.822
