Well Name,depth,AC,GR,DEN,CNL,LLS,LLD,porosity,organic_content
JY11-4,2326.832,267.001,168.561,2.599,15.605,38.809,39.749,3.6,2.16
JY11-4,2327.862,267.358,168.774,2.609,14.724,49.987,52.186,4.4,2.8
JY11-4,2328.792,264.559,163.905,2.592,14.634,48.332,51.018,1.5,2.3
JY11-4,2329.661,262.389,166.6,2.584,14.898,59.078,64.111,4.3,3.24
JY11-4,2330.581,264.705,176.341,2.57,14.269,56.099,61.563,4.1,3.2
JY11-4,2332.191,270.77,180.449,2.567,14.671,58.48,63.393,4.7,3.04
JY11-4,2333.14,268.563,206.855,2.594,15.977,17.846,18.939,5.4,3.19
JY11-4,2334.14,253.087,184.478,2.585,12.73,31.779,32.445,4.3,2.62
JY11-4,2335.17,271.861,205.397,2.601,16.539,29.401,30.753,4.3,2.47
JY11-4,2336.189,257.624,192.422,2.613,16.053,27.793,28.719,4.3,2.02
JY11-4,2336.829,242.935,177.646,2.619,13.552,43.69,45.15,3.681,2.065
JY11-4,2338.049,239.408,182.045,2.617,12.946,51.198,54.219,2.5,2.15
JY11-4,2339.358,233.847,173.468,2.627,12.038,68.931,74.543,3.5,2.47
JY11-4,2340.948,240.527,170.419,2.586,11.811,41.008,43.707,3.6,2.56
JY11-4,2341.907,253.592,197.41,2.614,14.562,23.697,25.396,4,2.86
JY11-4,2342.857,243.541,191.513,2.584,12.422,68.476,73.993,5.4,2.49
JY11-4,2343.977,251.951,200.515,2.569,12.163,64.857,69.131,4.4,3.2
JY11-4,2345.096,255.609,202.268,2.569,12.144,36.037,38.781,4.1,3.03
JY11-4,2346.326,248.557,191.476,2.569,11.965,34.969,37.44,2.8,3.33
JY11-4,2347.305,248.016,196.245,2.591,11.429,39.857,42.869,5,3.4
JY11-4,2348.185,251.464,207.291,2.577,11.545,47.449,51.857,4.8,3.35
JY11-4,2349.905,256.178,203.081,2.547,13.112,30.018,32.96,4.9,3.85
JY11-4,2350.904,257.677,193.378,2.533,12.6,38.913,42.416,5.5,3.6
JY11-4,2352.034,249.049,174.314,2.543,11.057,42.804,45.794,4.2,3.24
JY11-4,2352.954,245.444,171.757,2.531,11.41,60.197,64.608,5.3,3.51
JY11-4,2354.123,247.136,196.232,2.504,9.892,16.173,17.564,6.3,4.1
JY11-4,2355.293,252.587,218.656,2.491,11.216,80.486,87.231,6.3,3.92
JY11-4,2356.462,258.039,356.106,2.472,13.389,35.627,39.363,7.8,5.65
JY11-4,2357.562,255.75,190.887,2.511,12.363,13.055,14.354,7.3,4.21
JY11-4,2358.662,245.377,177.142,2.508,9.425,33.329,36.746,8.4,3.85
JY11-4,2359.341,249.314,174.749,2.498,10.891,50.362,54.643,3.9,3.8
JY11-4,2361.161,260.115,123.442,2.56,15.311,11.961,11.629,6.7,2.86
JY11-4,2361.99,284.712,182.967,2.545,18.963,26.908,27.783,6.4,5.11
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
