Well Name,Depth,Facies,GR,AC,DEN
JY41-5,2551.25,4,202.558,255.024,2.598
JY41-5,2552.125,4,205.121,258.064,2.595
JY41-5,2552.25,4,236.308,262.619,2.651
JY41-5,2552.375,4,238.167,263.646,2.653
JY41-5,2553.25,4,233.436,264.675,2.649
JY41-5,2553.375,4,189.345,266.035,2.69
JY41-5,2553.5,4,194.573,267.743,2.686
JY41-5,2554,4,202.383,269.929,2.681
JY41-5,2554.125,4,201.701,274.962,2.66
JY41-5,2554.25,4,199.152,275.312,2.656
JY41-5,2554.5,4,200.275,275.912,2.654
JY41-5,2554.625,4,210.141,277.714,2.651
JY41-5,2554.75,4,214.849,278.49,2.649
JY41-5,2556,4,215.899,278.956,2.648
JY41-5,2556.125,4,203.313,275.996,2.65
JY41-5,2556.25,4,207.325,276.358,2.65
JY41-5,2557.125,5,211.89,275.105,2.669
JY41-5,2559.125,4,213.233,266.65,2.67
JY41-5,2559.25,4,216.993,269.823,2.652
JY41-5,2560,4,217.087,271.58,2.641
JY41-5,2560.125,4,201.586,269.349,2.663
JY41-5,2560.25,4,203.269,268.205,2.666
JY41-5,2561,4,203.825,266.862,2.669
JY41-5,2561.125,4,199.503,263.025,2.675
JY41-5,2561.25,4,201.476,263.584,2.67
JY41-5,2562,4,202.295,264.03,2.671
JY41-5,2562.125,4,199.093,261.659,2.681
JY41-5,2562.25,4,196.023,259.733,2.665
JY41-5,2566,4,160.523,238.058,2.671
JY41-5,2566.125,4,172.429,243.33,2.646
JY41-5,2566.25,4,174.058,242.662,2.641
JY41-5,2566.625,4,174.191,242.049,2.638
JY41-5,2566.75,4,171.805,242.13,2.63
JY41-5,2566.875,4,171.844,242.635,2.633
JY41-5,2571.25,4,178.96,235.445,2.658
JY41-5,2571.375,4,164.553,231.103,2.691
JY41-5,2571.5,4,167.477,233.485,2.684
JY41-5,2572.125,4,171.507,235.824,2.676
JY41-5,2572.25,4,178.792,241.142,2.635
JY41-5,2572.375,4,180.409,241.286,2.633
JY41-5,2573,4,180.39,241.186,2.64
JY41-5,2573.125,4,179.445,238.496,2.636
JY41-5,2573.25,4,175.719,238.031,2.635
JY41-5,2576.375,5,169.647,235.154,2.653
JY41-5,2576.5,5,166.337,233.593,2.664
JY41-5,2576.625,5,166.2,234.225,2.66
JY41-5,2581,4,171.452,251.371,2.65
JY41-5,2581.125,4,188.632,258.277,2.633
JY41-5,2581.25,4,185.84,258.119,2.631
JY41-5,2582.125,4,182.989,258.343,2.628
JY41-5,2582.25,4,188.116,261.861,2.618
JY41-5,2582.375,4,183.574,260.598,2.616
JY41-5,2586.875,4,177.12,257.844,2.581
JY41-5,2587,4,172.485,255.594,2.608
JY41-5,2587.125,4,175.887,254.226,2.612
JY41-5,2589.25,5,184.195,257.827,2.573
JY41-5,2589.375,5,180.289,260.049,2.6
JY41-5,2589.5,5,187.911,260.764,2.595
JY41-5,2591.5,4,208.832,261.939,2.598
JY41-5,2591.625,4,224.591,264.146,2.609
JY41-5,2591.75,4,221.792,263.805,2.61
JY41-5,2592.125,4,219.453,262.434,2.611
JY41-5,2592.25,4,206.544,253.336,2.638
JY41-5,2592.375,4,198.637,250.072,2.648
JY41-5,2594,5,193.395,243.562,2.629
JY41-5,2594.125,5,204.756,239.814,2.612
JY41-5,2594.25,5,205.576,240.681,2.614
JY41-5,2594.875,5,202.104,241.135,2.622
JY41-5,2595,5,199.093,237.712,2.612
JY41-5,2620.5,4,134.219,251.71,2.532
JY41-5,2620.625,4,158.97,269.262,2.527
JY41-5,2620.75,4,168.608,273.406,2.535
JY56-z1,2864.75,4,186.334,239.097,2.729
JY56-z1,2865,4,183.139,237.273,2.724
JY56-z1,2865.375,4,180.382,236.383,2.714
JY56-z1,2865.5,4,178.409,237.074,2.71
JY56-z1,2865.625,4,178.192,238.154,2.703
JY56-z1,2868,4,198.527,264.848,2.688
JY56-z1,2868.25,4,202.489,264.334,2.702
