Well Name,Depth,Facies,GR,AC,LLS,LLD
JY11-4,2275.75,2,176.996,261.43,7.449,8.5
JY11-4,2275.875,2,174.653,261.158,11.381,12.833
JY11-4,2276.375,2,170.457,266.26,20.946,22.573
JY11-4,2276.5,2,171.153,268.807,20.948,22.584
JY11-4,2276.625,2,172.41,270.942,21.114,22.777
JY11-4,2277.5,2,169.888,269.331,22.444,24.406
JY11-4,2277.625,2,167.773,263.57,22.756,24.707
JY11-4,2277.75,2,164.226,257.785,22.75,24.646
JY11-4,2278.5,2,168.896,270.651,20.855,23.012
JY11-4,2278.625,2,168.164,270.273,21.169,23.436
JY11-4,2278.75,2,166.007,269.669,21.481,23.804
JY11-4,2279.75,2,165.103,264.721,17.703,19.697
JY11-4,2279.875,2,165.631,263.647,19.186,21.188
JY11-4,2280,2,164.353,262.851,19.967,21.817
JY11-4,2281,2,170.103,265.786,20.51,21.945
JY11-4,2281.125,2,172.508,267.673,18.11,19.192
JY11-4,2281.25,2,175.654,269.241,14.877,15.799
JY11-4,2282,2,173.175,266.983,12.776,13.6
JY11-4,2282.125,2,171.665,266.275,12.922,13.604
JY11-4,2282.25,2,172.004,265.695,12.29,12.825
JY11-4,2283,2,174.995,261.051,13.376,14.509
JY11-4,2283.125,2,177.342,259.542,16.98,18.127
JY11-4,2283.25,2,183.386,257.444,19.924,20.966
JY11-4,2283.625,2,197.481,252.389,20.475,20.997
JY11-4,2283.75,2,197.213,251.26,18.249,18.643
JY11-4,2283.875,2,196.836,251.889,15.757,16.086
JY11-4,2285,2,164.452,273.11,13.418,13.87
JY11-4,2285.125,2,161.596,283.052,13.687,14.118
JY11-4,2285.25,2,158.791,284.242,13.219,13.775
JY11-4,2285.5,2,151.744,257.208,18.787,20.07
JY11-4,2285.625,2,149.637,234.968,29.145,31.02
JY11-4,2285.75,2,148.424,227.431,43.078,45.572
JY11-4,2285.875,2,146.667,226.966,55.773,58.799
JY11-4,2286,2,143.487,222.629,65.864,69.384
JY11-4,2286.125,2,137.622,213.431,76,80.156
JY11-4,2286.25,2,127.198,203.654,89.932,95.019
JY11-4,2286.375,2,113.507,194.178,109.409,115.739
JY11-4,2286.5,2,99.762,186.974,133.017,140.338
JY11-4,2286.625,2,91.232,186.189,152.131,159.453
JY11-4,2286.75,2,89.517,193.297,155.964,162.103
JY11-4,2287,2,115.013,235.32,84.61,87.312
JY11-4,2287.25,2,137.358,257.743,47.523,49.476
JY11-4,2287.375,2,139.107,260.851,41.262,42.728
JY11-4,2287.5,2,142.982,263.559,35.213,36.232
JY11-4,2287.625,2,149.485,266.861,29.902,30.674
JY11-4,2288.75,2,175.295,266.702,24.075,24.493
JY11-4,2289,2,173.896,266.398,14.191,14.264
JY11-4,2289.125,2,173.91,265.489,11.046,11.281
JY11-4,2289.25,2,174.92,264.535,9.653,10.069
JY11-4,2289.375,2,176.34,263.425,9.998,10.59
JY11-4,2289.625,2,188.559,244.51,22.056,23.189
