Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY11-4,2276.625,1,172.41,270.942,2.691,22.748,21.114,22.777,4.508
JY11-4,2277.5,1,169.888,269.331,2.682,21.296,22.444,24.406,4.784
JY11-4,2277.625,1,167.773,263.57,2.687,21.134,22.756,24.707,4.63
JY11-4,2277.75,1,164.226,257.785,2.699,20.847,22.75,24.646,4.456
JY11-4,2278.5,1,168.896,270.651,2.696,21.968,20.855,23.012,4.402
JY11-4,2278.625,1,168.164,270.273,2.691,21.767,21.169,23.436,4.519
JY11-4,2278.75,1,166.007,269.669,2.688,21.052,21.481,23.804,4.615
JY11-4,2279.75,1,165.103,264.721,2.668,21.02,17.703,19.697,4.294
JY11-4,2279.875,1,165.631,263.647,2.669,21.14,19.186,21.188,4.292
JY11-4,2280,1,164.353,262.851,2.672,21.345,19.967,21.817,4.276
JY11-4,2281,1,170.103,265.786,2.668,19.88,20.51,21.945,3.992
JY11-4,2281.125,1,172.508,267.673,2.665,20.295,18.11,19.192,3.969
JY11-4,2281.25,1,175.654,269.241,2.659,20.804,14.877,15.799,3.922
JY11-4,2282,1,173.175,266.983,2.661,21.573,12.776,13.6,4.302
JY11-4,2282.125,1,171.665,266.275,2.665,21.69,12.922,13.604,4.54
JY11-4,2282.25,1,172.004,265.695,2.67,21.35,12.29,12.825,4.705
JY11-4,2287,2,115.013,235.32,2.642,12.88,84.61,87.312,3.279
JY11-4,2287.25,2,137.358,257.743,2.619,17.982,47.523,49.476,3.804
JY11-4,2287.375,2,139.107,260.851,2.621,18.541,41.262,42.728,3.928
JY11-4,2287.5,2,142.982,263.559,2.622,19.334,35.213,36.232,4.107
JY11-4,2287.625,2,149.485,266.861,2.621,20.58,29.902,30.674,4.238
JY11-4,2288.75,1,175.295,266.702,2.647,19.284,24.075,24.493,4.356
JY11-4,2289,2,173.896,266.398,2.659,19.753,14.191,14.264,4.19
JY11-4,2289.125,2,173.91,265.489,2.655,19.522,11.046,11.281,4.153
JY11-4,2289.25,2,174.92,264.535,2.649,19.184,9.653,10.069,4.149
JY11-4,2289.375,2,176.34,263.425,2.643,18.801,9.998,10.59,4.15
JY11-4,2289.625,2,188.559,244.51,2.639,15.989,22.056,23.189,3.929
JY11-4,2290.5,2,230.905,267.009,2.616,18.577,33.018,34.107,3.892
JY11-4,2291,2,194.391,240.299,2.646,13.575,54.829,55.874,2.585
JY11-4,2291.125,2,198.053,241.618,2.65,14.257,50.163,50.626,2.698
JY11-4,2291.25,2,206.598,246.819,2.65,15.666,40.105,40.293,2.882
JY11-4,2291.375,2,192.676,276.221,2.671,19.713,17.462,17.985,4.296
JY11-4,2291.625,2,196.519,281.65,2.64,21.324,18.682,18.566,4.534
JY11-4,2292.5,1,198.884,289.937,2.624,22.509,10.426,10.93,5.018
JY11-4,2292.625,1,199.276,290.707,2.617,22.3,11.939,12.555,4.95
JY11-4,2293.75,1,202.439,289.176,2.616,20.158,20.869,21.616,4.426
JY11-4,2293.875,1,205.146,287.485,2.617,20.53,21.319,22.089,4.349
JY11-4,2294.5,2,183.352,274.199,2.653,18.084,21.523,20.882,3.853
JY11-4,2295.125,1,184.55,275.827,2.657,18.268,15.696,14.931,3.846
JY11-4,2295.25,1,207.038,292.488,2.625,20.414,12.123,12.88,4.209
JY11-4,2295.875,1,191.198,288.088,2.627,19.86,27.377,27.595,4.185
JY11-4,2296,1,196.747,288.147,2.644,19.934,23.985,24.018,3.901
JY11-4,2297,1,153.892,237.748,2.687,13.277,34.03,36.096,2.783
JY11-4,2297.125,1,144.007,234.656,2.682,12.981,44.388,46.49,2.869
JY11-4,2297.25,1,153.408,244.324,2.64,14.506,50.461,52.07,3.341
JY11-4,2299.125,1,153.868,237.22,2.645,14.828,52.881,54.585,3.432
JY11-4,2299.25,1,152.584,236.018,2.649,14.334,52.26,53.98,3.268
JY11-4,2299.375,1,144.601,233.366,2.661,13.783,58.322,60.97,2.267
JY11-4,2300,1,143.744,233.068,2.658,13.873,59.621,62.245,2.312
JY11-4,2300.125,1,140.831,232.61,2.661,14.013,59.865,62.384,2.43
JY11-4,2300.25,1,147.502,233.93,2.627,14.675,53.685,55.568,3.597
JY11-4,2302.875,1,154.394,240.498,2.646,14.332,46.984,48.664,3.872
JY11-4,2303,1,155.773,242.861,2.643,14.597,46.056,47.755,3.915
JY11-4,2303.125,1,156.869,244.405,2.638,14.913,46.237,47.99,3.93
JY11-4,2303.875,1,156.614,245.279,2.633,14.972,47.388,49.224,3.887
JY11-4,2304,1,155.87,245.825,2.627,14.75,49.008,50.904,3.795
JY11-4,2304.125,1,155.477,245.856,2.622,14.375,50.303,52.226,3.71
JY11-4,2305.875,1,160.766,241.068,2.628,13.755,53.463,55.837,3.621
JY11-4,2306,1,156.531,237.795,2.636,13.709,56.054,58.699,3.601
JY11-4,2306.125,1,151.433,235.002,2.645,13.424,59.161,62.031,3.539
JY11-4,2307,1,149.198,233.557,2.652,13.066,61.903,64.865,3.408
JY11-4,2307.125,1,151.132,234.067,2.652,12.892,63.061,65.917,3.254
JY11-4,2307.25,1,156.826,236.277,2.647,13.075,62.36,65.01,3.14
JY11-4,2307.375,2,162.899,239.164,2.64,13.52,60.222,62.694,3.065
JY11-4,2307.5,2,166.481,241.32,2.636,13.968,57.941,60.335,3.002
JY11-4,2307.625,2,167.077,242.35,2.634,14.106,56.342,58.708,2.966
JY11-4,2307.75,2,166.698,242.633,2.634,13.897,55.546,57.868,2.971
JY11-4,2307.875,2,158.243,241.83,2.632,13.413,54.87,57.642,3.195
JY11-4,2308,2,154.257,241.027,2.632,13.804,54.864,57.668,3.257
JY11-4,2308.125,2,152.184,239.881,2.636,14.246,55.005,57.779,3.265
JY11-4,2308.25,2,149.925,234.669,2.634,13.876,56.107,58.73,2.924
JY11-4,2308.375,2,152.562,236.069,2.635,13.681,54.838,57.383,2.973
JY11-4,2308.5,2,154.054,238.551,2.635,13.795,53.11,55.676,3.085
JY11-4,2308.625,2,156.777,244.683,2.626,14.578,50.575,53.509,3.296
JY11-4,2308.75,2,159.148,247.228,2.622,14.722,50.566,53.669,3.407
JY11-4,2308.875,2,161.285,248.519,2.62,14.539,51.099,54.285,3.533
JY11-4,2309,2,162.185,248.682,2.617,14.226,51.535,54.776,3.637
JY11-4,2309.125,2,162.264,248.418,2.612,14.038,51.674,54.98,3.708
JY11-4,2309.375,2,162.331,240.733,2.615,13.957,32.954,35.262,3.657
JY11-4,2309.875,1,163.005,239.587,2.617,13.874,32.547,35.088,3.62
JY11-4,2310,1,162.535,239.412,2.617,13.828,35.528,38.373,3.615
JY11-4,2310.125,1,214.533,249.866,2.645,16.975,11.049,11.674,3.773
JY11-4,2310.75,1,223.144,246.406,2.649,16.799,12.189,13.222,3.738
JY11-4,2310.875,1,218.058,241.36,2.652,15.681,15.916,17.444,3.709
JY11-4,2311,1,170.755,241.451,2.625,14.683,44.366,46.099,3.446
JY11-4,2311.625,1,173.461,240.528,2.632,15.227,18.869,19.601,3.052
JY11-4,2311.75,1,175.602,239.085,2.63,15.17,18.104,19.136,3.043
JY11-4,2311.875,1,178.363,238.04,2.628,14.698,20.81,22.109,3.128
JY11-4,2314.625,2,165.655,245.628,2.641,15.227,13.425,13.052,2.935
JY11-4,2314.75,2,163.354,237.989,2.623,14.939,6.824,7.307,3.755
JY11-4,2314.875,2,163.965,238.676,2.624,14.712,11.353,12.251,3.735
JY11-4,2315,2,165.205,239.877,2.628,14.54,21.747,22.933,3.65
JY11-4,2315.125,2,156.273,237.38,2.644,14.409,57.838,58.922,3.33
JY11-4,2315.25,2,156.191,235.604,2.651,14.142,59.21,60.454,3.345
JY11-4,2315.375,2,155.07,232.663,2.659,13.629,61.137,62.467,3.369
JY11-4,2315.5,2,161.454,238.713,2.66,14.409,48.49,48.582,3.665
JY11-4,2315.625,2,164.328,241.12,2.655,14.766,41.379,41.546,3.759
JY11-4,2315.75,2,163.985,241.032,2.653,14.65,36.285,36.735,3.792
JY11-4,2315.875,2,160.193,238.127,2.627,14.017,19.094,19.435,3.562
JY11-4,2320.875,1,171.81,270.648,2.603,16.687,43.757,45.362,3.158
JY11-4,2321,1,169.281,269.024,2.602,16.896,47.789,49.296,3.055
JY11-4,2321.125,1,166.736,266.175,2.605,15.428,47.026,48.132,3.262
JY11-4,2324.625,1,163.573,263.887,2.593,15.223,53.457,55.863,3.126
JY11-4,2324.75,1,164.119,264.41,2.594,14.959,51.013,53.338,2.912
JY11-4,2324.875,1,164.015,264.835,2.592,14.72,48.949,51.345,2.716
JY11-4,2326.125,1,163.905,264.559,2.592,14.634,48.332,51.018,2.574
JY11-4,2326.25,1,164.123,263.51,2.596,14.721,49.996,53.146,2.486
JY11-4,2326.375,1,163.809,262.657,2.606,14.941,53.072,56.707,2.441
JY11-4,2335.375,1,173.468,233.847,2.627,12.038,68.931,74.543,3.57
JY11-4,2335.5,1,173.38,236.201,2.612,12.033,65.47,70.568,3.547
JY11-4,2335.625,1,166.064,241.368,2.588,11.888,46.385,49.247,2.7
JY11-4,2338.25,2,191.513,243.541,2.584,12.422,68.476,73.993,2.33
JY11-4,2338.375,2,195.9,245.708,2.573,12.856,74.987,80.62,2.394
JY11-4,2338.5,2,202.469,252.7,2.572,12.13,60.377,64.338,2.697
JY41-5,2494.5,1,165.888,238.551,2.742,18.609,36.016,35.941,4.437
JY41-5,2494.625,1,164.232,238.706,2.745,18.517,35.66,35.624,4.403
JY41-5,2520.125,1,188.447,249.275,2.725,21.748,34.515,28.796,4.147
JY41-5,2520.25,1,181.884,247.823,2.716,19.892,36.195,30.262,4.163
JY41-5,2521,1,174.907,238.665,2.703,17.194,40.163,33.995,4.922
JY41-5,2521.125,1,176.183,238.368,2.7,17.181,39.414,33.401,5.1
JY41-5,2521.25,1,177.935,238.672,2.702,17.483,38.281,32.521,5.232
JY41-5,2522.125,1,181.222,242.698,2.709,19.511,35.557,29.935,5.546
JY41-5,2522.25,1,184.508,243.803,2.704,19.379,29.618,24.775,5.512
JY41-5,2522.375,1,187.919,245.654,2.699,19.4,23.136,19.484,5.453
JY41-5,2523.25,1,189.081,253.41,2.716,20.6,31.594,26.823,4.784
JY41-5,2523.375,1,191.613,253.397,2.718,20.88,29.421,25.062,4.467
JY41-5,2523.5,1,194.113,253.462,2.716,20.9,28.056,24.03,4.195
JY41-5,2524.25,1,186.462,254.463,2.701,20.818,34.942,30.101,5.18
JY41-5,2524.375,1,183.164,254.525,2.709,20.741,34.494,29.981,5.221
JY41-5,2524.5,1,182.628,254.347,2.72,20.658,34.154,29.949,5.185
JY41-5,2525.125,1,174.938,251.576,2.703,21.156,33.351,30.595,4.962
JY41-5,2525.25,1,175.701,251.445,2.705,20.67,33.169,30.517,5.008
JY41-5,2525.375,1,176.596,251.55,2.71,20.224,33.04,30.474,5.056
JY41-5,2526.125,1,178.725,254.019,2.728,20.25,25.803,24.118,4.975
JY41-5,2526.25,1,180.339,254.521,2.731,20.893,24.605,23.192,5.089
JY41-5,2526.375,1,183.28,255.012,2.735,21.529,24.68,23.443,5.243
JY41-5,2527.125,1,181.617,255.457,2.72,20.906,31.366,29.803,5.445
JY41-5,2527.25,1,179.41,254.761,2.716,20.503,31.51,29.965,5.244
JY41-5,2527.375,1,177.695,253.873,2.715,20.45,31.055,29.561,5.05
JY41-5,2528,1,178.108,250.025,2.723,20.761,24.481,24.091,5.176
JY41-5,2528.125,1,175.971,249.991,2.719,20.25,26.513,26.104,5.269
JY41-5,2528.25,1,175.205,250.204,2.714,20.031,28.936,28.348,5.276
JY41-5,2528.875,1,182.537,249.494,2.716,19.519,32.001,31.152,4.465
JY41-5,2529,1,178.026,248.254,2.714,20.092,32.878,31.96,4.335
JY41-5,2529.125,1,172.929,246.999,2.718,20.226,33.263,32.248,4.294
JY41-5,2529.75,1,179.54,247.462,2.726,21.053,29.011,27.889,4.811
JY41-5,2529.875,1,180.642,248.073,2.725,21.299,29.633,28.449,4.916
JY41-5,2530,1,180.674,248.408,2.723,20.965,30.66,29.36,4.982
JY41-5,2530.625,1,178.624,249.629,2.731,19.956,32.51,30.898,4.8
JY41-5,2530.75,1,177.418,250.406,2.728,19.219,32.444,30.772,4.678
JY41-5,2530.875,1,177.107,251.216,2.727,18.727,32.223,30.511,4.633
JY41-5,2531.375,1,184.077,252.736,2.717,21.149,30.965,29.496,4.928
JY41-5,2531.5,1,184.536,252.677,2.715,21.433,30.845,29.403,5.147
JY41-5,2531.625,1,185.313,252.583,2.718,21.622,30.817,29.349,5.322
JY41-5,2532.375,1,181.358,253.602,2.726,20.768,30.6,29.105,5.551
JY41-5,2532.5,1,178.836,253.917,2.729,20.543,30.523,28.998,5.478
JY41-5,2532.625,1,177.019,254.249,2.732,19.989,30.435,28.873,5.503
JY41-5,2533.25,1,176.368,255.209,2.748,22.22,30.695,29.215,5.972
JY41-5,2533.375,1,178.819,255.004,2.746,21.306,29.364,27.738,5.909
JY41-5,2533.5,1,180.659,254.698,2.742,20.152,25.719,24.131,5.761
JY41-5,2534,1,187.24,253.679,2.742,20.76,15.809,15.461,5.168
JY41-5,2534.125,1,186.378,253.541,2.733,20.938,18.956,18.604,5.144
JY41-5,2534.25,1,183.233,253.293,2.724,20.942,23.895,23.251,5.182
JY41-5,2534.875,1,177.201,251.546,2.725,20.646,30.864,29.101,5.493
JY41-5,2535,1,174.544,252.181,2.721,21.156,27.992,26.259,5.521
JY41-5,2535.125,1,173.179,253.212,2.714,21.792,24.077,22.567,5.536
JY41-5,2535.875,1,182.827,255.4,2.699,20.677,31.094,29.593,5.492
JY41-5,2536,1,181.282,254.563,2.699,21.085,33.002,31.154,5.462
JY41-5,2536.125,1,181.363,253.808,2.696,21.292,33.177,31.151,5.436
JY41-5,2536.875,1,190.692,257.522,2.693,21.78,27.333,25.574,5.064
JY41-5,2537,1,193.229,258.335,2.695,21.826,27.467,25.742,4.971
JY41-5,2537.125,1,194.289,258.538,2.695,21.375,28.017,26.251,4.918
JY41-5,2537.875,1,188.411,253.603,2.716,20.225,23.773,22.123,5.093
JY41-5,2538,1,187.172,253.741,2.717,20.075,25.34,23.34,5.167
JY41-5,2538.125,1,187.972,254.11,2.715,20.001,25.316,22.905,5.227
JY41-5,2538.875,1,186.225,259.364,2.715,21.006,11.955,11.503,5.001
JY41-5,2539,1,189.167,259.999,2.706,19.994,15.535,14.715,5.045
JY41-5,2539.125,1,190.624,260.012,2.696,19.177,17.626,16.45,5.115
JY41-5,2540,1,186.347,258.339,2.706,19.871,22.065,20.729,4.853
JY41-5,2540.125,1,185.876,258.724,2.702,20.362,24.283,22.799,4.928
JY41-5,2540.25,1,182.737,259.065,2.699,20.521,26.337,24.566,5.044
JY41-5,2541.5,1,198.955,259.219,2.71,19.314,38.876,35.996,5.58
JY41-5,2541.625,1,195.759,259.344,2.709,19.352,39.047,36.041,5.455
JY41-5,2541.75,1,193.833,259.454,2.709,19.167,38.665,35.568,5.324
JY41-5,2542.625,1,213.597,257.861,2.691,19.044,20.896,19.16,5.473
JY41-5,2542.75,1,213.005,257.608,2.684,19.249,19.837,18.126,5.372
JY41-5,2542.875,1,211.356,257.574,2.675,19.219,18.55,16.976,5.183
JY41-5,2543.375,1,208.361,259.004,2.651,18.332,15.188,13.415,4.18
JY41-5,2543.5,1,207.693,259.275,2.645,18.468,11.56,10.17,4.06
JY41-5,2543.625,1,204.293,259.335,2.643,18.153,8.619,7.795,4.016
JY41-5,2544.375,1,193.576,255.294,2.67,19.687,32.334,30.398,4.472
JY41-5,2544.5,1,190.745,255.548,2.675,19.836,31.991,29.942,4.635
JY41-5,2544.625,1,187.679,256.479,2.679,20.117,30.246,28.209,4.788
JY41-5,2545.25,1,181.529,261.384,2.661,19.736,26.11,24.679,5.495
JY41-5,2545.375,1,183.592,261.623,2.664,18.919,28.722,26.93,5.624
JY41-5,2545.5,1,185.671,261.727,2.666,18.444,29.283,27.162,5.668
JY41-5,2546,1,186.347,258.892,2.645,19.365,15.716,14.727,5.159
JY41-5,2546.125,1,188.056,257.383,2.64,18.556,15.966,15.191,5.001
JY41-5,2546.25,1,189.358,255.968,2.64,17.899,18.051,17.368,4.855
JY41-5,2547,1,189.517,252.368,2.656,17.17,49.644,46.207,3.91
JY41-5,2547.125,1,185.922,251.095,2.661,16.751,41.697,38.467,3.897
JY41-5,2547.25,1,182.934,249.675,2.664,16.401,31.787,29.222,3.973
JY41-5,2548,1,187.422,254.492,2.673,15.31,36.673,35.067,4.764
JY41-5,2548.125,1,191.494,258.258,2.672,16.066,38.908,37.162,4.923
JY41-5,2548.25,1,196.788,262.074,2.67,17.319,39.565,37.804,5.089
JY41-5,2548.875,1,209.681,268.286,2.661,19.501,37.134,35.233,5.333
JY41-5,2549,1,226.167,272.177,2.628,19.771,19.643,18.635,4.753
JY41-5,2549.125,1,227.265,272.069,2.622,18.995,16.357,15.747,4.563
JY41-5,2550,2,224.231,271.349,2.617,18.242,15.604,15.272,4.263
JY41-5,2550.125,2,211.656,260.947,2.586,15.403,55.965,55.016,3.436
JY41-5,2550.25,2,209.697,258.875,2.594,15.68,62.139,60.999,3.292
JY41-5,2551,1,203.426,255.842,2.614,15.717,66.853,65.524,3.042
JY41-5,2551.125,1,196.786,251.406,2.612,15.599,59.811,57.763,3.606
JY41-5,2551.25,1,202.558,255.024,2.598,16.662,54.222,51.898,3.815
JY41-5,2552.125,1,205.121,258.064,2.595,17.033,45.413,43.013,4.063
JY41-5,2552.25,1,236.308,262.619,2.651,17.923,28.567,26.574,4.314
JY41-5,2552.375,1,238.167,263.646,2.653,18.859,23.686,21.617,4.29
JY41-5,2553.25,1,233.436,264.675,2.649,19.509,17.091,15.461,4.248
JY41-5,2553.375,1,189.345,266.035,2.69,18.002,32.813,30.254,4.409
JY41-5,2553.5,1,194.573,267.743,2.686,17.587,25.437,23.231,4.277
JY41-5,2554,1,202.383,269.929,2.681,18.043,18.681,17.12,4.135
JY41-5,2554.125,1,201.701,274.962,2.66,20.837,18.336,17.153,4.124
JY41-5,2554.25,1,199.152,275.312,2.656,19.748,19.45,18.061,4.166
JY41-5,2554.5,1,200.275,275.912,2.654,19.044,19.369,17.974,4.231
JY41-5,2554.625,1,210.141,277.714,2.651,19.031,19.101,17.891,4.399
JY41-5,2554.75,1,214.849,278.49,2.649,19.108,19.229,17.997,4.436
JY41-5,2556,1,215.899,278.956,2.648,19.125,19.027,17.758,4.459
JY41-5,2556.125,1,203.313,275.996,2.65,20.228,32.877,30.394,4.418
JY41-5,2556.25,1,207.325,276.358,2.65,20.386,32.952,30.452,4.35
JY41-5,2557.125,2,211.89,275.105,2.669,19.957,32.826,30.509,4.227
JY41-5,2559.125,1,213.233,266.65,2.67,21.723,20.124,18.838,4.465
JY41-5,2559.25,1,216.993,269.823,2.652,22.391,21.055,19.86,4.414
JY41-5,2560,1,217.087,271.58,2.641,21.995,23.626,22.322,4.37
JY41-5,2560.125,1,201.586,269.349,2.663,18.766,31.048,28.722,4.129
JY41-5,2560.25,1,203.269,268.205,2.666,18.426,29.168,26.831,4.079
JY41-5,2561,1,203.825,266.862,2.669,18.35,26.296,24.137,4.072
JY41-5,2561.125,1,199.503,263.025,2.675,19.828,24.466,22.568,4.572
JY41-5,2561.25,1,201.476,263.584,2.67,20.262,24.772,22.627,4.664
JY41-5,2562,1,202.295,264.03,2.671,20.991,23.02,20.878,4.717
JY41-5,2562.125,1,199.093,261.659,2.681,18.572,30.383,28.189,4.614
JY41-5,2562.25,1,196.023,259.733,2.665,18.474,32.245,29.722,4.547
JY41-5,2566,1,160.523,238.058,2.671,14.808,58.196,55.113,3.891
JY41-5,2566.125,1,172.429,243.33,2.646,14.826,56.069,54.162,3.737
