Well Name,Depth,GR,AC,DEN,CNL,LLS
JY2,2451.75,160.728,76.238,2.744,20.53,19.478
JY2,2451.875,159.107,76.424,2.758,20.123,18.409
JY2,2452,158.448,76.827,2.758,19.589,17.726
JY2,2452.125,158.573,77.365,2.747,19.362,17.606
JY2,2452.25,158.647,77.961,2.735,19.643,18.047
JY2,2452.375,158.697,78.394,2.724,20.082,18.895
JY2,2452.5,158.984,78.646,2.718,20.217,19.826
JY2,2452.625,159.349,78.863,2.713,20.085,20.519
JY2,2452.75,159.587,78.915,2.707,19.93,20.895
JY2,2452.875,159.533,78.676,2.699,19.809,21.011
JY2,2453,158.984,78.529,2.69,19.765,20.808
JY2,2453.125,158.473,78.802,2.684,19.85,20.055
JY2,2453.25,159.409,79.211,2.681,20.156,18.647
JY2,2453.375,163.293,79.639,2.683,20.733,16.916
JY2,2453.5,169.962,80.343,2.687,21.483,15.45
JY2,2453.625,176.63,81.261,2.69,22.113,14.73
JY2,2453.75,180.097,82.106,2.688,22.193,14.881
JY2,2453.875,179.536,82.716,2.684,21.788,15.736
JY2,2454,176.748,83.072,2.681,21.297,16.704
JY2,2454.125,174.399,83.139,2.686,20.92,17.227
JY2,2454.25,173.559,82.929,2.697,20.574,17.166
JY2,2454.375,173.706,82.578,2.71,20.114,16.932
JY2,2454.5,173.691,82.153,2.72,19.651,16.968
JY2,2454.625,172.758,81.165,2.725,19.451,17.512
JY2,2454.75,170.728,79.185,2.728,19.593,18.475
JY2,2454.875,167.629,76.949,2.728,19.846,19.521
JY2,2455,164.295,75.473,2.724,19.882,20.239
JY2,2455.125,162.486,75.001,2.72,19.691,20.527
JY2,2455.25,163.191,75.596,2.716,19.646,20.51
JY2,2455.375,165.231,77.122,2.712,19.99,20.297
JY2,2455.5,166.658,78.515,2.711,20.56,19.973
JY2,2455.625,167.007,78.543,2.717,20.829,19.752
JY2,2455.75,166.658,77.178,2.73,20.431,19.845
JY2,2455.875,165.322,75.322,2.747,19.57,20.262
JY2,2456,163.131,73.974,2.759,18.948,20.742
JY2,2456.125,161.404,73.551,2.759,18.975,20.921
JY2,2456.25,162.338,74.183,2.743,19.502,20.571
JY2,2456.375,166.522,75.701,2.722,19.994,19.738
JY2,2456.5,172.873,77.52,2.706,20.134,18.752
JY2,2456.625,179.22,78.768,2.7,20.001,18.034
JY2,2456.75,183.777,79.294,2.699,19.872,17.845
JY2,2456.875,185.317,79.423,2.699,20.082,18.105
JY2,2457,183.553,79.364,2.701,20.8,18.54
JY2,2457.125,179.159,79.237,2.706,21.824,18.887
JY2,2457.25,173.597,79.132,2.71,22.74,19.048
JY2,2457.375,168.863,79.024,2.709,23.367,19.02
JY2,2457.5,166.243,78.892,2.707,23.778,18.852
JY2,2457.625,166.201,78.749,2.714,23.843,18.608
JY2,2457.75,167.928,78.583,2.727,23.501,18.357
JY2,2457.875,170.381,78.397,2.737,23.012,18.094
JY2,2458,172.395,78.209,2.735,22.781,17.737
JY2,2458.125,172.875,78.076,2.729,22.769,17.241
JY2,2458.25,171.601,78.14,2.726,22.732,16.715
JY2,2458.375,169.788,78.429,2.729,22.572,16.31
JY2,2458.5,168.475,78.806,2.734,22.261,16.02
JY2,2458.625,167.468,79.136,2.737,21.865,15.764
JY2,2458.75,166.449,79.345,2.733,21.685,15.559
JY2,2458.875,165.981,79.523,2.724,21.805,15.483
JY2,2459,166.921,79.812,2.71,22.048,15.57
JY2,2459.125,169.143,79.992,2.696,22.188,15.907
JY2,2459.25,171.836,79.89,2.688,22.13,16.565
JY2,2459.375,173.409,79.628,2.685,21.955,17.492
JY2,2459.5,173.131,79.228,2.683,21.801,18.412
JY2,2459.625,171.966,78.714,2.681,21.818,19.104
JY2,2459.75,171.661,78.48,2.682,21.885,19.494
JY2,2459.875,172.182,78.701,2.688,21.702,19.511
JY2,2460,172.662,79.205,2.698,21.26,19.047
JY2,2460.125,173.202,79.742,2.706,20.993,18.09
JY2,2460.25,174.506,80.155,2.711,21.193,16.925
JY2,2460.375,176.293,80.372,2.715,21.887,15.88
JY2,2460.5,177.312,80.468,2.717,22.633,15.256
JY2,2460.625,176.924,80.4,2.713,22.956,15.124
JY2,2460.75,176.143,80.084,2.704,22.751,15.37
JY2,2460.875,176.568,79.783,2.693,22.476,15.75
JY2,2461,178.38,79.63,2.685,22.201,16.047
JY2,2461.125,180.584,79.454,2.681,21.75,16.166
JY2,2461.25,182.762,79.325,2.678,21.338,16.12
JY2,2461.375,185.188,79.361,2.674,21.219,15.959
JY2,2461.5,187.705,79.366,2.666,21.312,15.712
JY2,2461.625,190.383,79.247,2.657,21.364,15.448
JY2,2461.75,193.83,79.025,2.653,21.308,15.218
JY2,2461.875,196.652,78.737,2.657,21.307,14.92
JY2,2462,196.777,78.599,2.665,21.377,14.294
JY2,2462.125,193.403,78.821,2.679,21.439,13.292
JY2,2462.25,188.582,79.447,2.694,21.4,12.289
JY2,2462.375,184.749,80.492,2.7,21.309,11.761
JY2,2462.5,183.059,81.531,2.688,21.328,12.033
JY2,2462.625,181.802,81.869,2.669,21.358,13.328
JY2,2462.75,178.845,81.283,2.656,21.12,15.352
