Well Name,Depth,GR,AC,DEN,CNL
JY59-2HF,2807.5,100.263,223.492,2.563,26.935
JY59-2HF,2807.625,99.928,222.956,2.564,27.397
JY59-2HF,2807.75,99.606,222.429,2.563,27.936
JY59-2HF,2807.875,99.401,222.149,2.561,28.497
JY59-2HF,2808,99.475,222.181,2.558,29.036
JY59-2HF,2808.125,100.037,222.557,2.553,29.51
JY59-2HF,2808.25,100.978,223.047,2.55,29.838
JY59-2HF,2808.375,102.024,223.518,2.547,29.897
JY59-2HF,2808.5,102.942,223.972,2.542,29.692
JY59-2HF,2808.625,103.452,224.571,2.537,29.252
JY59-2HF,2808.75,103.226,225.174,2.527,28.657
JY59-2HF,2808.875,101.885,224.837,2.515,28.077
JY59-2HF,2809,99.912,223.842,2.506,27.597
JY59-2HF,2809.125,97.793,222.623,2.503,27.369
JY59-2HF,2809.25,95.845,221.846,2.509,27.456
JY59-2HF,2809.375,94.376,222.612,2.524,27.9
JY59-2HF,2809.5,93.706,224.617,2.544,28.684
JY59-2HF,2809.625,94.224,225.602,2.562,29.427
JY59-2HF,2809.75,95.525,225.421,2.574,29.842
JY59-2HF,2809.875,97.449,224.345,2.581,29.84
JY59-2HF,2810,99.689,222.745,2.585,29.505
JY59-2HF,2810.125,101.855,221.189,2.586,29.007
JY59-2HF,2810.25,103.533,220.785,2.581,28.536
JY59-2HF,2810.375,104.582,220.988,2.57,28.355
JY59-2HF,2810.5,104.986,221.482,2.553,28.455
JY59-2HF,2810.625,104.849,222.07,2.533,28.754
JY59-2HF,2810.75,104.45,222.667,2.517,29.137
JY59-2HF,2810.875,104.206,223.641,2.509,29.471
JY59-2HF,2811,104.462,224.695,2.514,29.616
JY59-2HF,2811.125,104.95,224.788,2.523,29.557
JY59-2HF,2811.25,105.439,223.738,2.53,29.34
JY59-2HF,2811.375,105.679,222.402,2.533,29.009
JY59-2HF,2811.5,105.519,221.93,2.529,28.589
JY59-2HF,2811.625,105.017,221.891,2.518,28.082
JY59-2HF,2811.75,104.329,221.799,2.505,27.644
JY59-2HF,2811.875,103.832,221.275,2.493,27.321
JY59-2HF,2812,103.705,220.022,2.485,27.074
JY59-2HF,2812.125,104.016,217.895,2.482,26.877
JY59-2HF,2812.25,104.679,215.543,2.482,26.745
JY59-2HF,2812.375,105.34,213.889,2.486,26.8
JY59-2HF,2812.5,105.776,213.324,2.492,27.186
JY59-2HF,2812.625,105.845,213.871,2.501,27.75
JY59-2HF,2812.75,105.53,215.154,2.514,28.313
JY59-2HF,2812.875,104.845,216.306,2.531,28.703
JY59-2HF,2813,103.827,216.945,2.545,28.795
JY59-2HF,2813.125,102.785,217.357,2.551,28.615
JY59-2HF,2813.25,102.057,217.758,2.55,28.383
JY59-2HF,2813.375,101.799,218.299,2.545,28.18
JY59-2HF,2813.5,102.023,219.006,2.54,28.071
JY59-2HF,2813.625,102.642,219.656,2.542,28.115
JY59-2HF,2813.75,103.514,219.632,2.55,28.383
JY59-2HF,2813.875,104.008,218.986,2.56,28.822
JY59-2HF,2814,103.877,218.021,2.569,29.236
JY59-2HF,2814.125,103.074,217.18,2.574,29.544
JY59-2HF,2814.25,101.764,216.905,2.574,29.719
JY59-2HF,2814.375,100.33,217.259,2.57,29.786
JY59-2HF,2814.5,99.229,217.824,2.562,29.872
JY59-2HF,2814.625,98.801,218.386,2.551,29.828
JY59-2HF,2814.75,98.85,218.814,2.538,29.578
JY59-2HF,2814.875,99.26,219.018,2.527,29.108
JY59-2HF,2815,99.947,218.766,2.523,28.484
JY59-2HF,2815.125,100.796,218.596,2.529,27.904
JY59-2HF,2815.25,101.672,218.714,2.539,27.511
JY59-2HF,2815.375,102.39,219.027,2.551,27.274
JY59-2HF,2815.5,103.123,219.335,2.559,27.113
JY59-2HF,2815.625,103.906,219.555,2.562,26.989
JY59-2HF,2815.75,104.539,219.527,2.56,26.937
JY59-2HF,2815.875,104.67,219.18,2.559,27.044
JY59-2HF,2816,104.227,218.726,2.562,27.37
JY59-2HF,2816.125,103.346,218.412,2.568,27.837
JY59-2HF,2816.25,102.222,218.36,2.576,28.336
JY59-2HF,2816.375,101.138,218.179,2.582,28.746
JY59-2HF,2816.5,100.51,217.803,2.578,28.944
JY59-2HF,2816.625,100.631,217.399,2.565,28.87
JY59-2HF,2816.75,101.386,217.093,2.548,28.58
JY59-2HF,2816.875,102.689,216.951,2.535,28.158
JY59-2HF,2817,104.312,216.959,2.53,27.689
JY59-2HF,2817.125,105.9,217.221,2.539,27.249
JY59-2HF,2817.25,107.035,217.406,2.553,26.934
JY59-2HF,2817.375,107.418,217.436,2.564,26.782
JY59-2HF,2817.5,107.073,217.386,2.566,26.752
JY59-2HF,2817.625,106.001,217.392,2.559,26.819
JY59-2HF,2817.75,104.326,217.297,2.544,26.973
JY59-2HF,2817.875,102.409,216.754,2.531,27.223
JY59-2HF,2818,100.874,216.001,2.526,27.585
JY59-2HF,2818.125,100.073,215.094,2.529,27.973
JY59-2HF,2818.25,100.126,214.095,2.536,28.302
JY59-2HF,2818.375,101.082,213.265,2.544,28.513
JY59-2HF,2818.5,102.878,213.402,2.549,28.567
JY59-2HF,2818.625,105.174,214.153,2.552,28.415
JY59-2HF,2818.75,107.29,215.013,2.552,28.108
JY59-2HF,2818.875,108.776,215.741,2.55,27.736
JY59-2HF,2819,109.39,216.311,2.546,27.409
JY59-2HF,2819.125,109.071,216.684,2.538,27.238
JY59-2HF,2819.25,107.94,216.894,2.531,27.302
JY59-2HF,2819.375,106.117,216.535,2.525,27.584
JY59-2HF,2819.5,103.886,215.644,2.521,27.783
JY59-2HF,2819.625,101.57,214.53,2.518,27.756
JY59-2HF,2819.75,99.536,213.929,2.515,27.481
JY59-2HF,2819.875,98.091,215.969,2.514,27.068
JY59-2HF,2820,97.33,220.361,2.518,26.813
JY59-2HF,2820.125,97.246,224.862,2.539,26.832
JY59-2HF,2820.25,97.776,228.301,2.573,26.968
JY59-2HF,2820.375,98.936,229.786,2.61,27.086
JY59-2HF,2820.5,100.665,226.891,2.633,27.138
JY59-2HF,2820.625,102.784,219.154,2.625,27.194
JY59-2HF,2820.75,104.901,213.904,2.594,27.335
JY59-2HF,2820.875,106.477,213.363,2.562,27.533
JY59-2HF,2821,107.611,216.774,2.543,27.622
JY59-2HF,2821.125,108.404,220.696,2.543,27.557
JY59-2HF,2821.25,108.949,221.95,2.553,27.371
JY59-2HF,2821.375,109.297,222.41,2.557,27.169
JY59-2HF,2821.5,109.594,223.144,2.555,27.155
JY59-2HF,2821.625,110.15,224.08,2.552,27.164
JY59-2HF,2821.75,110.875,225.302,2.55,27.132
JY59-2HF,2821.875,111.568,228.158,2.552,27.003
JY59-2HF,2822,111.936,228.689,2.556,26.749
JY59-2HF,2822.125,111.505,224.542,2.559,26.463
JY59-2HF,2822.25,110.564,219.235,2.56,26.137
JY59-2HF,2822.375,109.44,215.49,2.559,25.831
JY59-2HF,2822.5,108.35,213.82,2.557,25.552
JY59-2HF,2822.625,107.417,212.1,2.555,25.322
JY59-2HF,2822.75,106.66,210.618,2.549,25.234
JY59-2HF,2822.875,106.236,210.031,2.538,25.282
JY59-2HF,2823,106.015,210.645,2.524,25.436
JY59-2HF,2823.125,105.873,212.425,2.509,25.661
JY59-2HF,2823.25,105.667,214.81,2.496,25.961
JY59-2HF,2823.375,105.266,216.224,2.49,26.366
JY59-2HF,2823.5,104.619,216.304,2.492,26.866
JY59-2HF,2823.625,103.821,215.505,2.499,27.361
JY59-2HF,2823.75,103.093,214.335,2.511,27.737
JY59-2HF,2823.875,102.531,213.246,2.525,27.936
JY59-2HF,2824,102.183,212.636,2.538,27.945
JY59-2HF,2824.125,102.069,212.983,2.544,27.801
JY59-2HF,2824.25,102.043,214.082,2.542,27.604
JY59-2HF,2824.375,102.077,215.347,2.539,27.466
JY59-2HF,2824.5,102.101,216.28,2.537,27.451
JY59-2HF,2824.625,102.2,216.763,2.538,27.578
JY59-2HF,2824.75,102.517,216.745,2.542,27.803
JY59-2HF,2824.875,103.016,216.157,2.546,27.966
JY59-2HF,2825,103.586,215.282,2.548,27.956
JY59-2HF,2825.125,104.05,214.485,2.548,27.819
JY59-2HF,2825.25,104.304,214.096,2.543,27.657
JY59-2HF,2825.375,104.192,214.199,2.536,27.575
JY59-2HF,2825.5,103.533,214.688,2.523,27.636
JY59-2HF,2825.625,102.601,215.499,2.512,27.848
JY59-2HF,2825.75,101.7,216.266,2.505,28.138
JY59-2HF,2825.875,101,216.529,2.506,28.507
JY59-2HF,2826,100.642,215.877,2.511,28.941
JY59-2HF,2826.125,100.7,214.545,2.518,29.402
JY59-2HF,2826.25,101.127,213.282,2.518,29.799
JY59-2HF,2826.375,101.633,212.622,2.511,29.989
JY59-2HF,2826.5,102.088,212.843,2.497,29.987
JY59-2HF,2826.625,102.459,213.954,2.481,29.795
JY59-2HF,2826.75,102.817,215.547,2.465,29.458
JY59-2HF,2826.875,103.325,216.309,2.454,29.062
JY59-2HF,2827,104.105,216.04,2.453,28.676
JY59-2HF,2827.125,104.905,215.495,2.46,28.409
JY59-2HF,2827.25,105.579,215.275,2.471,28.224
JY59-2HF,2827.375,106.024,215.53,2.482,28.085
JY59-2HF,2827.5,106.139,215.902,2.489,27.944
JY59-2HF,2827.625,105.773,215.557,2.492,27.734
JY59-2HF,2827.75,104.945,214.243,2.497,27.548
JY59-2HF,2827.875,103.855,212.532,2.507,27.439
JY59-2HF,2828,102.784,211.311,2.517,27.464
JY59-2HF,2828.125,101.893,211.21,2.525,27.61
JY59-2HF,2828.25,101.15,211.088,2.526,27.814
JY59-2HF,2828.375,100.225,210.906,2.52,28.024
JY59-2HF,2828.5,99.02,210.785,2.515,28.142
JY59-2HF,2828.625,97.902,211.021,2.514,28.189
JY59-2HF,2828.75,97.223,212.066,2.514,28.177
JY59-2HF,2828.875,97.32,214.352,2.513,28.12
JY59-2HF,2829,98.488,216.313,2.507,28.04
JY59-2HF,2829.125,100.542,217.379,2.498,28.015
JY59-2HF,2829.25,102.696,217.472,2.491,28.041
JY59-2HF,2829.375,104.568,216.839,2.49,28.035
JY59-2HF,2829.5,105.771,216.04,2.498,27.953
JY59-2HF,2829.625,105.965,215.819,2.516,27.769
JY59-2HF,2829.75,105.006,215.756,2.543,27.421
JY59-2HF,2829.875,103.591,215.621,2.566,27.002
JY59-2HF,2830,102.321,215.439,2.577,26.623
JY59-2HF,2830.125,101.578,215.344,2.571,26.364
JY59-2HF,2830.25,101.676,215.192,2.55,26.297
JY59-2HF,2830.375,102.802,215.413,2.525,26.498
JY59-2HF,2830.5,104.429,216.187,2.509,27.028
JY59-2HF,2830.625,105.836,217.165,2.507,27.624
JY59-2HF,2830.75,106.741,217.923,2.516,28.091
JY59-2HF,2830.875,106.876,218.184,2.528,28.262
JY59-2HF,2831,106.099,217.997,2.537,28.048
JY59-2HF,2831.125,104.664,217.608,2.543,27.573
JY59-2HF,2831.25,103.478,217.177,2.557,27.185
JY59-2HF,2831.375,102.879,216.883,2.59,27.057
JY59-2HF,2831.5,103.037,216.882,2.635,27.197
JY59-2HF,2831.625,103.976,217.25,2.673,27.543
JY59-2HF,2831.75,105.492,217.811,2.675,27.979
JY59-2HF,2831.875,106.729,218.323,2.635,28.355
JY59-2HF,2832,107.45,218.958,2.585,28.55
JY59-2HF,2832.125,107.724,219.669,2.546,28.518
JY59-2HF,2832.25,107.641,220.093,2.533,28.286
JY59-2HF,2832.375,107.337,220.312,2.548,27.962
JY59-2HF,2832.5,107.025,220.764,2.565,27.774
JY59-2HF,2832.625,106.791,221.323,2.571,27.806
JY59-2HF,2832.75,106.402,221.557,2.57,27.998
JY59-2HF,2832.875,105.917,221.163,2.564,28.201
JY59-2HF,2833,105.461,220.582,2.559,28.353
JY59-2HF,2833.125,105.175,220.432,2.558,28.49
JY59-2HF,2833.25,105.124,220.631,2.564,28.601
JY59-2HF,2833.375,105.373,220.969,2.575,28.781
JY59-2HF,2833.5,105.898,221.272,2.586,28.893
JY59-2HF,2833.625,106.594,221.434,2.592,28.878
JY59-2HF,2833.75,107.302,221.386,2.592,28.704
JY59-2HF,2833.875,107.805,221.402,2.586,28.358
JY59-2HF,2834,107.868,221.363,2.579,28.052
JY59-2HF,2834.125,107.506,221.049,2.574,27.831
JY59-2HF,2834.25,106.968,220.255,2.571,27.745
JY59-2HF,2834.375,106.44,218.919,2.57,27.758
JY59-2HF,2834.5,105.994,217.623,2.571,27.765
JY59-2HF,2834.625,105.559,216.811,2.573,27.694
JY59-2HF,2834.75,105.169,216.532,2.574,27.577
JY59-2HF,2834.875,105.054,216.667,2.573,27.5
JY59-2HF,2835,105.228,216.969,2.572,27.519
JY59-2HF,2835.125,105.694,217.122,2.573,27.681
JY59-2HF,2835.25,106.527,216.942,2.577,28.022
JY59-2HF,2835.375,107.593,216.571,2.586,28.479
JY59-2HF,2835.5,108.768,216.215,2.593,28.845
JY59-2HF,2835.625,109.822,216.133,2.595,29.036
JY59-2HF,2835.75,110.609,216.597,2.589,29.066
JY59-2HF,2835.875,110.98,217.432,2.577,29.041
JY59-2HF,2836,110.537,218.362,2.563,29.142
JY59-2HF,2836.125,109.687,219.241,2.552,29.282
JY59-2HF,2836.25,108.649,219.813,2.546,29.285
JY59-2HF,2836.375,107.589,219.945,2.545,29.13
JY59-2HF,2836.5,106.528,220.208,2.546,28.907
JY59-2HF,2836.625,105.331,220.696,2.549,28.807
JY59-2HF,2836.75,104.349,221.156,2.554,28.998
JY59-2HF,2836.875,103.536,221.45,2.557,29.29
JY59-2HF,2837,103.107,221.594,2.555,29.528
JY59-2HF,2837.125,103.149,221.774,2.549,29.661
JY59-2HF,2837.25,103.673,222.029,2.539,29.715
JY59-2HF,2837.375,104.673,222.409,2.535,29.753
JY59-2HF,2837.5,105.579,222.946,2.54,29.712
JY59-2HF,2837.625,106.395,223.548,2.552,29.477
JY59-2HF,2837.75,106.99,224.079,2.567,29.075
JY59-2HF,2837.875,107.331,224.475,2.579,28.609
JY59-2HF,2838,107.519,224.989,2.581,28.245
JY59-2HF,2838.125,107.617,225.497,2.571,28.178
JY59-2HF,2838.25,107.857,225.803,2.555,28.308
JY59-2HF,2838.375,108.059,225.81,2.539,28.53
JY59-2HF,2838.5,108.128,225.519,2.527,28.71
JY59-2HF,2838.625,107.97,224.725,2.524,28.727
JY59-2HF,2838.75,107.408,223.297,2.536,28.536
JY59-2HF,2838.875,106.514,221.9,2.554,28.329
JY59-2HF,2839,105.474,220.906,2.577,28.303
JY59-2HF,2839.125,104.534,220.457,2.598,28.499
JY59-2HF,2839.25,103.848,220.476,2.613,28.868
JY59-2HF,2839.375,103.478,220.981,2.618,29.284
JY59-2HF,2839.5,103.561,221.563,2.608,29.576
