Well Name,Depth,Facies,GR,AC,DEN,LLS
JY11-4,2276.625,4,172.41,270.942,2.691,21.114
JY11-4,2277.5,4,169.888,269.331,2.682,22.444
JY11-4,2277.625,4,167.773,263.57,2.687,22.756
JY11-4,2277.75,4,164.226,257.785,2.699,22.75
JY11-4,2278.5,4,168.896,270.651,2.696,20.855
JY11-4,2278.625,4,168.164,270.273,2.691,21.169
JY11-4,2278.75,4,166.007,269.669,2.688,21.481
JY11-4,2279.75,4,165.103,264.721,2.668,17.703
JY11-4,2279.875,4,165.631,263.647,2.669,19.186
JY11-4,2280,4,164.353,262.851,2.672,19.967
JY11-4,2281,4,170.103,265.786,2.668,20.51
JY11-4,2281.125,4,172.508,267.673,2.665,18.11
JY11-4,2281.25,4,175.654,269.241,2.659,14.877
JY11-4,2282,4,173.175,266.983,2.661,12.776
JY11-4,2282.125,4,171.665,266.275,2.665,12.922
JY11-4,2282.25,4,172.004,265.695,2.67,12.29
JY11-4,2287,5,115.013,235.32,2.642,84.61
JY11-4,2287.25,5,137.358,257.743,2.619,47.523
JY11-4,2287.375,5,139.107,260.851,2.621,41.262
JY11-4,2287.5,5,142.982,263.559,2.622,35.213
JY11-4,2287.625,5,149.485,266.861,2.621,29.902
JY11-4,2288.75,4,175.295,266.702,2.647,24.075
JY11-4,2289,5,173.896,266.398,2.659,14.191
JY11-4,2289.125,5,173.91,265.489,2.655,11.046
JY11-4,2289.25,5,174.92,264.535,2.649,9.653
JY11-4,2289.375,5,176.34,263.425,2.643,9.998
JY11-4,2289.625,5,188.559,244.51,2.639,22.056
JY11-4,2290.5,5,230.905,267.009,2.616,33.018
JY11-4,2291,5,194.391,240.299,2.646,54.829
JY11-4,2291.125,5,198.053,241.618,2.65,50.163
JY11-4,2291.25,5,206.598,246.819,2.65,40.105
JY11-4,2291.375,5,192.676,276.221,2.671,17.462
JY11-4,2291.625,5,196.519,281.65,2.64,18.682
JY11-4,2292.5,4,198.884,289.937,2.624,10.426
JY11-4,2292.625,4,199.276,290.707,2.617,11.939
JY11-4,2293.75,4,202.439,289.176,2.616,20.869
JY11-4,2293.875,4,205.146,287.485,2.617,21.319
JY11-4,2294.5,5,183.352,274.199,2.653,21.523
JY11-4,2295.125,4,184.55,275.827,2.657,15.696
JY11-4,2295.25,4,207.038,292.488,2.625,12.123
JY11-4,2295.875,4,191.198,288.088,2.627,27.377
JY11-4,2296,4,196.747,288.147,2.644,23.985
JY11-4,2297,4,153.892,237.748,2.687,34.03
JY11-4,2297.125,4,144.007,234.656,2.682,44.388
JY11-4,2297.25,4,153.408,244.324,2.64,50.461
JY11-4,2299.125,4,153.868,237.22,2.645,52.881
JY11-4,2299.25,4,152.584,236.018,2.649,52.26
JY11-4,2299.375,4,144.601,233.366,2.661,58.322
JY11-4,2300,4,143.744,233.068,2.658,59.621
JY11-4,2300.125,4,140.831,232.61,2.661,59.865
JY11-4,2300.25,4,147.502,233.93,2.627,53.685
JY11-4,2302.875,4,154.394,240.498,2.646,46.984
JY11-4,2303,4,155.773,242.861,2.643,46.056
JY11-4,2303.125,4,156.869,244.405,2.638,46.237
JY11-4,2303.875,4,156.614,245.279,2.633,47.388
JY11-4,2304,4,155.87,245.825,2.627,49.008
JY11-4,2304.125,4,155.477,245.856,2.622,50.303
JY11-4,2305.875,4,160.766,241.068,2.628,53.463
JY11-4,2306,4,156.531,237.795,2.636,56.054
JY11-4,2306.125,4,151.433,235.002,2.645,59.161
JY11-4,2307,4,149.198,233.557,2.652,61.903
JY11-4,2307.125,4,151.132,234.067,2.652,63.061
JY11-4,2307.25,4,156.826,236.277,2.647,62.36
JY11-4,2307.375,5,162.899,239.164,2.64,60.222
JY11-4,2307.5,5,166.481,241.32,2.636,57.941
JY11-4,2307.625,5,167.077,242.35,2.634,56.342
