Well Name,Depth,GR,AC,DEN,CNL,Facies
JY36-4HF,3100.875,184.992,203.646,2.679,21.422,2
JY36-4HF,3101,186.689,205.547,2.688,21.846,2
JY36-4HF,3101.125,186.104,207.007,2.697,22.093,2
JY36-4HF,3101.25,185.324,208.088,2.702,22.157,2
JY36-4HF,3101.375,185.355,208.762,2.703,22.202,2
JY36-4HF,3101.5,186.025,209.067,2.702,22.387,2
JY36-4HF,3101.625,186.52,208.99,2.702,22.647,2
JY36-4HF,3101.75,186.163,208.123,2.703,22.424,2
JY36-4HF,3101.875,184.994,206.086,2.704,21.295,2
JY36-4HF,3102,182.953,202.74,2.706,19.467,2
JY36-4HF,3102.125,179.089,198.294,2.708,17.527,2
JY36-4HF,3102.375,164.857,188.635,2.71,13.997,2
JY36-4HF,3102.5,157.811,185.394,2.708,12.777,2
JY36-4HF,3102.625,154.227,183.933,2.706,12.471,2
JY36-4HF,3102.75,154.764,184.366,2.705,13.248,2
JY36-4HF,3102.875,157.183,186.127,2.705,14.711,2
JY36-4HF,3103,158.917,188.856,2.703,16.318,2
JY36-4HF,3103.125,160.678,191.971,2.703,17.518,2
JY36-4HF,3103.25,164.419,194.968,2.705,18.33,2
JY36-4HF,3103.375,169.512,197.511,2.708,19.034,2
JY36-4HF,3103.5,174.224,199.244,2.713,19.863,2
JY36-4HF,3103.625,177.088,200.045,2.719,20.908,2
JY36-4HF,3103.75,178.23,199.992,2.724,21.936,2
JY36-4HF,3103.875,178.848,199.647,2.723,22.467,2
JY36-4HF,3104,179.684,199.572,2.718,22.137,2
JY36-4HF,3104.125,180.479,200.18,2.715,21.108,2
JY36-4HF,3104.25,180.061,201.515,2.713,20.048,2
JY36-4HF,3104.375,178.471,203.375,2.711,19.522,2
JY36-4HF,3104.5,176.986,205.339,2.706,19.628,2
JY36-4HF,3104.625,176.79,207.021,2.701,20.155,2
JY36-4HF,3104.75,177.499,208.19,2.697,20.818,2
JY36-4HF,3104.875,177.956,208.817,2.694,21.387,2
JY36-4HF,3105,177.597,209.141,2.691,21.667,2
JY36-4HF,3105.125,177.245,209.504,2.688,21.43,2
JY36-4HF,3105.25,177.749,210.19,2.688,20.844,2
JY36-4HF,3105.375,178.886,211.286,2.692,20.342,2
JY36-4HF,3105.5,179.856,212.687,2.7,20.205,2
JY36-4HF,3105.625,180.163,214.073,2.706,20.356,2
JY36-4HF,3105.75,180.113,215.069,2.708,20.533,2
JY36-4HF,3105.875,180.445,215.438,2.708,20.597,2
JY36-4HF,3106,181.592,215.176,2.708,20.605,2
JY36-4HF,3106.125,183.147,214.505,2.709,20.702,2
JY36-4HF,3106.25,184.073,213.737,2.707,20.958,2
JY36-4HF,3106.375,183.992,213.236,2.703,21.326,2
JY36-4HF,3106.5,183.572,213.204,2.7,21.682,2
JY36-4HF,3106.625,182.983,213.539,2.701,21.95,2
JY36-4HF,3106.75,181.328,214.026,2.705,22.146,2
JY36-4HF,3106.875,178.364,214.435,2.709,22.323,2
JY36-4HF,3107,175.621,214.34,2.711,22.497,2
JY36-4HF,3107.125,174.974,213.338,2.713,22.625,2
JY36-4HF,3107.25,176.57,211.478,2.714,22.601,2
JY36-4HF,3107.375,178.693,209.024,2.714,22.318,2
JY36-4HF,3107.5,179.914,206.337,2.711,21.855,2
JY36-4HF,3107.625,180.896,203.719,2.708,21.393,2
JY36-4HF,3107.75,182.692,201.554,2.707,21.07,2
JY36-4HF,3107.875,185.046,199.916,2.707,20.883,2
JY36-4HF,3108,186.56,198.597,2.708,20.723,2
JY36-4HF,3108.125,187.422,197.536,2.711,20.528,2
JY36-4HF,3108.25,189.055,196.889,2.712,20.383,2
JY36-4HF,3108.375,191.166,196.844,2.711,20.348,2
JY36-4HF,3108.5,192.046,197.683,2.71,20.416,2
JY36-4HF,3108.625,191.353,199.364,2.712,20.577,2
JY36-4HF,3108.75,189.944,201.427,2.717,20.789,2
JY36-4HF,3108.875,187.545,203.211,2.719,21.045,2
JY36-4HF,3109,184.035,204.391,2.716,21.384,2
JY36-4HF,3109.125,180.768,204.696,2.714,21.754,2
JY36-4HF,3109.25,179.842,204.363,2.714,22.1,2
JY36-4HF,3109.375,180.803,203.866,2.717,22.454,2
JY36-4HF,3109.5,181.907,203.737,2.717,22.784,2
JY36-4HF,3110.375,192.247,203.25,2.674,23.4,2
JY36-4HF,3110.5,193.711,202.407,2.676,22.305,2
JY36-4HF,3110.625,193.626,202.323,2.686,21.177,2
JY36-4HF,3110.75,193.184,202.658,2.699,20.731,2
JY36-4HF,3110.875,193.27,203.419,2.71,21.151,2
JY36-4HF,3111,193.791,204.296,2.715,22.034,2
JY36-4HF,3111.625,193.332,196.128,2.698,23.52,2
JY36-4HF,3111.75,190.901,194.275,2.706,22.402,2
JY36-4HF,3111.875,185.045,192.689,2.716,20.144,2
JY36-4HF,3112.125,155.409,188.388,2.709,11.145,2
JY36-4HF,3112.25,135.604,186.76,2.686,6.24,2
JY36-4HF,3112.375,118.411,185.447,2.662,2.894,2
JY36-4HF,3112.5,107.895,184.339,2.646,1.336,2
JY36-4HF,3112.625,106.274,182.995,2.641,1.402,2
JY36-4HF,3112.75,114.251,181.719,2.644,2.875,2
JY36-4HF,3112.875,128.85,181.867,2.655,5.89,2
JY36-4HF,3113,144.333,182.232,2.674,10.785,2
JY36-4HF,3113.125,155.878,182.834,2.694,17.18,2
JY36-4HF,3113.25,161.346,183.315,2.707,22.903,2
JY36-4HF,3113.375,161.657,183.797,2.708,23.611,2
JY36-4HF,3113.5,157.75,183.319,2.699,18.894,2
JY36-4HF,3113.625,150.021,181.372,2.686,12.544,2
JY36-4HF,3113.75,138.502,179.59,2.672,7.661,2
JY36-4HF,3113.875,124.841,178.829,2.659,4.403,2
JY36-4HF,3114,112.964,178.129,2.646,2.514,2
JY36-4HF,3114.125,105.27,177.333,2.636,1.615,2
JY36-4HF,3114.25,102.546,176.655,2.631,1.468,2
JY36-4HF,3114.375,103.727,177.35,2.631,2.075,2
JY36-4HF,3114.5,109.383,179.296,2.634,3.61,2
JY36-4HF,3114.625,119.498,181.812,2.643,6.294,2
JY36-4HF,3114.75,131.863,183.826,2.659,10.661,2
JY36-4HF,3114.875,142.783,185.558,2.678,16.306,2
JY36-4HF,3115,149.863,188.033,2.692,21.932,2
JY36-4HF,3115.375,164.719,192.962,2.705,22.824,2
JY36-4HF,3115.5,166.888,193.394,2.708,21.211,2
JY36-4HF,3115.625,162.731,193.618,2.704,19.171,2
JY36-4HF,3115.75,153.794,193.65,2.687,15.79,2
JY36-4HF,3115.875,144.42,195.577,2.663,11.885,2
JY36-4HF,3116,140.248,197.287,2.644,8.996,2
JY36-4HF,3116.125,143.172,197.634,2.643,8.273,2
JY36-4HF,3116.25,151.135,197.634,2.66,9.712,2
JY36-4HF,3116.375,157.972,197.634,2.68,12.559,2
JY36-4HF,3116.5,159.063,197.634,2.689,15.018,2
JY36-4HF,3116.625,154.201,197.634,2.686,15.548,2
