Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY11-4,2272.75,4,162.149,246.529,2.722,22.396,24.712
JY11-4,2273,6,175.889,247.28,2.738,22.068,23.962
JY11-4,2273.125,6,182.417,249.446,2.726,20.281,21.591
JY11-4,2273.25,6,184.495,253.503,2.706,16.373,17.047
JY11-4,2273.375,6,183.122,257.063,2.691,11.544,11.866
JY11-4,2273.5,6,181.825,258.377,2.685,7.518,7.848
JY11-4,2273.625,6,181.409,258.895,2.687,5.667,6.224
JY11-4,2273.75,6,180.309,259.695,2.689,5.582,6.438
JY11-4,2273.875,6,178.423,260.409,2.689,7.192,8.439
JY11-4,2274,6,176.88,260.41,2.687,10.501,12.146
JY11-4,2274.375,4,171.291,261.533,2.699,20.311,22.246
JY11-4,2274.5,4,170.148,262.113,2.699,21.864,23.669
JY11-4,2274.625,4,170.607,262.844,2.693,22.453,24.089
JY11-4,2275.625,4,177.384,261.546,2.685,5.475,6.139
JY11-4,2275.75,4,176.996,261.43,2.684,7.449,8.5
JY11-4,2275.875,4,174.653,261.158,2.681,11.381,12.833
JY11-4,2276.375,4,170.457,266.26,2.688,20.946,22.573
JY11-4,2276.5,4,171.153,268.807,2.692,20.948,22.584
JY11-4,2276.625,4,172.41,270.942,2.691,21.114,22.777
JY11-4,2277.5,4,169.888,269.331,2.682,22.444,24.406
JY11-4,2277.625,4,167.773,263.57,2.687,22.756,24.707
JY11-4,2277.75,4,164.226,257.785,2.699,22.75,24.646
JY11-4,2278.5,4,168.896,270.651,2.696,20.855,23.012
JY11-4,2278.625,4,168.164,270.273,2.691,21.169,23.436
JY11-4,2278.75,4,166.007,269.669,2.688,21.481,23.804
JY11-4,2279.75,4,165.103,264.721,2.668,17.703,19.697
JY11-4,2279.875,4,165.631,263.647,2.669,19.186,21.188
JY11-4,2280,4,164.353,262.851,2.672,19.967,21.817
JY11-4,2281,4,170.103,265.786,2.668,20.51,21.945
JY11-4,2281.125,4,172.508,267.673,2.665,18.11,19.192
JY11-4,2281.25,4,175.654,269.241,2.659,14.877,15.799
JY11-4,2282,4,173.175,266.983,2.661,12.776,13.6
JY11-4,2282.125,4,171.665,266.275,2.665,12.922,13.604
JY11-4,2282.25,4,172.004,265.695,2.67,12.29,12.825
JY11-4,2283,3,174.995,261.051,2.677,13.376,14.509
JY11-4,2283.125,3,177.342,259.542,2.676,16.98,18.127
JY11-4,2283.25,3,183.386,257.444,2.673,19.924,20.966
JY11-4,2283.625,3,197.481,252.389,2.653,20.475,20.997
JY11-4,2283.75,3,197.213,251.26,2.647,18.249,18.643
JY11-4,2283.875,3,196.836,251.889,2.642,15.757,16.086
JY11-4,2285,3,164.452,273.11,2.507,13.418,13.87
JY11-4,2285.125,3,161.596,283.052,2.447,13.687,14.118
JY11-4,2285.25,3,158.791,284.242,2.414,13.219,13.775
JY11-4,2285.5,6,151.744,257.208,2.475,18.787,20.07
JY11-4,2285.625,6,149.637,234.968,2.537,29.145,31.02
JY11-4,2285.75,6,148.424,227.431,2.583,43.078,45.572
JY11-4,2285.875,6,146.667,226.966,2.601,55.773,58.799
JY11-4,2286,6,143.487,222.629,2.604,65.864,69.384
JY11-4,2286.125,6,137.622,213.431,2.609,76,80.156
JY11-4,2286.25,6,127.198,203.654,2.627,89.932,95.019
JY11-4,2286.375,6,113.507,194.178,2.653,109.409,115.739
JY11-4,2286.5,6,99.762,186.974,2.677,133.017,140.338
JY11-4,2286.625,6,91.232,186.189,2.689,152.131,159.453
JY11-4,2286.75,6,89.517,193.297,2.688,155.964,162.103
JY11-4,2287,5,115.013,235.32,2.642,84.61,87.312
JY11-4,2287.25,5,137.358,257.743,2.619,47.523,49.476
JY11-4,2287.375,5,139.107,260.851,2.621,41.262,42.728
JY11-4,2287.5,5,142.982,263.559,2.622,35.213,36.232
JY11-4,2287.625,5,149.485,266.861,2.621,29.902,30.674
JY11-4,2287.75,2,157.987,269.65,2.622,25.911,26.643
JY11-4,2287.875,2,166.539,269.65,2.627,23.656,24.471
JY11-4,2288,2,176.677,264.246,2.645,25.895,26.689
JY11-4,2288.125,2,173.578,264.356,2.643,26.323,27.036
JY11-4,2288.75,4,175.295,266.702,2.647,24.075,24.493
JY11-4,2289,5,173.896,266.398,2.659,14.191,14.264
