Well Name,Depth,GR,AC,DEN
JY59-1HF,2928,138.599,212.065,2.696
JY59-1HF,2928.125,136.33,211.422,2.707
JY59-1HF,2928.25,136.342,210.901,2.716
JY59-1HF,2928.375,137.368,210.701,2.722
JY59-1HF,2928.5,139.337,210.793,2.724
JY59-1HF,2928.625,142.018,211.072,2.72
JY59-1HF,2928.75,144.905,211.402,2.713
JY59-1HF,2928.875,146.476,211.703,2.707
JY59-1HF,2929,147.077,211.86,2.705
JY59-1HF,2929.125,147.38,211.845,2.706
JY59-1HF,2929.25,147.422,211.668,2.709
JY59-1HF,2929.375,147.21,211.32,2.711
JY59-1HF,2929.5,146.919,210.735,2.712
JY59-1HF,2929.625,147.118,210.005,2.712
JY59-1HF,2929.75,147.199,209.472,2.713
JY59-1HF,2929.875,147.109,209.143,2.714
JY59-1HF,2930,146.801,208.891,2.716
JY59-1HF,2930.125,146.237,208.535,2.717
JY59-1HF,2930.25,145.36,207.964,2.716
JY59-1HF,2930.375,145.251,207.482,2.713
JY59-1HF,2930.5,145.926,207.373,2.708
JY59-1HF,2930.625,147.297,207.729,2.702
JY59-1HF,2930.75,149.155,208.465,2.698
JY59-1HF,2930.875,151.182,209.29,2.696
JY59-1HF,2931,153.014,209.527,2.697
JY59-1HF,2931.125,154.705,209.285,2.7
JY59-1HF,2931.25,156.172,208.904,2.704
JY59-1HF,2931.375,156.843,208.586,2.707
JY59-1HF,2931.5,156.214,208.429,2.708
JY59-1HF,2931.625,154.676,208.421,2.708
JY59-1HF,2931.75,154.017,208.445,2.706
JY59-1HF,2931.875,153.172,208.44,2.704
JY59-1HF,2932,151.909,208.517,2.702
JY59-1HF,2932.125,150.604,208.757,2.701
JY59-1HF,2932.25,150.139,209.155,2.703
JY59-1HF,2932.375,150.963,209.352,2.707
JY59-1HF,2932.5,151.58,209.217,2.714
JY59-1HF,2932.625,152.387,209.012,2.72
JY59-1HF,2932.75,153.594,208.957,2.724
JY59-1HF,2932.875,155.058,209.184,2.725
JY59-1HF,2933,155.896,209.651,2.724
JY59-1HF,2933.125,156.404,209.963,2.72
JY59-1HF,2933.25,157.553,209.895,2.713
JY59-1HF,2933.375,159.03,209.458,2.702
JY59-1HF,2933.5,160.426,208.794,2.692
JY59-1HF,2933.625,161.458,208.15,2.687
JY59-1HF,2933.75,162.851,207.878,2.687
JY59-1HF,2933.875,164.214,207.908,2.69
JY59-1HF,2934,164.63,208.057,2.697
JY59-1HF,2934.125,164.098,208.232,2.704
JY59-1HF,2934.25,163.237,208.374,2.71
JY59-1HF,2934.375,163.349,208.453,2.716
JY59-1HF,2934.5,164.362,208.561,2.723
JY59-1HF,2934.625,164.996,208.769,2.73
JY59-1HF,2934.75,165.623,209.024,2.736
JY59-1HF,2934.875,166.483,209.234,2.738
JY59-1HF,2935,167.44,209.3,2.736
JY59-1HF,2935.125,166.854,209.173,2.731
JY59-1HF,2935.25,166.027,208.984,2.727
JY59-1HF,2935.375,165.939,208.838,2.724
JY59-1HF,2935.5,166.094,208.751,2.723
JY59-1HF,2935.625,165.908,208.662,2.723
JY59-1HF,2935.75,165.166,208.417,2.722
JY59-1HF,2935.875,164.896,207.779,2.721
JY59-1HF,2936,164.814,207.055,2.719
JY59-1HF,2936.125,164.316,206.488,2.717
JY59-1HF,2936.25,163.544,206.271,2.714
JY59-1HF,2936.375,163.039,206.509,2.711
JY59-1HF,2936.5,163.363,207.156,2.71
JY59-1HF,2936.625,163.765,207.72,2.71
JY59-1HF,2936.75,163.642,207.985,2.712
JY59-1HF,2936.875,163.328,207.869,2.714
JY59-1HF,2937,163.072,207.347,2.714
JY59-1HF,2937.125,162.838,206.463,2.712
JY59-1HF,2937.25,162.335,205.567,2.709
JY59-1HF,2937.375,162.084,205.046,2.705
JY59-1HF,2937.5,161.847,205.019,2.703
JY59-1HF,2937.625,161.648,205.544,2.705
JY59-1HF,2937.75,161.62,206.585,2.709
JY59-1HF,2937.875,161.932,207.961,2.714
JY59-1HF,2938,161.886,209.116,2.718
JY59-1HF,2938.125,161.336,209.761,2.721
JY59-1HF,2938.25,160.619,209.876,2.721
JY59-1HF,2938.375,159.986,209.55,2.722
JY59-1HF,2938.5,159.536,208.955,2.723
JY59-1HF,2938.625,159.297,208.344,2.724
JY59-1HF,2938.75,159.228,207.963,2.724
JY59-1HF,2938.875,159.599,207.863,2.721
JY59-1HF,2939,160.575,208.005,2.716
JY59-1HF,2939.125,161.928,208.292,2.712
JY59-1HF,2939.25,162.627,208.581,2.711
JY59-1HF,2939.375,162.195,208.695,2.71
JY59-1HF,2939.5,162.316,208.591,2.711
JY59-1HF,2939.625,162.767,208.261,2.711
JY59-1HF,2939.75,163.192,207.749,2.709
JY59-1HF,2939.875,163.339,207.145,2.706
JY59-1HF,2940,163.877,206.619,2.707
JY59-1HF,2940.125,164.681,206.162,2.71
JY59-1HF,2940.25,164.767,205.768,2.716
JY59-1HF,2940.375,164.2,205.559,2.723
JY59-1HF,2940.5,163.209,205.659,2.729
JY59-1HF,2940.625,161.856,206.14,2.733
JY59-1HF,2940.75,160.56,206.917,2.735
JY59-1HF,2940.875,159.194,207.694,2.733
JY59-1HF,2941,158.325,208.188,2.729
JY59-1HF,2941.125,158.231,208.226,2.722
JY59-1HF,2941.25,158.853,207.797,2.717
JY59-1HF,2941.375,159.514,207.263,2.714
JY59-1HF,2941.5,159.664,207.044,2.715
JY59-1HF,2941.625,160.216,207.13,2.718
JY59-1HF,2941.75,160.826,207.398,2.721
JY59-1HF,2941.875,160.963,207.609,2.722
JY59-1HF,2942,160.225,207.429,2.72
JY59-1HF,2942.125,160.601,206.591,2.719
JY59-1HF,2942.25,161.631,205.764,2.719
JY59-1HF,2942.375,162.263,205.378,2.721
JY59-1HF,2942.5,162.347,205.531,2.724
JY59-1HF,2942.625,162.255,206.063,2.725
JY59-1HF,2942.75,162.667,206.512,2.726
JY59-1HF,2942.875,162.77,206.307,2.726
JY59-1HF,2943,162.526,205.505,2.726
JY59-1HF,2943.125,162.353,204.485,2.724
JY59-1HF,2943.25,162.601,203.739,2.72
JY59-1HF,2943.375,163.409,203.767,2.715
JY59-1HF,2943.5,164.27,204.693,2.71
JY59-1HF,2943.625,164.755,205.629,2.707
JY59-1HF,2943.75,164.824,206.175,2.707
JY59-1HF,2943.875,164.493,206.301,2.709
JY59-1HF,2944,163.778,206.188,2.71
JY59-1HF,2944.125,162.605,206.192,2.709
JY59-1HF,2944.25,161.393,206.627,2.708
JY59-1HF,2944.375,160.445,207.296,2.708
JY59-1HF,2944.5,160.037,207.914,2.708
JY59-1HF,2944.625,160.262,208.262,2.709
JY59-1HF,2944.75,160.998,208.233,2.711
JY59-1HF,2944.875,161.684,208.019,2.716
JY59-1HF,2945,161.659,207.939,2.721
JY59-1HF,2945.125,161.212,207.978,2.725
JY59-1HF,2945.25,160.708,208.059,2.725
JY59-1HF,2945.375,160.412,208.096,2.72
JY59-1HF,2945.5,160.312,208.03,2.715
JY59-1HF,2945.625,161.303,207.925,2.711
JY59-1HF,2945.75,163.187,207.944,2.71
JY59-1HF,2945.875,165.044,208.072,2.711
JY59-1HF,2946,166.167,208.238,2.711
JY59-1HF,2946.125,166.189,208.36,2.711
JY59-1HF,2946.25,165.398,208.454,2.712
JY59-1HF,2946.375,163.978,208.624,2.712
JY59-1HF,2946.5,162.769,208.819,2.711
JY59-1HF,2946.625,162.367,208.99,2.709
JY59-1HF,2946.75,163.135,209.074,2.705
JY59-1HF,2946.875,165.101,209.001,2.704
JY59-1HF,2947,167.529,208.67,2.705
JY59-1HF,2947.125,169.171,208.327,2.709
JY59-1HF,2947.25,169.555,208.124,2.715
JY59-1HF,2947.375,168.629,208.083,2.72
JY59-1HF,2947.5,166.706,208.135,2.721
JY59-1HF,2947.625,164.546,208.128,2.72
JY59-1HF,2947.75,163.106,208.158,2.719
JY59-1HF,2947.875,162.171,208.402,2.718
JY59-1HF,2948,161.776,208.826,2.719
JY59-1HF,2948.125,161.821,209.308,2.72
JY59-1HF,2948.25,162.016,209.676,2.724
JY59-1HF,2948.375,161.817,209.848,2.729
JY59-1HF,2948.5,162.031,209.882,2.734
JY59-1HF,2948.625,162.775,209.836,2.738
JY59-1HF,2948.75,163.585,209.796,2.739
JY59-1HF,2948.875,163.973,209.839,2.738
JY59-1HF,2949,164.137,209.963,2.735
JY59-1HF,2949.125,164.916,210.004,2.731
JY59-1HF,2949.25,165.18,209.995,2.725
JY59-1HF,2949.375,164.729,210.048,2.72
JY59-1HF,2949.5,163.885,210.233,2.717
JY59-1HF,2949.625,163.339,210.546,2.716
JY59-1HF,2949.75,163.242,210.831,2.718
JY59-1HF,2949.875,162.977,210.975,2.719
JY59-1HF,2950,162.99,210.931,2.72
JY59-1HF,2950.125,163.355,210.698,2.72
JY59-1HF,2950.25,163.974,210.361,2.722
JY59-1HF,2950.375,164.64,210.155,2.727
JY59-1HF,2950.5,165.719,210.289,2.733
JY59-1HF,2950.625,166.493,210.522,2.739
JY59-1HF,2950.75,166.574,210.721,2.742
JY59-1HF,2950.875,165.951,210.764,2.741
JY59-1HF,2951,164.974,210.552,2.739
JY59-1HF,2951.125,164.435,210.018,2.738
JY59-1HF,2951.25,164.14,209.457,2.737
JY59-1HF,2951.375,164.11,208.967,2.737
JY59-1HF,2951.5,164.349,208.554,2.737
JY59-1HF,2951.625,164.949,208.249,2.737
JY59-1HF,2951.75,166.171,208.159,2.736
JY59-1HF,2951.875,166.614,208.451,2.735
JY59-1HF,2952,165.938,208.946,2.735
JY59-1HF,2952.125,164.986,209.541,2.735
JY59-1HF,2952.25,164.385,210.155,2.736
JY59-1HF,2952.375,164.387,210.74,2.738
JY59-1HF,2952.5,164.288,211.31,2.739
JY59-1HF,2952.625,164.487,211.757,2.739
JY59-1HF,2952.75,165.694,211.957,2.737
JY59-1HF,2952.875,167.714,211.91,2.732
JY59-1HF,2953,169.805,211.657,2.727
JY59-1HF,2953.125,170.78,211.267,2.722
JY59-1HF,2953.25,170.924,210.835,2.721
JY59-1HF,2953.375,171.465,210.456,2.723
JY59-1HF,2953.5,172.011,210.092,2.728
JY59-1HF,2953.625,171.969,209.716,2.735
JY59-1HF,2953.75,171.025,209.335,2.742
JY59-1HF,2953.875,170.141,209.056,2.748
JY59-1HF,2954,170.401,209.027,2.75
JY59-1HF,2954.125,170.776,209.191,2.747
JY59-1HF,2954.25,170.822,209.507,2.74
JY59-1HF,2954.375,170.487,209.953,2.733
JY59-1HF,2954.5,170.112,210.534,2.728
JY59-1HF,2954.625,170.25,211.406,2.726
JY59-1HF,2954.75,169.864,212.597,2.726
JY59-1HF,2954.875,168.499,213.93,2.727
JY59-1HF,2955,166.713,215.242,2.727
JY59-1HF,2955.125,165.411,216.395,2.728
JY59-1HF,2955.25,165.421,217.331,2.728
JY59-1HF,2955.375,165.739,217.938,2.728
JY59-1HF,2955.5,166.078,218.203,2.726
JY59-1HF,2955.625,166.516,218.151,2.723
JY59-1HF,2955.75,166.774,217.825,2.717
JY59-1HF,2955.875,166.284,217.283,2.712
JY59-1HF,2956,164.609,216.586,2.707
JY59-1HF,2956.125,162.792,215.84,2.705
JY59-1HF,2956.25,160.858,215.068,2.705
JY59-1HF,2956.375,159.079,214.234,2.708
JY59-1HF,2956.5,157.73,213.309,2.712
JY59-1HF,2956.625,156.938,212.295,2.715
JY59-1HF,2956.75,156.465,211.352,2.717
JY59-1HF,2956.875,156.429,210.489,2.719
JY59-1HF,2957,157.325,209.709,2.72
JY59-1HF,2957.125,159.171,209.094,2.721
JY59-1HF,2957.25,161.529,208.768,2.722
