Well Name,Depth,Facies,GR,AC,DEN,CNL,Facies,Facies
JY11-4,2273,2,175.889,247.28,2.738,19.225,2,2
JY11-4,2273.125,2,182.417,249.446,2.726,19.597,2,2
JY11-4,2273.25,2,184.495,253.503,2.706,20.312,2,2
JY11-4,2273.375,2,183.122,257.063,2.691,20.635,2,2
JY11-4,2273.5,2,181.825,258.377,2.685,20.416,2,2
JY11-4,2273.625,2,181.409,258.895,2.687,20.269,2,2
JY11-4,2273.75,2,180.309,259.695,2.689,20.595,2,2
JY11-4,2273.875,2,178.423,260.409,2.689,21.317,2,2
JY11-4,2274,2,176.88,260.41,2.687,21.786,2,2
JY11-4,2274.375,2,171.291,261.533,2.699,21.605,2,2
JY11-4,2274.5,2,170.148,262.113,2.699,22.122,2,2
JY11-4,2274.625,2,170.607,262.844,2.693,22.436,2,2
JY11-4,2275.625,2,177.384,261.546,2.685,21.637,2,2
JY11-4,2275.75,2,176.996,261.43,2.684,22.007,2,2
JY11-4,2275.875,2,174.653,261.158,2.681,22.379,2,2
JY11-4,2276.375,2,170.457,266.26,2.688,22.221,2,2
JY11-4,2276.5,2,171.153,268.807,2.692,22.523,2,2
JY11-4,2276.625,2,172.41,270.942,2.691,22.748,2,2
JY11-4,2277.5,2,169.888,269.331,2.682,21.296,2,2
JY11-4,2277.625,2,167.773,263.57,2.687,21.134,2,2
JY11-4,2277.75,2,164.226,257.785,2.699,20.847,2,2
JY11-4,2278.5,2,168.896,270.651,2.696,21.968,2,2
JY11-4,2278.625,2,168.164,270.273,2.691,21.767,2,2
JY11-4,2278.75,2,166.007,269.669,2.688,21.052,2,2
JY11-4,2279.75,2,165.103,264.721,2.668,21.02,2,2
JY11-4,2279.875,2,165.631,263.647,2.669,21.14,2,2
JY11-4,2280,2,164.353,262.851,2.672,21.345,2,2
JY11-4,2281,2,170.103,265.786,2.668,19.88,2,2
JY11-4,2281.125,2,172.508,267.673,2.665,20.295,2,2
JY11-4,2281.25,2,175.654,269.241,2.659,20.804,2,2
JY11-4,2282,2,173.175,266.983,2.661,21.573,2,2
JY11-4,2282.125,2,171.665,266.275,2.665,21.69,2,2
JY11-4,2282.25,2,172.004,265.695,2.67,21.35,2,2
JY11-4,2283,2,174.995,261.051,2.677,19.02,2,2
JY11-4,2283.125,2,177.342,259.542,2.676,18.373,2,2
JY11-4,2283.25,2,183.386,257.444,2.673,17.726,2,2
JY11-4,2283.625,2,197.481,252.389,2.653,16.906,2,2
JY11-4,2283.75,2,197.213,251.26,2.647,16.901,2,2
JY11-4,2283.875,2,196.836,251.889,2.642,16.741,2,2
JY11-4,2285,2,164.452,273.11,2.507,17.648,2,2
JY11-4,2285.125,2,161.596,283.052,2.447,20.478,2,2
JY11-4,2285.25,2,158.791,284.242,2.414,23.642,2,2
JY11-4,2285.5,2,151.744,257.208,2.475,19.852,2,2
JY11-4,2285.625,2,149.637,234.968,2.537,15.582,2,2
JY11-4,2285.75,2,148.424,227.431,2.583,13.348,2,2
JY11-4,2285.875,2,146.667,226.966,2.601,12.961,2,2
JY11-4,2286,2,143.487,222.629,2.604,13.108,2,2
JY11-4,2286.125,2,137.622,213.431,2.609,13.097,2,2
JY11-4,2286.375,2,113.507,194.178,2.653,11.038,2,2
JY11-4,2286.5,2,99.762,186.974,2.677,9.485,2,2
JY11-4,2286.625,2,91.232,186.189,2.689,8.566,2,2
JY11-4,2286.75,2,89.517,193.297,2.688,8.537,2,2
JY11-4,2287,2,115.013,235.32,2.642,12.88,2,2
JY11-4,2287.25,2,137.358,257.743,2.619,17.982,2,2
JY11-4,2287.375,2,139.107,260.851,2.621,18.541,2,2
JY11-4,2287.5,2,142.982,263.559,2.622,19.334,2,2
JY11-4,2287.625,2,149.485,266.861,2.621,20.58,2,2
JY11-4,2288.75,2,175.295,266.702,2.647,19.284,2,2
JY11-4,2289,2,173.896,266.398,2.659,19.753,2,2
JY11-4,2289.125,2,173.91,265.489,2.655,19.522,2,2
JY11-4,2289.25,2,174.92,264.535,2.649,19.184,2,2
JY11-4,2289.375,2,176.34,263.425,2.643,18.801,2,2
JY11-4,2289.625,2,188.559,244.51,2.639,15.989,2,2
JY11-4,2290.5,2,230.905,267.009,2.616,18.577,2,2
JY11-4,2290.625,2,231.72,263.816,2.61,17.884,2,2
JY11-4,2290.75,2,226.221,259.268,2.604,17.179,2,2
JY11-4,2291,2,194.391,240.299,2.646,13.575,2,2
JY11-4,2291.125,2,198.053,241.618,2.65,14.257,2,2
JY11-4,2291.25,2,206.598,246.819,2.65,15.666,2,2
JY11-4,2291.375,2,192.676,276.221,2.671,19.713,2,2
JY11-4,2291.625,2,196.519,281.65,2.64,21.324,2,2
JY11-4,2292.5,2,198.884,289.937,2.624,22.509,2,2
