Well Name,Depth,GR,AC,DEN,CNL
JY54-6HF,2707,110.798,189.202,2.538,-9999
JY54-6HF,2707.125,112.161,188.951,2.564,-9999
JY54-6HF,2707.25,112.589,188.645,2.568,-9999
JY54-6HF,2707.375,111.513,188.58,2.561,-9999
JY54-6HF,2707.5,109.168,188.832,2.556,-9999
JY54-6HF,2707.625,107.381,189.238,2.562,-9999
JY54-6HF,2707.75,107.464,189.611,2.57,-9999
JY54-6HF,2707.875,108.968,189.78,2.573,-9999
JY54-6HF,2708,110.083,189.62,2.574,-9999
JY54-6HF,2708.125,110.295,189.233,2.582,-9999
JY54-6HF,2708.25,109.94,188.96,2.596,-9999
JY54-6HF,2708.375,108.791,188.966,2.607,-9999
JY54-6HF,2708.5,106.789,189.294,2.612,-9999
JY54-6HF,2708.625,105.838,189.863,2.614,-9999
JY54-6HF,2708.75,107,190.375,2.616,-9999
JY54-6HF,2708.875,108.328,190.465,2.62,-9999
JY54-6HF,2709,107.204,190.138,2.621,27.964
JY54-6HF,2709.125,104.213,189.54,2.615,27.964
JY54-6HF,2709.25,102.046,188.904,2.603,27.629
JY54-6HF,2709.375,101.394,188.515,2.583,28.1
JY54-6HF,2709.5,101.595,188.672,2.559,29.913
JY54-6HF,2709.625,102.556,189.093,2.535,32.872
JY54-6HF,2709.75,104.351,189.521,2.522,35.986
JY54-6HF,2709.875,105.853,189.754,2.519,37.135
JY54-6HF,2710,105.299,189.671,2.514,36.023
JY54-6HF,2710.125,102.637,189.312,2.5,34.668
JY54-6HF,2710.25,99.492,189.03,2.482,34.319
JY54-6HF,2710.375,98.222,189.017,2.471,34.491
JY54-6HF,2710.5,99.837,189.257,2.468,34.596
JY54-6HF,2710.625,104.171,189.615,2.467,34.547
JY54-6HF,2710.75,108.393,189.851,2.46,34.691
JY54-6HF,2710.875,110.418,189.574,2.451,34.982
JY54-6HF,2711,109.517,188.9,2.441,35.342
JY54-6HF,2711.125,106.916,188.103,2.427,36.173
JY54-6HF,2711.25,104.465,187.452,2.405,37.006
JY54-6HF,2711.375,103.659,187.177,2.383,36.963
JY54-6HF,2711.5,104.834,187.407,2.377,35.561
JY54-6HF,2711.625,107.434,187.891,2.394,33.265
JY54-6HF,2711.75,109.505,188.252,2.428,30.991
JY54-6HF,2711.875,110.713,188.35,2.457,30.117
JY54-6HF,2712,111.611,188.177,2.471,31.309
JY54-6HF,2712.125,112.516,187.856,2.463,33.915
JY54-6HF,2712.25,113.232,187.707,2.445,35.943
JY54-6HF,2712.375,113.858,187.871,2.429,35.991
JY54-6HF,2712.5,114.798,188.208,2.428,34.395
JY54-6HF,2712.625,115.369,188.512,2.444,32.033
JY54-6HF,2712.75,114.792,188.564,2.468,29.765
JY54-6HF,2712.875,113.632,188.162,2.484,28.628
JY54-6HF,2713,112.14,187.362,2.487,29.171
JY54-6HF,2713.125,110.465,186.586,2.481,30.705
JY54-6HF,2713.25,109.445,186.095,2.472,32.4
JY54-6HF,2713.375,110.344,186.031,2.464,34.026
JY54-6HF,2713.5,112.073,186.401,2.465,34.571
JY54-6HF,2713.625,112.446,186.974,2.477,31.747
JY54-6HF,2713.75,110.827,187.309,2.493,27.874
JY54-6HF,2713.875,108.886,187.303,2.496,26.216
JY54-6HF,2714,106.958,187.043,2.479,27.909
JY54-6HF,2714.125,105.541,186.722,2.446,30.947
JY54-6HF,2714.25,105.451,186.624,2.416,33.454
JY54-6HF,2714.375,107.458,187.029,2.405,34.627
JY54-6HF,2714.5,110.852,187.631,2.419,34.601
JY54-6HF,2714.625,113.646,188.119,2.448,33.709
JY54-6HF,2714.75,114.828,188.233,2.475,33.07
JY54-6HF,2714.875,114.57,187.812,2.491,33.289
JY54-6HF,2715,113.136,186.895,2.497,34.018
JY54-6HF,2715.125,111.586,186.021,2.496,34.618
JY54-6HF,2715.25,111.385,185.568,2.482,34.989
JY54-6HF,2715.375,113.247,185.647,2.463,35.096
JY54-6HF,2715.5,115.409,186.19,2.457,34.962
JY54-6HF,2715.625,115.843,186.943,2.475,34.421
JY54-6HF,2715.75,114.887,187.365,2.498,33.742
JY54-6HF,2715.875,114.044,187.309,2.506,33.424
JY54-6HF,2716,112.993,186.923,2.5,33.484
JY54-6HF,2716.125,109.644,186.44,2.508,33.989
JY54-6HF,2716.25,104.363,186.122,2.56,35.134
JY54-6HF,2716.375,100.329,186.218,2.616,36.795
JY54-6HF,2716.5,100.099,186.625,2.616,37.004
JY54-6HF,2716.625,102.632,187.015,2.631,34.602
JY54-6HF,2716.75,105.92,187.213,2.606,31.844
JY54-6HF,2716.875,109.205,187.156,2.556,31.06
JY54-6HF,2717,111.498,186.911,2.534,31.838
JY54-6HF,2717.125,111.137,186.791,2.486,32.568
JY54-6HF,2717.25,108.546,187.031,2.441,33.014
JY54-6HF,2717.375,106.796,187.573,2.413,34.026
JY54-6HF,2717.5,107.362,188.239,2.397,35.505
JY54-6HF,2717.625,108.409,188.783,2.393,36.132
JY54-6HF,2717.75,108.723,188.887,2.406,35.347
JY54-6HF,2717.875,108.71,188.423,2.43,33.777
JY54-6HF,2718,108.607,187.776,2.447,32.269
JY54-6HF,2718.125,108.01,187.281,2.441,31.217
JY54-6HF,2718.25,107.46,187.209,2.42,30.897
JY54-6HF,2718.375,107.823,187.727,2.405,31.553
JY54-6HF,2718.5,108.402,188.786,2.409,33.262
JY54-6HF,2718.625,107.689,189.799,2.428,34.989
JY54-6HF,2718.75,106.198,190.382,2.454,35.332
JY54-6HF,2718.875,105.021,190.373,2.479,33.78
JY54-6HF,2719,104.465,189.787,2.492,32.355
JY54-6HF,2719.125,103.716,188.848,2.493,32.369
JY54-6HF,2719.25,102.225,188.108,2.486,33.327
JY54-6HF,2719.375,100.226,187.807,2.481,33.857
JY54-6HF,2719.5,99.381,187.881,2.485,33.29
JY54-6HF,2719.625,100.925,188.144,2.501,32.49
JY54-6HF,2719.75,103.758,188.339,2.519,32.274
JY54-6HF,2719.875,106.294,188.177,2.521,32.357
JY54-6HF,2720,107.301,187.77,2.505,32.307
JY54-6HF,2720.125,107.581,187.432,2.479,32.613
JY54-6HF,2720.25,107.382,187.358,2.453,33.935
JY54-6HF,2720.375,106.801,187.642,2.432,35.769
JY54-6HF,2720.5,106.626,188.225,2.422,36.886
JY54-6HF,2720.625,106.978,188.739,2.428,36.398
JY54-6HF,2720.75,107.762,188.891,2.452,35.069
JY54-6HF,2720.875,108.998,188.669,2.483,33.57
JY54-6HF,2721,110.721,188.179,2.508,32.382
JY54-6HF,2721.125,112.126,187.616,2.514,31.634
JY54-6HF,2721.25,112.265,187.26,2.5,31.419
JY54-6HF,2721.375,111.965,187.226,2.476,31.924
JY54-6HF,2721.5,113.255,187.345,2.458,33.149
JY54-6HF,2721.625,116.207,187.473,2.458,34.513
JY54-6HF,2721.75,118.855,187.502,2.475,34.912
JY54-6HF,2721.875,118.683,187.393,2.496,34.364
JY54-6HF,2722,115.088,187.298,2.508,34.018
JY54-6HF,2722.125,110.592,187.429,2.504,34.517
JY54-6HF,2722.25,107.92,187.796,2.487,35.394
JY54-6HF,2722.375,107.985,188.286,2.467,35.721
JY54-6HF,2722.5,109.113,188.697,2.457,35.05
JY54-6HF,2722.625,109.336,188.703,2.465,33.394
JY54-6HF,2722.75,109.059,188.098,2.487,31.73
JY54-6HF,2722.875,109.782,187.181,2.511,30.926
JY54-6HF,2723,111.377,186.257,2.526,31.356
