Well Name,Depth,GR,AC,DEN,CNL,LLS
JY1,2328.75,158.065,249.654,2.7,22.094,29.542
JY1,2328.875,159.684,249.319,2.689,21.251,29.651
JY1,2329,162.541,248.831,2.682,20.345,28.727
JY1,2329.125,164.048,248.601,2.682,20.079,26.974
JY1,2329.25,164.565,248.978,2.691,20.494,25.375
JY1,2329.375,166.243,249.811,2.707,21.215,24.601
JY1,2329.5,168.884,250.231,2.723,21.694,25.017
JY1,2329.625,169.711,249.959,2.734,21.67,26.068
JY1,2329.75,167.949,249.916,2.739,21.169,26.81
JY1,2329.875,166.128,251.127,2.737,20.757,25.984
JY1,2330,167.316,253.521,2.725,20.966,23.323
JY1,2330.125,171.25,256.224,2.704,22.013,19.341
JY1,2330.25,175.569,258.08,2.684,23.056,15.355
JY1,2330.375,177.584,257.939,2.672,23.136,12.418
JY1,2330.5,176.305,255.191,2.67,22.441,11.262
JY1,2330.625,171.461,251.028,2.678,21.972,12.089
JY1,2330.75,165.113,247.519,2.691,22.101,15.048
JY1,2330.875,160.525,246.075,2.7,22.423,20.059
JY1,2331,159.954,246.597,2.697,22.575,25.21
JY1,2331.125,162.132,248.719,2.685,22.63,28.127
JY1,2331.25,164.869,251.619,2.676,22.801,27.223
JY1,2331.375,166.589,254.453,2.676,23.061,24.033
JY1,2331.5,167.075,256.388,2.681,23.193,20.332
JY1,2331.625,166.306,257.454,2.686,23.3,16.996
JY1,2331.75,164.795,258.192,2.69,23.571,13.806
JY1,2331.875,163.612,259.254,2.693,23.921,10.914
JY1,2332,164.165,260.737,2.691,24.121,9.019
JY1,2332.125,166.366,262.282,2.68,24.055,8.596
JY1,2332.25,168.227,263.295,2.667,23.763,10.034
JY1,2332.375,168.062,263.391,2.665,23.339,13.243
JY1,2332.5,166.701,262.475,2.675,22.885,17.338
JY1,2332.625,165.627,261.131,2.69,22.526,20.657
JY1,2332.75,165.107,260.078,2.702,22.224,22.115
JY1,2332.875,164.358,259.701,2.711,21.898,21.813
JY1,2333,163.834,259.625,2.719,21.716,20.549
JY1,2333.125,164.7,259.409,2.721,21.86,19.161
JY1,2333.25,166.522,258.825,2.717,22.187,18.206
JY1,2333.375,167.795,257.988,2.71,22.418,18.192
JY1,2333.5,167.555,257.077,2.705,22.564,19.35
JY1,2333.625,166.18,256.253,2.706,22.758,21.645
JY1,2333.75,163.982,255.617,2.709,22.91,24.29
JY1,2333.875,161.891,255.335,2.71,22.753,26.29
JY1,2334,160.389,255.765,2.702,22.22,27.057
JY1,2334.125,159.263,257.122,2.692,21.673,26.909
JY1,2334.25,158.526,259.192,2.687,21.527,26.271
JY1,2334.375,158.725,261.17,2.691,21.818,25.445
JY1,2334.5,160.255,262.397,2.701,22.139,24.685
JY1,2334.625,161.788,262.315,2.715,21.962,24.127
JY1,2334.75,161.744,261.022,2.727,21.588,23.7
JY1,2334.875,160.236,259.071,2.731,21.592,23.207
JY1,2335,158.778,257.428,2.724,22.187,22.587
JY1,2335.125,158.533,256.703,2.713,22.891,21.931
JY1,2335.25,159.289,257.001,2.705,23.339,21.209
JY1,2335.375,159.199,257.936,2.701,23.634,19.981
JY1,2335.5,157.434,258.943,2.697,24.001,17.566
JY1,2335.625,156.35,259.553,2.691,24.381,13.851
JY1,2335.75,158.093,259.684,2.688,24.342,9.683
JY1,2335.875,161.895,259.481,2.69,23.716,6.459
JY1,2336,164.851,259.277,2.692,22.912,4.892
JY1,2336.125,165.915,259.576,2.693,22.424,5.142
JY1,2336.25,165.748,260.74,2.688,22.214,7.058
JY1,2336.375,165.975,262.728,2.678,21.911,10.313
JY1,2336.5,167.686,265.017,2.668,21.601,13.393
JY1,2336.625,170.67,267.149,2.663,21.619,14.725
JY1,2336.75,173.633,268.684,2.664,21.857,14.095
JY1,2336.875,175.54,269.268,2.668,21.995,12.8
JY1,2337,176.41,268.665,2.672,21.969,11.833
JY1,2337.125,176.665,267.081,2.676,22.023,11.436
JY1,2337.25,176.018,264.896,2.68,22.297,11.451
JY1,2337.375,173.993,262.351,2.684,22.576,11.666
JY1,2337.5,170.53,259.766,2.685,22.452,11.781
JY1,2337.625,167.16,257.536,2.687,21.991,11.844
JY1,2337.75,166.167,255.883,2.688,21.715,12.213
JY1,2337.875,167.838,254.712,2.688,21.89,13.051
JY1,2338,171.421,254.144,2.683,21.998,14.211
JY1,2338.125,176.687,254.4,2.675,21.303,15.854
JY1,2338.25,183.425,255.286,2.668,20.081,18.166
JY1,2338.375,190.251,256.43,2.661,19.077,20.581
JY1,2338.5,195.283,257.385,2.649,18.621,21.916
JY1,2338.625,197.556,257.7,2.637,18.399,21.359
JY1,2338.75,197.576,256.985,2.634,18.144,19.278
JY1,2338.875,196.527,255.509,2.637,17.93,16.821
JY1,2339,195.907,254.056,2.638,17.768,14.993
JY1,2339.125,195.275,253.255,2.631,17.514,13.637
JY1,2339.25,191.87,253.229,2.62,17.225,12.041
JY1,2339.375,184.473,254.41,2.618,17.121,10.081
JY1,2339.5,176.694,258.418,2.626,17.371,8.364
JY1,2339.625,171.902,267.284,2.625,17.976,7.485
JY1,2339.75,170.125,281.099,2.599,18.944,7.603
JY1,2339.875,169,295.571,2.541,20.169,8.764
JY1,2340,167.375,304.407,2.472,21.389,10.734
JY1,2340.125,165.34,302.983,2.426,22.05,13.234
JY1,2340.25,162.575,291.011,2.434,21.391,16.804
JY1,2340.375,158.507,272.548,2.477,19.458,23.069
JY1,2340.5,153.12,253.806,2.525,17.246,33.322
JY1,2340.625,145.975,240.244,2.574,15.678,46.821
JY1,2340.75,135.607,232.306,2.612,14.767,61.029
JY1,2340.875,121.661,226.861,2.636,14.106,75.475
JY1,2341,106.112,220.37,2.655,13.214,92.181
JY1,2341.125,92.999,212.209,2.666,11.995,111.945
JY1,2341.25,85.939,204.098,2.665,10.806,130.051
JY1,2341.375,86.238,199.07,2.652,10.088,138.126
JY1,2341.5,92.871,199.85,2.638,10.054,131.534
JY1,2341.625,104.034,207.112,2.63,10.707,112.612
JY1,2341.75,117.25,219.048,2.626,11.886,90.211
JY1,2341.875,129.089,232.985,2.616,13.356,71.097
JY1,2342,137.184,245.938,2.604,14.732,57.561
JY1,2342.125,141.09,256.184,2.6,15.74,47.833
JY1,2342.25,142.754,263.351,2.61,16.444,40.169
JY1,2342.375,144.312,268.553,2.626,17.188,33.671
JY1,2342.5,147.481,272.657,2.636,18.173,28.301
JY1,2342.625,152.729,275.75,2.637,19.332,24.479
JY1,2342.75,158.922,277.193,2.635,20.178,22.576
JY1,2342.875,163.732,276.566,2.638,20.383,22.592
JY1,2343,165.822,274.444,2.644,20.207,24.217
JY1,2343.125,165.903,272.033,2.649,20.196,26.377
JY1,2343.25,166.055,270.187,2.652,20.555,27.229
JY1,2343.375,166.834,269.229,2.656,21.077,25.134
JY1,2343.5,166.847,268.848,2.663,21.487,20.486
JY1,2343.625,165.415,268.386,2.668,21.799,15.57
JY1,2343.75,164.364,267.5,2.666,22.068,12.623
JY1,2343.875,165.301,266.657,2.659,22.144,12.383
JY1,2344,167.604,266.287,2.651,21.986,14.91
JY1,2344.125,170.126,266.087,2.649,21.831,19.69
JY1,2344.25,172.477,265.401,2.646,21.795,25.338
JY1,2344.375,174.92,263.623,2.641,21.54,30.341
JY1,2344.5,177.945,260.563,2.635,20.68,33.844
JY1,2344.625,181.578,256.88,2.632,19.446,35.942
JY1,2344.75,184.975,254.17,2.631,18.425,36.697
JY1,2344.875,188.231,253.678,2.632,18.017,36.108
JY1,2345,193.387,255.279,2.629,18.248,34.398
JY1,2345.125,200.832,257.464,2.625,18.777,32.189
JY1,2345.25,206.775,258.182,2.625,19.196,30.419
JY1,2345.375,207.26,255.788,2.632,19.206,30.093
JY1,2345.5,202.811,250.415,2.643,18.737,31.927
JY1,2345.625,197.057,244.032,2.65,17.773,35.981
JY1,2345.75,193.221,239.319,2.648,16.538,41.968
JY1,2345.875,191.928,237.967,2.64,15.632,48.565
JY1,2346,192.647,240.126,2.63,15.552,53.471
JY1,2346.125,194.677,244.38,2.624,16.352,54.497
JY1,2346.25,197.221,248.545,2.626,17.556,51.229
JY1,2346.375,199.124,251.182,2.637,18.496,45.199
JY1,2346.5,199.304,252.422,2.651,18.845,38.33
JY1,2346.625,197.242,253.551,2.66,18.819,31.833
JY1,2346.75,193.714,255.669,2.66,18.84,25.818
JY1,2346.875,190.324,259.022,2.654,19.26,20.31
JY1,2347,187.831,263.22,2.647,20.077,15.774
JY1,2347.125,185.61,267.533,2.642,20.961,13.038
JY1,2347.25,183.376,271.151,2.639,21.522,12.547
JY1,2347.375,181.727,273.614,2.637,21.692,14.186
JY1,2347.5,180.413,275.074,2.636,21.713,17.362
JY1,2347.625,178.022,276.087,2.637,21.841,20.413
JY1,2347.75,174.662,276.98,2.638,22.124,21.424
JY1,2347.875,172.522,277.846,2.639,22.534,19.936
JY1,2348,173.402,278.626,2.638,23.129,17.11
JY1,2348.125,176.983,279.151,2.637,24.067,14.187
JY1,2348.25,181.213,279.322,2.638,25.314,11.764
JY1,2348.375,183.979,279.262,2.638,26.371,10.079
JY1,2348.5,184.442,279.249,2.634,26.588,9.412
JY1,2348.625,183.404,279.531,2.626,25.904,9.927
JY1,2348.75,182.863,280.197,2.618,24.965,11.695
JY1,2348.875,184.51,281.099,2.615,24.219,14.592
JY1,2349,188.53,281.834,2.615,23.512,17.853
JY1,2349.125,193.26,281.896,2.616,22.773,20.533
JY1,2349.25,196.45,280.971,2.618,22.247,22.323
JY1,2349.375,197.887,279.098,2.624,22.069,23.276
JY1,2349.5,199.298,276.668,2.633,22.03,22.973
JY1,2349.625,202.246,274.372,2.644,21.889,20.928
JY1,2349.75,206.445,272.912,2.652,21.762,17.626
JY1,2349.875,209.68,272.67,2.655,21.849,14.412
JY1,2350,209.773,273.427,2.653,22.076,12.452
JY1,2350.125,206.527,274.385,2.647,22.154,12.116
JY1,2350.25,200.711,274.556,2.638,21.878,13.142
JY1,2350.375,191.689,273.214,2.631,21.248,14.745
