GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
123.149,158.503,214.159,2.625,17.654,2.937,
112.639,157.92,204.316,2.63,12.366,2.51,
94.08,186.955,180.935,2.597,2.744,1.528,
111.189,188.088,193.259,2.588,3.811,2.242,
132.584,189.218,209.069,2.581,6.098,3.109,
151.236,190.201,223.079,2.581,10.787,3.774,
162.239,190.916,234.065,2.594,18.482,4.026,
164.555,191.339,237.958,2.624,27.051,4.045,
162.228,191.466,233.218,2.664,30.077,4.039,
158.971,191.417,225.702,2.701,26.355,4.027,
157.848,191.313,220.712,2.722,21.219,4,
158.666,191.289,218.015,2.726,18.188,3.978,
159.859,191.413,217.003,2.72,17.333,3.978,
160.206,191.706,217.998,2.71,17.629,4.005,
159.789,192.146,219.781,2.701,18.106,4.061,
159.856,192.659,221.967,2.693,18.24,4.108,
159.99,193.188,225.382,2.688,18.15,4.111,
159.624,193.678,228.794,2.684,18.281,4.081,
159.857,194.108,231.058,2.683,18.816,4.059,
161.526,194.464,233.238,2.687,19.498,4.054,
163.457,194.752,234.678,2.693,20.021,4.058,
163.127,194.984,233.792,2.699,20.322,4.072,
160.999,195.181,231.979,2.704,20.397,4.094,
159.481,195.381,230.419,2.706,20.186,4.108,
158.711,195.619,227.974,2.706,19.641,4.102,
157.415,195.929,225.114,2.701,18.85,4.072,
155.252,196.303,224.052,2.695,17.95,4.042,
153.324,196.718,224.72,2.691,17.26,4.031,
152.578,197.128,226.284,2.69,17.275,4.032,
153.091,197.491,229.205,2.687,18.105,4.026,
154.93,197.781,232.759,2.683,19.231,4.015,
158.615,197.997,235.14,2.681,19.914,4.003,
162.738,198.16,235.912,2.683,19.995,3.982,
164.842,198.282,236.164,2.686,19.996,3.948,
164.218,198.377,236.37,2.685,20.176,3.922,
163.078,198.446,236.624,2.677,20.349,3.918,
163.306,198.476,237.267,2.667,20.478,3.96,
163.971,198.458,238.034,2.66,20.774,4.057,
163.259,198.392,238.259,2.657,21.431,4.174,
161.386,198.291,238.078,2.658,22.195,4.279,
160.316,198.195,237.593,2.663,22.72,4.396,
161.634,198.146,236.689,2.67,22.762,4.546,
164.381,198.187,235.825,2.676,22.323,4.696,
165.181,198.333,235.545,2.677,21.606,4.785,
163.015,198.593,235.492,2.674,21.044,4.793,
159.553,198.954,235.291,2.674,20.705,4.745,
158.366,199.402,234.939,2.679,20.294,4.674,
159.951,199.942,234.672,2.686,19.749,4.596,
162.662,200.558,234.889,2.69,19.523,4.515,
164.005,201.223,235.474,2.691,20.065,4.45,
163.181,201.873,235.905,2.69,21.112,4.43,
161.508,202.416,236.132,2.689,21.903,4.463,
161.803,202.766,236.102,2.685,21.958,4.527,
163.966,202.856,235.474,2.68,21.561,4.571,
165.317,202.724,234.579,2.674,21.06,4.559,
164.481,202.428,234.086,2.671,20.6,4.497,
162.038,202.079,234.211,2.669,20.317,4.423,
159.34,201.767,234.814,2.67,20.209,4.389,
157.485,201.538,235.266,2.676,20.062,4.332,
157.485,201.367,235.859,2.686,19.797,4.27,
159.746,201.197,235.878,2.686,19.796,4.279,
162.105,200.949,240.091,2.698,19.983,4.349,
162.575,200.587,241.822,2.697,20.586,4.442,
162.644,200.113,243.424,2.695,21.108,4.49,
163.555,199.571,244.89,2.693,21.255,4.47,
164.429,199.051,245.968,2.692,20.978,4.416,
164.36,198.635,247.252,2.689,20.676,4.371,
164.211,198.397,248.857,2.688,20.823,4.354,
164.651,198.337,250.72,2.689,21.534,4.381,
164.061,198.441,251.363,2.696,22.318,4.456,
162.007,198.633,249.104,2.708,22.32,4.565,
162.149,198.829,246.529,2.722,21.224,4.687,
167.312,198.954,246.289,2.735,19.866,4.8,
175.889,198.973,247.28,2.738,19.225,4.878,
182.417,198.896,249.446,2.726,19.597,4.92,
184.495,198.744,253.503,2.706,20.312,4.928,
183.122,198.566,257.063,2.691,20.635,4.897,
181.825,198.384,258.377,2.685,20.416,4.823,
181.409,198.208,258.895,2.687,20.269,4.728,
180.309,198.039,259.695,2.689,20.595,4.637,
178.423,197.885,260.409,2.689,21.317,4.554,
171.665,193.308,266.275,2.665,21.69,4.54,
172.004,193.528,265.695,2.67,21.35,4.705,
173.656,193.15,264.417,2.675,21.017,4.777,
174.194,192.314,263.29,2.678,20.957,4.76,
173.305,191.139,262.795,2.678,20.872,4.661,
173.022,189.842,262.077,2.677,20.396,4.514,
174.02,188.59,261.478,2.677,19.685,4.356,
174.995,187.603,261.051,2.677,19.02,4.217,
177.342,187.012,259.542,2.676,18.373,4.115,
183.386,186.921,257.444,2.673,17.726,4.08,
191.225,187.334,256.159,2.668,17.219,4.171,
196.176,188.101,254.685,2.661,16.962,4.304,
197.481,189.075,252.389,2.653,16.906,4.378,
197.213,190.063,251.26,2.647,16.901,4.409,
196.836,190.942,251.889,2.642,16.741,4.429,
195.939,191.624,253.045,2.635,16.526,4.412,
194.504,192.095,253.672,2.627,16.538,4.337,
192.992,192.344,253.295,2.62,16.831,4.232,
190.533,192.312,250.791,2.619,17.107,4.117,
186.459,192.027,245.521,2.619,16.948,4,
181.003,191.52,238.31,2.618,16.494,3.86,
174.916,190.903,237.533,2.603,16.12,3.716,
168.949,190.356,251.916,2.566,16.332,3.605,
164.452,190.059,273.11,2.507,17.648,3.538,
113.507,195.818,194.178,2.653,11.038,2.924,
99.762,195.828,186.974,2.677,9.485,2.738,
91.232,195.79,186.189,2.689,8.566,2.687,
89.517,195.789,193.297,2.688,8.537,2.684,
93.928,195.921,205.852,2.677,9.346,2.733,
103.101,196.222,220.683,2.661,10.866,2.932,
115.013,196.694,235.32,2.642,12.88,3.279,
126.681,197.255,246.641,2.627,15.093,3.58,
134.174,197.823,253.711,2.619,16.902,3.732,
137.358,198.297,257.743,2.619,17.982,3.804,
139.107,198.631,260.851,2.621,18.541,3.928,
142.982,198.809,263.559,2.622,19.334,4.107,
149.485,198.848,266.861,2.621,20.58,4.238,
157.987,198.81,269.65,2.622,21.705,4.302,
166.539,198.752,269.65,2.627,21.949,4.31,
173.484,198.738,267.892,2.635,21.401,4.291,
177.632,198.802,266.607,2.642,20.682,4.265,
178.712,198.965,265.253,2.645,20.153,4.277,
176.677,199.228,264.246,2.645,19.775,4.34,
173.578,199.588,264.356,2.643,19.359,4.393,
172.364,200.063,264.888,2.642,18.977,4.389,
202.925,213.218,274.38,2.656,20.512,4.111,
196.881,211.93,275.124,2.664,20.303,4.262,
192.676,210.961,276.221,2.671,19.713,4.296,
189.146,210.574,277.484,2.671,19.37,4.308,
187.939,210.846,278.651,2.665,19.708,4.344,
190.604,211.658,280.008,2.652,20.53,4.418,
196.519,212.635,281.65,2.64,21.324,4.534,
200.848,213.474,283.263,2.633,21.745,4.677,
200.943,213.939,284.186,2.632,21.844,4.817,
198.094,214.028,284.828,2.633,21.862,4.938,
196.024,213.806,286.24,2.634,22.023,5.029,
196.127,213.443,288.053,2.633,22.379,5.077,
197.564,213.06,289.213,2.63,22.61,5.068,
198.884,212.726,289.937,2.624,22.509,5.018,
199.276,212.441,290.707,2.617,22.3,4.95,
199.241,212.184,291.108,2.612,22.211,4.871,
199.654,211.922,290.65,2.613,22.036,4.785,
200.699,211.632,289.974,2.617,21.475,4.709,
201.34,211.295,289.866,2.62,20.675,4.631,
201.322,210.881,289.902,2.619,20.095,4.53,
202.439,210.379,289.176,2.616,20.158,4.426,
205.146,209.778,287.485,2.617,20.53,4.349,
207.479,209.109,285.804,2.62,20.733,4.32,
207.495,208.428,284.964,2.623,20.651,4.315,
207.16,207.813,283.924,2.623,20.569,4.316,
209.336,207.327,282.045,2.622,20.731,4.32,
213.107,206.98,281.199,2.625,20.939,4.324,
215.592,206.753,281.807,2.634,20.972,4.322,
215.58,206.57,281.257,2.643,20.917,4.301,
213.288,206.381,279.091,2.644,20.979,4.241,
208.671,206.143,277.975,2.639,21.032,4.096,
201.742,205.845,278.692,2.635,20.731,3.907,
195.254,205.471,279.226,2.636,20.201,3.761,
191.311,204.999,278.642,2.639,19.909,3.727,
189.789,204.424,277.537,2.642,19.883,3.749,
188.082,203.735,275.547,2.643,19.527,3.787,
185.35,202.974,274.085,2.648,18.695,3.825,
183.352,202.21,274.199,2.653,18.084,3.853,
184.55,201.543,275.827,2.657,18.268,3.846,
189.958,201.052,280.001,2.654,19.249,3.758,
197.161,200.765,285.558,2.647,20.329,3.628,
203.487,200.677,289.187,2.64,21.021,3.584,
207.414,200.657,291.073,2.635,21.161,3.652,
208.696,200.571,292.271,2.631,21.001,3.804,
208.386,200.261,292.751,2.628,20.703,4.014,
207.038,199.685,292.488,2.625,20.414,4.209,
204.671,198.865,291.035,2.625,20.453,4.353,
201.318,197.939,288.968,2.625,20.839,4.465,
197.59,197.069,287.357,2.624,21.046,4.524,
194.395,196.394,286.244,2.621,20.853,4.483,
191.7,195.954,286.203,2.618,20.464,4.386,
190.024,195.696,287.282,2.618,20.105,4.293,
191.198,195.532,288.088,2.627,19.86,4.185,
196.747,195.33,288.147,2.644,19.934,3.901,
205.337,194.996,287.813,2.666,20.514,3.494,
213.129,194.427,285.337,2.684,21.284,3.206,
214.233,193.607,278.636,2.692,21.28,3.107,
206.159,192.532,268.556,2.692,19.831,3.028,
190.167,191.259,257.268,2.689,17.286,2.892,
170.7,189.901,246.227,2.688,14.797,2.784,
153.892,188.56,237.748,2.687,13.277,2.783,
144.007,187.307,234.656,2.682,12.981,2.869,
142.435,186.13,236.001,2.674,13.543,3.015,
145.138,184.97,239.471,2.663,14.221,3.143,
149.022,183.757,242.651,2.651,14.501,3.25,
153.408,182.498,244.324,2.64,14.506,3.341,
157.348,181.317,244.606,2.635,14.585,3.415,
158.038,180.403,244.393,2.635,14.726,3.478,
154.7,179.942,243.946,2.639,14.667,3.536,
150.356,180.091,243.09,2.646,14.359,3.575,
148.332,180.729,242.221,2.651,14.084,3.602,
148.208,181.681,241.79,2.653,14.138,3.632,
148.674,182.63,241.342,2.651,14.507,3.658,
149.886,183.316,240.364,2.649,14.94,3.653,
151.709,183.532,239.256,2.647,15.186,3.612,
153.457,183.257,238.324,2.645,15.135,3.542,
153.868,182.603,237.22,2.645,14.828,3.432,
152.584,181.722,236.018,2.649,14.334,3.268,
149.897,180.858,234.776,2.653,13.755,3.089,
146.505,180.2,233.341,2.658,13.34,2.893,
143.466,179.984,232.669,2.663,13.22,2.663,
142.285,180.286,233.193,2.666,13.375,2.448,
143.195,181.159,233.654,2.666,13.612,2.316,
144.601,182.539,233.366,2.661,13.783,2.267,
143.744,184.164,233.068,2.658,13.873,2.312,
140.831,185.745,232.61,2.661,14.013,2.43,
138.348,186.947,231.72,2.667,14.324,2.576,
138.773,187.611,231.441,2.666,14.75,2.79,
141.4,187.648,232.377,2.654,15.049,3.112,
144.796,187.235,233.556,2.639,14.988,3.419,
147.502,186.587,233.93,2.627,14.675,3.597,
148.899,185.913,233.436,2.625,14.35,3.702,
148.456,185.351,232.837,2.629,14.037,3.784,
146.476,184.938,232.322,2.636,13.668,3.813,
143.658,184.682,231.979,2.643,13.356,3.782,
141.838,184.575,232.66,2.645,13.318,3.744,
142.791,184.672,234.547,2.645,13.503,3.723,
146.131,185.06,236.947,2.643,13.732,3.722,
149.005,185.77,239.414,2.644,13.941,3.732,
149.76,186.826,241.222,2.647,14.143,3.734,
149.311,188.125,241.346,2.648,14.308,3.722,
148.926,189.51,240.264,2.649,14.43,3.706,
147.973,190.799,239.127,2.649,14.518,3.655,
147.308,191.83,238.195,2.65,14.542,3.56,
148.614,192.489,237.249,2.651,14.527,3.469,
151.621,192.606,236.889,2.65,14.581,3.462,
153.946,192.187,237.375,2.649,14.669,3.551,
154.258,191.227,237.911,2.648,14.591,3.691,
153.795,189.817,238.648,2.647,14.365,3.803,
154.394,188.22,240.498,2.646,14.332,3.872,
155.773,186.713,242.861,2.643,14.597,3.915,
156.869,185.613,244.405,2.638,14.913,3.93,
156.614,185.067,245.279,2.633,14.972,3.887,
155.87,185.185,245.825,2.627,14.75,3.795,
155.477,185.841,245.856,2.622,14.375,3.71,
156.749,186.865,245.55,2.619,13.992,3.665,
159.43,188.102,245.025,2.619,13.721,3.643,
161.593,189.379,243.657,2.623,13.681,3.632,
160.766,190.616,241.068,2.628,13.755,3.621,
156.531,191.766,237.795,2.636,13.709,3.601,
151.433,192.832,235.002,2.645,13.424,3.539,
149.198,193.807,233.557,2.652,13.066,3.408,
151.132,194.669,234.067,2.652,12.892,3.254,
156.826,195.402,236.277,2.647,13.075,3.14,
162.899,195.976,239.164,2.64,13.52,3.065,
166.481,196.404,241.32,2.636,13.968,3.002,
167.077,196.742,242.35,2.634,14.106,2.966,
166.698,197.057,242.633,2.634,13.897,2.971,
166.653,197.413,242.546,2.634,13.544,3.003,
165.91,197.812,242.358,2.634,13.292,3.045,
163.016,198.195,242.203,2.633,13.239,3.113,
158.243,198.459,241.83,2.632,13.413,3.195,
154.257,198.498,241.027,2.632,13.804,3.257,
152.184,198.204,239.881,2.636,14.246,3.265,
150.876,197.606,238.412,2.64,14.493,3.227,
148.564,196.775,236.688,2.641,14.501,3.137,
146.449,195.911,235.232,2.639,14.366,3.033,
147.188,195.233,234.48,2.635,14.154,2.952,
149.925,194.981,234.669,2.634,13.876,2.924,
152.562,195.258,236.069,2.635,13.681,2.973,
154.054,196.014,238.551,2.635,13.795,3.085,
155.121,197.109,241.611,2.631,14.175,3.201,
156.777,198.248,244.683,2.626,14.578,3.296,
159.148,199.234,247.228,2.622,14.722,3.407,
161.285,199.93,248.519,2.62,14.539,3.533,
162.185,200.399,248.682,2.617,14.226,3.637,
162.264,200.745,248.418,2.612,14.038,3.708,
162.393,201.134,247.679,2.607,14.056,3.746,
162.875,201.663,246.087,2.605,14.138,3.76,
162.701,202.359,244.04,2.608,14.138,3.75,
162.147,203.137,242.262,2.612,14.057,3.711,
162.331,203.865,240.733,2.615,13.957,3.657,
163.005,204.352,239.587,2.617,13.874,3.62,
162.535,204.434,239.412,2.617,13.828,3.615,
160.012,204.03,239.938,2.617,13.799,3.634,
157.701,203.097,240.853,2.62,13.804,3.663,
159.932,201.874,243.066,2.624,13.98,3.728,
168.447,200.611,246.505,2.63,14.492,3.849,
182.079,199.652,248.968,2.635,15.345,3.921,
198.903,199.173,250.035,2.641,16.32,3.869,
214.533,199.246,249.866,2.645,16.975,3.773,
223.144,199.737,246.406,2.649,16.799,3.738,
218.058,200.4,241.36,2.652,15.681,3.709,
